Acad of Enter	ET 88C,FRIA C T 	ET 88C	FRIA C T 					1
CSIS	CS 3,ROGLER H L	CS 3	ROGLER H L	5	9	9		37
CSIS	CS 3,ROGLER H L	CS 3	ROGLER H L	7	10	5		34
CSIS	CS 3,HURLEY D P	CS 3	HURLEY D P	13	7	9		44
CSIS	CS 3,ROGLER H L	CS 3	ROGLER H L	5	9	6		32
CSIS	CS 3,HURLEY D P	CS 3	HURLEY D P	13	11	2		33
CSIS	CS 3,HURLEY D P	CS 3	HURLEY D P	14	6	4		33
CSIS	CS 3,HURLEY D P	CS 3	HURLEY D P	14	11	2		29
CSIS	CS 3,MARCHAND K A	CS 3	MARCHAND K A	23	12	8		54
CSIS	CS 9A,KURTZ K A	CS 9A	KURTZ K A	8	4	4		23
CSIS	CS 9B,DARWICHE J	CS 9B	DARWICHE J	11				14
CSIS	CS 15,DARWICHE J	CS 15	DARWICHE J	4	7	3		29
CSIS	CS 15,ROBERTSON SC E	CS 15	ROBERTSON SC E	9	7	5		37
CSIS	CS 15,ROBERTSON SC E	CS 15	ROBERTSON SC E	9	4	3		33
CSIS	CS 17,STAHL H A	CS 17	STAHL H A	28	4	1		44
CSIS	CS 19,DARWICHE J	CS 19	DARWICHE J	5	6	2		27
CSIS	CS 20A,STAHL H A	CS 20A	STAHL H A	19	9	3		41
CSIS	CS 37,OLSEN A B	CS 37	OLSEN A B	10		1		15
CSIS	CS 40,MORGAN D B	CS 40	MORGAN D B	17	14	2		43
CSIS	CS 42,KURTZ K A	CS 42	KURTZ K A	16	14	5		50
CSIS	CS 50,DEHKHODA A	CS 50	DEHKHODA A	23	11	6		48
CSIS	CS 50,DEHKHODA A	CS 50	DEHKHODA A	16	12	8		53
CSIS	CS 50,DEHKHODA A	CS 50	DEHKHODA A	13	13	5		41
CSIS	CS 52,STAHL H A	CS 52	STAHL H A	22	4	3		40
CSIS	CS 52,ROBERTSON SC E	CS 52	ROBERTSON SC E	26	9	3		50
CSIS	CS 53A,DEHKHODA A	CS 53A	DEHKHODA A	12	12			38
CSIS	CS 53B,DEHKHODA A	CS 53B	DEHKHODA A	13				18
CSIS	CS 55,DEHKHODA A	CS 55	DEHKHODA A	15	23	1	1	50
CSIS	CS 55,JUPE E	CS 55	JUPE E	10	8	3		34
CSIS	CS 56,DEHKHODA A	CS 56	DEHKHODA A	20	12			35
CSIS	CS 60,ROGLER H L	CS 60	ROGLER H L	10	8	4		30
CSIS	CS 61,ROGLER H L	CS 61	ROGLER H L	9	2	2		25
CSIS	CS 73,HURLEY D P	CS 73	HURLEY D P	12	6	3		27
CSIS	CS 75,MORGAN D B	CS 75	MORGAN D B	10	2	1		15
CSIS	CS 80,GEDDES JR J K	CS 80	GEDDES JR J K	20	4			32
CSIS	CS 80,GEDDES JR J K	CS 80	GEDDES JR J K	22	2			32
CSIS	CS 80,GEDDES JR J K	CS 80	GEDDES JR J K	23	1	2	1	38
CSIS	CS 81,GEDDES JR J K	CS 81	GEDDES JR J K	27	2	2		38
CSIS	CS 85,GEDDES JR J K	CS 85	GEDDES JR J K	21	5	2		38
CSIS	CS 87A,DARWICHE J	CS 87A	DARWICHE J	16	2	5		38
CSIS	CS 88A,BOLANDHEMAT F	CS 88A	BOLANDHEMAT F	4				5
CSIS	CS 88C,BOLANDHEMAT F	CS 88C	BOLANDHEMAT F	1				1
CSIS	OFTECH 1,LEIVA C Y	OFTECH 1	LEIVA C Y	8	5	4		24
CSIS	OFTECH 1A,GROSS D M	OFTECH 1A	GROSS D M	10	1	3		17
CSIS	OFTECH 1A,GROSS D M	OFTECH 1A	GROSS D M	15	1	2		22
CSIS	OFTECH 1A,GROSS D M	OFTECH 1A	GROSS D M	7	5	1		16
CSIS	OFTECH 1A,LEIVA C Y	OFTECH 1A	LEIVA C Y	12	1			23
CSIS	OFTECH 1B,GROSS D M	OFTECH 1B	GROSS D M	2				4
CSIS	OFTECH 1B,GROSS D M	OFTECH 1B	GROSS D M	2				4
CSIS	OFTECH 1B,GROSS D M	OFTECH 1B	GROSS D M	6	1			8
CSIS	OFTECH 1B,LEIVA C Y	OFTECH 1B	LEIVA C Y	1	2			4
CSIS	OFTECH 1C,GROSS D M	OFTECH 1C	GROSS D M	3	1			6
CSIS	OFTECH 1C,GROSS D M	OFTECH 1C	GROSS D M	3	1			4
CSIS	OFTECH 1C,GROSS D M 	OFTECH 1C	GROSS D M 	1				1
CSIS	OFTECH 1C,LEIVA C Y 	OFTECH 1C	LEIVA C Y 				2	2
CSIS	OFTECH 5,MANTABE P	OFTECH 5	MANTABE P	8	10	3		28
CSIS	OFTECH 9,GROSS D M	OFTECH 9	GROSS D M	3	1			4
CSIS	OFTECH 9,GROSS D M	OFTECH 9	GROSS D M	3				3
CSIS	OFTECH 9,GROSS D M	OFTECH 9	GROSS D M	1				1
CSIS	OFTECH 9,LEIVA C Y	OFTECH 9	LEIVA C Y	2				4
CSIS	OFTECH 10,SAMBRANO R	OFTECH 10	SAMBRANO R	5	5			25
CSIS	OFTECH 20,MANTABE P	OFTECH 20	MANTABE P	11	4	3		24
CSIS	OFTECH 21,LEIVA C Y	OFTECH 21	LEIVA C Y	10	1	1		20
CSIS	OFTECH 23,WILLIAMSON TE D	OFTECH 23	WILLIAMSON TE D	9	6	2	1	28
CSIS	OFTECH 25,WILLIAMSON TE D	OFTECH 25	WILLIAMSON TE D	19				20
CSIS	OFTECH 27,RODRIGUEZ B S	OFTECH 27	RODRIGUEZ B S	5	7	5		26
CSIS	OFTECH 31,HANA B T	OFTECH 31	HANA B T	3	4		1	16
Dance	DANCE 2,GONZALEZ G	DANCE 2	GONZALEZ G	41	2			44
Dance	DANCE 2,DOUGLAS JUDITH G	DANCE 2	DOUGLAS JUDITH G	38	34	11		91
Dance	DANCE 2,GONZALEZ G	DANCE 2	GONZALEZ G	40	2	1		45
Dance	DANCE 5,DOUGLAS JUDITH G	DANCE 5	DOUGLAS JUDITH G	51	34	10		118
Dance	DANCE 5,TOMASIC M T	DANCE 5	TOMASIC M T	10	9	9		38
Dance	DANCE 5,LEE J Y	DANCE 5	LEE J Y	2	6	9	2	46
Dance	DANCE 5,LEE J Y	DANCE 5	LEE J Y	6	5	7		36
Dance	DANCE 10,AYBAY OWENS S	DANCE 10	AYBAY OWENS S	19	2			36
Dance	DANCE 10,WOLIN‐TUPAS R L	DANCE 10	WOLIN‐TUPAS R L	11	6	1		20
Dance	DANCE 14,JEAN C A	DANCE 14	JEAN C A	18	4	1		34
Dance	DANCE 15,JORDAN A N	DANCE 15	JORDAN A N	10	3	3	1	23
Dance	DANCE 16,LEITNER D	DANCE 16	LEITNER D	15	3			25
Dance	DANCE 17,REICH S A	DANCE 17	REICH S A	10	5			21
Dance	DANCE 20,GANDHI S N	DANCE 20	GANDHI S N	11	3	2	1	29
Dance	DANCE 20,CANELLIAS L M	DANCE 20	CANELLIAS L M	21	5	2		35
Dance	DANCE 21,CEBALLOS BE A	DANCE 21	CEBALLOS BE A	17	1	2		21
Dance	DANCE 22,RAMIREZ R V	DANCE 22	RAMIREZ R V	2	3	1		18
Dance	DANCE 23,RAMIREZ R V	DANCE 23	RAMIREZ R V	2		1		5
Dance	DANCE 24,ANDRADE A E	DANCE 24	ANDRADE A E	10	6			21
Dance	DANCE 25,JORDAN A N	DANCE 25	JORDAN A N	12	6	4		43
Dance	DANCE 27,YUDIN L K	DANCE 27	YUDIN L K	12			1	17
Dance	DANCE 27B,YUDIN L K	DANCE 27B	YUDIN L K	9				11
Dance	DANCE 31,RICHARDS C R	DANCE 31	RICHARDS C R	10	6	1	1	20
Dance	DANCE 31,PALLAIS K S	DANCE 31	PALLAIS K S	9	3	4		23
Dance	DANCE 31,AYBAY OWENS S	DANCE 31	AYBAY OWENS S	9	7			24
Dance	DANCE 31,JEAN C A	DANCE 31	JEAN C A	11	3	1		21
Dance	DANCE 31,DOUGLAS JUDITH G	DANCE 31	DOUGLAS JUDITH G	19	1	1	1	28
Dance	DANCE 31,MOLNAR CY A	DANCE 31	MOLNAR CY A	12	2	1	1	28
Dance	DANCE 32,RICHARDS C R	DANCE 32	RICHARDS C R	6	5	1		22
Dance	DANCE 32,MOLNAR CY A	DANCE 32	MOLNAR CY A	10	3	1	1	20
Dance	DANCE 32,PALLAIS K S	DANCE 32	PALLAIS K S	8	4	2	2	22
Dance	DANCE 32,MOLNAR CY A	DANCE 32	MOLNAR CY A	5	1	4		23
Dance	DANCE 33,TOMASIC M T	DANCE 33	TOMASIC M T	3				12
Dance	DANCE 33,RICHARDS C R	DANCE 33	RICHARDS C R	3	2	2		7
Dance	DANCE 34,TOMASIC M T	DANCE 34	TOMASIC M T	4	3	5		18
Dance	DANCE 34,RICHARDS C R	DANCE 34	RICHARDS C R	10	1	1	1	18
Dance	DANCE 35,LEE J Y	DANCE 35	LEE J Y	1	1			2
Dance	DANCE 36,LEE J Y	DANCE 36	LEE J Y	10	5	1		24
Dance	DANCE 41,AYBAY OWENS S	DANCE 41	AYBAY OWENS S	20	4			32
Dance	DANCE 41,BENDER M M	DANCE 41	BENDER M M	6		2		18
Dance	DANCE 41,JEAN C A	DANCE 41	JEAN C A	8	5	1		25
Dance	DANCE 41,MCDONALD K E	DANCE 41	MCDONALD K E	8	4	3		23
Dance	DANCE 41,WOLIN‐TUPAS R L	DANCE 41	WOLIN‐TUPAS R L	12	3	4		25
Dance	DANCE 42,GREENE S M	DANCE 42	GREENE S M	11	2		1	22
Dance	DANCE 42,JORDAN A N	DANCE 42	JORDAN A N	11	2	2		20
Dance	DANCE 43,TOMASIC M T 	DANCE 43	TOMASIC M T 		1	1	2	4
Dance	DANCE 44,TOMASIC M T	DANCE 44	TOMASIC M T	4	1	1		14
Dance	DANCE 45,MCDONALD K E	DANCE 45	MCDONALD K E	2	2			4
Dance	DANCE 46,MCDONALD K E	DANCE 46	MCDONALD K E	12	5			18
Dance	DANCE 55,LEE J Y	DANCE 55	LEE J Y	17	9			28
Dance	DANCE 57,SUSILOWATI S	DANCE 57	SUSILOWATI S	20	8	5		42
Dance	DANCE 62,WOLIN‐TUPAS R L	DANCE 62	WOLIN‐TUPAS R L	11	1	1		15
Dance	DANCE 63,WOLIN‐TUPAS R L	DANCE 63	WOLIN‐TUPAS R L	6	2	1		10
Dance	DANCE 70,LEE J Y	DANCE 70	LEE J Y	17				20
Dance	DANCE 70,SUSILOWATI S	DANCE 70	SUSILOWATI S	19		1		23
Dance	DANCE 88,DOUGLAS JUDITH G	DANCE 88	DOUGLAS JUDITH G	10		1		12
Dance	DANCE 88B,DOUGLAS JUDITH G	DANCE 88B	DOUGLAS JUDITH G	7	1			8
Design Tech.	ET 2,KEESHEN J F	ET 2	KEESHEN J F	13	13	9		37
Design Tech.	ET 2,KEESHEN J F	ET 2	KEESHEN J F	9	12	3	1	33
Design Tech.	ET 11,ABODE JR P J	ET 11	ABODE JR P J	11	5	2		21
Design Tech.	ET 13,JAVELOSA D A	ET 13	JAVELOSA D A	7	8	1		23
Design Tech.	ET 15,HUSSAIN W 	ET 15	HUSSAIN W 				7	7
Design Tech.	ET 18,KLAUTKY E K	ET 18	KLAUTKY E K	9	6	3		21
Design Tech.	ET 18,KEESHEN J F	ET 18	KEESHEN J F	10	13	2		29
Design Tech.	ET 19A,BROWN S S	ET 19A	BROWN S S	13	5			23
Design Tech.	ET 19A,DAVIS J A	ET 19A	DAVIS J A	3	6	2		15
Design Tech.	ET 20,DAVIS J A	ET 20	DAVIS J A	7	9		1	18
Design Tech.	ET 24,FRIA C T	ET 24	FRIA C T	7	11	1		24
Design Tech.	ET 24,FRIA C T	ET 24	FRIA C T	9	7	3		24
Design Tech.	ET 24B,SHUM J	ET 24B	SHUM J	6	4	5		17
Design Tech.	ET 24B,MAGNUSON B M	ET 24B	MAGNUSON B M	2	5	3		15
Design Tech.	ET 25,WILLIAMS V J	ET 25	WILLIAMS V J	19	2			24
Design Tech.	ET 25B,CHOI Y	ET 25B	CHOI Y	5	2	5		20
Design Tech.	ET 26,DERAKHSHANI D	ET 26	DERAKHSHANI D	5	7	1		21
Design Tech.	ET 30,FRIA C T	ET 30	FRIA C T	14	7	2		23
Design Tech.	ET 31A,LOUIE W B	ET 31A	LOUIE W B	12	5	2		26
Design Tech.	ET 31A,LOUIE W B	ET 31A	LOUIE W B	13	1	1		22
Design Tech.	ET 31A,LOUIE W B	ET 31A	LOUIE W B	10	3	2		20
Design Tech.	ET 31B,LOUIE W B	ET 31B	LOUIE W B	5	3			16
Design Tech.	ET 31B,LOUIE W B	ET 31B	LOUIE W B	13	5	2		25
Design Tech.	ET 32,UZAN D	ET 32	UZAN D	4	9	1		23
Design Tech.	ET 33,UZAN D	ET 33	UZAN D	1	3	1		12
Design Tech.	ET 34,ROTBLATT S J	ET 34	ROTBLATT S J	10	3	2		21
Design Tech.	ET 37,DUGANNE J A	ET 37	DUGANNE J A	10	2	1		20
Design Tech.	ET 38,DUGANNE J A	ET 38	DUGANNE J A	17	1	1		23
Design Tech.	ET 39,JAVELOSA D A	ET 39	JAVELOSA D A	10	8	4		27
Design Tech.	ET 40,BEASLEY F	ET 40	BEASLEY F	11	5	1		24
Design Tech.	ET 41,BEASLEY F	ET 41	BEASLEY F	6	5			18
Design Tech.	ET 42,JAVELOSA D A	ET 42	JAVELOSA D A	15	3	1		23
Design Tech.	ET 42,JAVELOSA D A	ET 42	JAVELOSA D A	10	5	1		23
Design Tech.	ET 44,JAVELOSA D A	ET 44	JAVELOSA D A	9	5	2		22
Design Tech.	ET 60,LOUIE W B	ET 60	LOUIE W B	6	3	1		13
Design Tech.	ET 61,POIRIER N P	ET 61	POIRIER N P	30	2			37
Design Tech.	ET 61,WINFREY A M	ET 61	WINFREY A M	13	5	3		29
Design Tech.	ET 64,CAMPBELL R 	ET 64	CAMPBELL R 	2		2	7	11
Design Tech.	ET 72,NAGEL J G	ET 72	NAGEL J G	7	10	1		22
Design Tech.	ET 80,CAMPBELL R	ET 80	CAMPBELL R	1				1
Design Tech.	ET 88A,FRIA C T 	ET 88A	FRIA C T 	1				1
Design Tech.	ET 91,KLAUTKY E K	ET 91	KLAUTKY E K	8	4	5		22
Design Tech.	ET 92,KAROL‐CROWTHER C I	ET 92	KAROL‐CROWTHER C I	15	2	4		23
Design Tech.	ET 94,BROWN S S	ET 94	BROWN S S	11	5	3		27
Design Tech.	GR DES 18,ARMSTRONG R W	GR DES 18	ARMSTRONG R W	13	6			24
Design Tech.	GR DES 18,ARMSTRONG R W	GR DES 18	ARMSTRONG R W	12	4			22
Design Tech.	GR DES 18,HILL R L	GR DES 18	HILL R L	6	5	5		25
Design Tech.	GR DES 18,HILL R L	GR DES 18	HILL R L	13	3	2		25
Design Tech.	GR DES 31,FISCHER K K	GR DES 31	FISCHER K K	5	2	4		23
Design Tech.	GR DES 31,DONON S G	GR DES 31	DONON S G	6	3			19
Design Tech.	GR DES 31,WOOD S J	GR DES 31	WOOD S J	12	4	3		22
Design Tech.	GR DES 33,TANAKA BONITA R	GR DES 33	TANAKA BONITA R	15	3			21
Design Tech.	GR DES 33,TANAKA BONITA R	GR DES 33	TANAKA BONITA R	11	1	3		20
Design Tech.	GR DES 34,LANCASTER W F	GR DES 34	LANCASTER W F	12	7	4		25
Design Tech.	GR DES 34,LANCASTER W F	GR DES 34	LANCASTER W F	14	7	3		25
Design Tech.	GR DES 35,GERDS D A	GR DES 35	GERDS D A	11	5	4		25
Design Tech.	GR DES 35,ROBINSON K C	GR DES 35	ROBINSON K C	5	3	4		20
Design Tech.	GR DES 35,ROBINSON K C	GR DES 35	ROBINSON K C	6	6	2		24
Design Tech.	GR DES 38,BADUEL Z M	GR DES 38	BADUEL Z M	3	8	5		24
Design Tech.	GR DES 38,BADUEL Z M	GR DES 38	BADUEL Z M	5	9	2		23
Design Tech.	GR DES 41,BADUEL Z M	GR DES 41	BADUEL Z M	6	9	2		21
Design Tech.	GR DES 41,BADUEL Z M	GR DES 41	BADUEL Z M	8	8	2		21
Design Tech.	GR DES 43,TANAKA BONITA R	GR DES 43	TANAKA BONITA R	16	4			28
Design Tech.	GR DES 44,MAZZARA E	GR DES 44	MAZZARA E	14	7	1		24
Design Tech.	GR DES 50,DONON S G	GR DES 50	DONON S G	7	4	3		21
Design Tech.	GR DES 51,WARREN L S	GR DES 51	WARREN L S	12	6	4		26
Design Tech.	GR DES 54,MOODY J M	GR DES 54	MOODY J M	8	11	2		26
Design Tech.	GR DES 64,LANCASTER W F	GR DES 64	LANCASTER W F	7	3	7		23
Design Tech.	GR DES 64,KASRA M	GR DES 64	KASRA M	8	9	1		28
Design Tech.	GR DES 64,LANCASTER W F	GR DES 64	LANCASTER W F	8	7	2		24
Design Tech.	GR DES 65,MACGILLIVRAY I J	GR DES 65	MACGILLIVRAY I J	8	5			22
Design Tech.	GR DES 65,CAVANAUGH J Y	GR DES 65	CAVANAUGH J Y	13	3			22
Design Tech.	GR DES 65,CAVANAUGH J Y	GR DES 65	CAVANAUGH J Y	10	4			27
Design Tech.	GR DES 65,MACGILLIVRAY I J	GR DES 65	MACGILLIVRAY I J	7	3	2		21
Design Tech.	GR DES 66,CAVANAUGH J Y	GR DES 66	CAVANAUGH J Y	7	6	3		20
Design Tech.	GR DES 66,CAVANAUGH J Y	GR DES 66	CAVANAUGH J Y	11	3			22
Design Tech.	GR DES 67,CAVANAUGH J Y	GR DES 67	CAVANAUGH J Y	18	4			27
Design Tech.	GR DES 71,HEATON W B	GR DES 71	HEATON W B	7	1			19
Design Tech.	GR DES 75,FISCHER M I	GR DES 75	FISCHER M I	5	7	2		20
Design Tech.	GR DES 88A,LANCASTER W F	GR DES 88A	LANCASTER W F	1				1
Design Tech.	GR DES 90A,LANCASTER W F 	GR DES 90A	LANCASTER W F 				2	2
Design Tech.	INTARC 28,ADAIR J S	INTARC 28	ADAIR J S	3	11	3		21
Design Tech.	INTARC 29,CORDOVA S A	INTARC 29	CORDOVA S A	13	5	1		24
Design Tech.	INTARC 30,HAO J Y	INTARC 30	HAO J Y	8	8	2		26
Design Tech.	INTARC 30,HAO J Y	INTARC 30	HAO J Y	1	10	1		24
Design Tech.	INTARC 31,HAO J Y	INTARC 31	HAO J Y	2	7			15
Design Tech.	INTARC 32,SOTO A J	INTARC 32	SOTO A J	11	2	5		26
Design Tech.	INTARC 32,MAGNO H R	INTARC 32	MAGNO H R	12	9			28
Design Tech.	INTARC 34,FRAULINO C	INTARC 34	FRAULINO C	16	9	2		30
Design Tech.	INTARC 35,JACOBS R E	INTARC 35	JACOBS R E	7	6			22
Design Tech.	INTARC 35,ROSE M L	INTARC 35	ROSE M L	6	1	1		16
Design Tech.	INTARC 36,NOONAN I	INTARC 36	NOONAN I	12	8	3		26
Design Tech.	INTARC 38,CORDOVA S A	INTARC 38	CORDOVA S A	21	3	1		26
Design Tech.	INTARC 39,SEIBERT V B	INTARC 39	SEIBERT V B	8	9			31
Design Tech.	INTARC 40,HAO J Y	INTARC 40	HAO J Y	1	4	1		9
Design Tech.	INTARC 42,NOONAN I	INTARC 42	NOONAN I	5	4	9		24
Design Tech.	INTARC 44,MAGNO H R	INTARC 44	MAGNO H R	12	3	3		26
Design Tech.	INTARC 45,HAO J Y	INTARC 45	HAO J Y	2	2			5
Design Tech.	INTARC 57,TOOKE J L	INTARC 57	TOOKE J L	7	2	2		13
Design Tech.	INTARC 70,BRENTON J A	INTARC 70	BRENTON J A	1	1			5
Design Tech.	INTARC 90A,HAO J Y 	INTARC 90A	HAO J Y 					1
Design Tech.	INTARC 90B,HAO J Y 	INTARC 90B	HAO J Y 					1
Design Tech.	INTARC 90C,HAO J Y 	INTARC 90C	HAO J Y 				1	4
Disabl Stu Ctr	COUNS 12,DAIRE M J	COUNS 12	DAIRE M J	7	1			13
Disabl Stu Ctr	COUNS 13,RABINOW‐PALLEY L	COUNS 13	RABINOW‐PALLEY L	5	1	1		9
Disabl Stu Ctr	COUNS 21,CUTLER E J 	COUNS 21	CUTLER E J 					10
Disabl Stu Ctr	COUNS 22,CUTLER E J 	COUNS 22	CUTLER E J 					3
Disabl Stu Ctr	COUNS 25,CUTLER E J 	COUNS 25	CUTLER E J 				1	2
Disabl Stu Ctr	COUNS 26,CUTLER E J 	COUNS 26	CUTLER E J 					4
Disabl Stu Ctr	COUNS 41,ADAMS J	COUNS 41	ADAMS J	1	3			7
Disabl Stu Ctr	COUNS 51,JOHNSON A H 	COUNS 51	JOHNSON A H 				1	15
Disabl Stu Ctr	COUNS 52,JOHNSON A H 	COUNS 52	JOHNSON A H 				2	7
Disabl Stu Ctr	COUNS 54,AXELROD L 	COUNS 54	AXELROD L 				4	12
Disabl Stu Ctr	COUNS 56,AXELROD L 	COUNS 56	AXELROD L 				1	4
Disabl Stu Ctr	COUNS 57,TERUYA S 	COUNS 57	TERUYA S 				1	5
Disabl Stu Ctr	COUNS 58,MARCOPULOS G E 	COUNS 58	MARCOPULOS G E 				1	8
Disabl Stu Ctr	COUNS 58,MARCOPULOS G E 	COUNS 58	MARCOPULOS G E 					7
Disabl Stu Ctr	COUNS 59,JOHNSON A H 	COUNS 59	JOHNSON A H 					4
Earth Science	ANTHRO 1,HARADON C M	ANTHRO 1	HARADON C M	14	5			22
Earth Science	ANTHRO 1,LEWIS B S	ANTHRO 1	LEWIS B S	3	3	11		48
Earth Science	ANTHRO 1,GAULD S C	ANTHRO 1	GAULD S C	3	8	9		31
Earth Science	ANTHRO 1,DENMAN J F	ANTHRO 1	DENMAN J F	11	9	16	1	46
Earth Science	ANTHRO 1,LEWIS B S	ANTHRO 1	LEWIS B S	7	3	6		45
Earth Science	ANTHRO 1,DENMAN J F	ANTHRO 1	DENMAN J F	10	10	20		46
Earth Science	ANTHRO 1,SNYDER J K	ANTHRO 1	SNYDER J K	3	11	3		28
Earth Science	ANTHRO 1,GAULD S C	ANTHRO 1	GAULD S C	5	4	8	1	33
Earth Science	ANTHRO 2,GREBLER G	ANTHRO 2	GREBLER G	26	10	3		47
Earth Science	ANTHRO 2,KOHPAHL G	ANTHRO 2	KOHPAHL G	8	9	2		36
Earth Science	ANTHRO 2,DENMAN J F	ANTHRO 2	DENMAN J F	8	8	11		37
Earth Science	ANTHRO 2,MINZENBERG E G	ANTHRO 2	MINZENBERG E G	16	4	5		26
Earth Science	ANTHRO 2,STRAUSS E M	ANTHRO 2	STRAUSS E M	31	3	1	1	42
Earth Science	ANTHRO 2,KOHPAHL G	ANTHRO 2	KOHPAHL G	8	12	10	1	46
Earth Science	ANTHRO 2,ZANE W W	ANTHRO 2	ZANE W W	9	10	13	1	43
Earth Science	ANTHRO 2,MINZENBERG E G	ANTHRO 2	MINZENBERG E G	12	13	10		39
Earth Science	ANTHRO 2,ZANE W W	ANTHRO 2	ZANE W W	7	10	10		39
Earth Science	ANTHRO 3,LEWIS B S	ANTHRO 3	LEWIS B S	2	8	4		36
Earth Science	ANTHRO 3,LEWIS B S	ANTHRO 3	LEWIS B S	7	11	8		42
Earth Science	ANTHRO 3,LEWIS B S	ANTHRO 3	LEWIS B S	5	5	3		34
Earth Science	ANTHRO 4,LEWIS B S	ANTHRO 4	LEWIS B S	4	5	2		38
Earth Science	ANTHRO 5,RASHIDI J S	ANTHRO 5	RASHIDI J S	4	7	12		32
Earth Science	ANTHRO 5,HARADON C M	ANTHRO 5	HARADON C M	5	4	3		20
Earth Science	ANTHRO 5,GAULD S C	ANTHRO 5	GAULD S C	9	7	5		26
Earth Science	ANTHRO 5,GAULD S C	ANTHRO 5	GAULD S C	5	7	3		28
Earth Science	ANTHRO 7,COHEN M M	ANTHRO 7	COHEN M M	14	13	4	1	44
Earth Science	ANTHRO 10,RASHIDI J S	ANTHRO 10	RASHIDI J S	5	11	7		37
Earth Science	ANTHRO 14,MINZENBERG E G	ANTHRO 14	MINZENBERG E G	18	10	7		44
Earth Science	ANTHRO 19,GREBLER G	ANTHRO 19	GREBLER G	17	12	5	1	41
Earth Science	ANTHRO 21,MINZENBERG E G	ANTHRO 21	MINZENBERG E G	10	9	7	1	44
Earth Science	ANTHRO 22,ZANE W W	ANTHRO 22	ZANE W W	5	15	10	1	40
Earth Science	ASTRON 1,BALM S P	ASTRON 1	BALM S P	14	9	5		30
Earth Science	ASTRON 1,BALM S P	ASTRON 1	BALM S P	8	20	12	1	51
Earth Science	ASTRON 1,SCHWARTZ M J	ASTRON 1	SCHWARTZ M J	12	18	2		40
Earth Science	ASTRON 1,SCHWARTZ M J	ASTRON 1	SCHWARTZ M J	8	12	6		40
Earth Science	ASTRON 2,GRAZIER K R	ASTRON 2	GRAZIER K R	4	6	6		34
Earth Science	ASTRON 2,SALAMA A H	ASTRON 2	SALAMA A H	3	5	15		34
Earth Science	ASTRON 2,BALM S P	ASTRON 2	BALM S P	6	16	13	2	44
Earth Science	ASTRON 2,SCHWARTZ M J	ASTRON 2	SCHWARTZ M J	10	14	15		50
Earth Science	ASTRON 3,FOUTS G A	ASTRON 3	FOUTS G A	6	3	6		33
Earth Science	ASTRON 3,FOUTS G A	ASTRON 3	FOUTS G A	5	9	9		33
Earth Science	ASTRON 4,FOUTS G A	ASTRON 4	FOUTS G A	8	6	9		33
Earth Science	ASTRON 4,SCHWARTZ M J	ASTRON 4	SCHWARTZ M J	10	17	5		37
Earth Science	ASTRON 5,SCHWARTZ M J	ASTRON 5	SCHWARTZ M J	11	18	6		48
Earth Science	ASTRON 5,SCHWARTZ M J	ASTRON 5	SCHWARTZ M J	12	16	6		41
Earth Science	ASTRON 5,BALM S P	ASTRON 5	BALM S P	9	12	13	1	44
Earth Science	ASTRON 6,FOUTS G A	ASTRON 6	FOUTS G A	16	8	4		45
Earth Science	ENERGY 1,COOLEY S	ENERGY 1	COOLEY S	10	6	5		23
Earth Science	ENERGY 2,COOLEY S	ENERGY 2	COOLEY S	11	8	3		29
Earth Science	ENERGY 3,COOLEY S	ENERGY 3	COOLEY S	7	2	2		19
Earth Science	ENVRN 7,SELBY W A	ENVRN 7	SELBY W A	11	7	5		28
Earth Science	ENVRN 7,LIPMAN A J	ENVRN 7	LIPMAN A J	2	7			16
Earth Science	ERTHSC 88,DRAKE V G	ERTHSC 88	DRAKE V G	4				4
Earth Science	ERTHSC 88,DRAKE V G	ERTHSC 88	DRAKE V G	2				3
Earth Science	ERTHSC 88,DRAKE V G	ERTHSC 88	DRAKE V G	1				1
Earth Science	ERTHSC 90,DRAKE V G	ERTHSC 90	DRAKE V G	2				3
Earth Science	GEOG 1,NEYMAN I	GEOG 1	NEYMAN I	26	4			35
Earth Science	GEOG 1,YOUNG B C	GEOG 1	YOUNG B C	2	3	11	1	35
Earth Science	GEOG 1,YOUNG B C	GEOG 1	YOUNG B C	4	9	9	1	38
Earth Science	GEOG 1,DRAYSE M H	GEOG 1	DRAYSE M H	5	4	8		35
Earth Science	GEOG 2,MORRIS P S	GEOG 2	MORRIS P S	2	10	11		33
Earth Science	GEOG 2,MORRIS P S	GEOG 2	MORRIS P S	6	12	9		48
Earth Science	GEOG 2,ABATE A	GEOG 2	ABATE A	8	9	12		33
Earth Science	GEOG 3,SELBY W A	GEOG 3	SELBY W A	6	4	11		33
Earth Science	GEOG 3,KRANZ J	GEOG 3	KRANZ J	13	8	3		37
Earth Science	GEOG 5,SELBY W A	GEOG 5	SELBY W A	7	10	2	2	29
Earth Science	GEOG 5,DRAKE V G	GEOG 5	DRAKE V G	7	11	11	1	35
Earth Science	GEOG 5,HACKELING J	GEOG 5	HACKELING J	8	8	4	2	31
Earth Science	GEOG 5,PATRICH J G	GEOG 5	PATRICH J G	16	14	3	2	36
Earth Science	GEOG 7,SELBY W A	GEOG 7	SELBY W A	6	4	3		19
Earth Science	GEOG 7,LIPMAN A J	GEOG 7	LIPMAN A J	1	3	2		12
