Santa Monica College - Grade Distribution Spring 2015,,,,,,,,,,,,,,,,,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
,,,,1140,OBIAMIWE O D,15,2,1,,2,,,,3,,23,
,,,,4023,LUNDQUIST T,8,9,,2,,,,,9,,28,
,,ART,13,1141,HARTMAN D G,26,3,,,,,,1,1,,31,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 2 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Art,ART,ART,13,1142,HARTMAN D G,19,10,,,,,,,1,,30,
,,,,4024,SILVER E M,18,,1,1,,,,,5,,25,
,,,,4025,BROMBERG T L,12,2,1,2,,,,,2,,19,
,,ART,17A,1143,JOLLER G,10,2,,,,,,,7,,19,
,,ART,20A,1144,HATTON C,16,7,4,1,,,,,2,,30,
,,,,1145,VICICH G M,9,7,4,1,,,,,4,,25,
,,,,1146,RICHARDSON DOOL L J,4,6,2,3,6,,,,3,,24,
,,,,1147,HATTON C,18,3,2,3,,,,,2,,28,
,,,,1148,OTA N T,4,10,3,3,4,,,,5,,29,
,,,,1149,HARRISON A B,7,4,4,6,,,,,4,,25,
,,,,1150,HATTON C,14,9,3,2,,,,,3,,31,
,,,,1151,MAMMARELLA C J,3,7,1,1,,1,,,11,,24,
,,,,1152,THOMASON M M,18,3,2,1,1,,,,5,,30,
,,,,1153,KAGAN SHARON,6,5,,3,,1,,1,4,,20,
,,,,1154,ZARCONE J,3,1,4,1,4,,,,4,,17,
,,,,4026,WHEAT N R,7,4,3,4,,,,,13,,31,
,,,,4027,MAMMARELLA C J,3,11,4,2,1,,,,5,,26,
,,,,4028,OCONNELL J L,5,7,6,3,,,,,5,,26,
,,ART,20B,1155,KARLSEN A M,8,3,2,1,,,,,8,,22,
,,,,1156,KARLSEN A M,10,1,1,5,,,,,7,,24,
,,,,1157,HATTON C,19,4,,3,,,,,8,,34,
,,,,4029,KOMPANEYETS M,15,5,1,7,,,,,4,,32,
,,ART,20C,1158,WINSRYG M W,9,6,1,,,,,,5,,21,
,,ART,21A,1159,KOMPANEYETS M,13,4,1,3,,,,,7,,28,
,,,,1160,TRUJILLO M E,17,7,3,,,,,,3,,30,
,,ART,21B,1161,TRUJILLO M E,15,1,1,1,1,,,,2,,21,
,,ART,30A,1162,SHIBATA J M,16,2,,2,,,,1,5,,26,
,,ART,30C,4030,OTA N T,13,4,,2,,,,,12,,31,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 3 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Art,ART,ART,31,1163,TRUJILLO M E,10,4,,5,,,,,6,,25,
,,,,1164,LOPEZ L G,7,1,3,2,,,,,8,,21,
,,,,1165,DAVIS R L,14,1,1,1,,,,,4,,21,
,,,,4031,LOPEZ L G,1,2,1,1,,2,,1,2,,10,
,,ART,32,1166,DAVIS R L,13,,,,,,,,1,,14,
,,,,4032,LOPEZ L G,3,1,4,1,,,,1,4,,14,
,,ART,33,1167,TRUJILLO M E,13,3,,4,,,,1,3,,24,
,,ART,34A,1168,LOPEZ L G,12,2,1,6,2,,,,4,,27,
,,,,4033,KAGAN SHARON,7,2,3,2,4,,,2,9,,29,
,,ART,34B,4034,LOPEZ L G,13,2,2,4,3,,,,4,,28,
,,ART,40A,1169,HARTMAN D G,18,4,1,,,,,,3,,26,
,,,,1170,HARTMAN D G,18,3,,,,,,,2,,23,
,,,,4035,BROMBERG T L,9,3,2,1,,,,,1,,16,
,,ART,40B,1171,HARTMAN D G,9,2,,,,,,,3,,14,
,,,,4036,BROMBERG T L,1,,,,,,,,,,1,
,,ART,40C,1172,HARTMAN D G,5,,,,,,,,1,,6,
,,ART,41A,1173,SIMON D L,5,8,4,1,,2,,,3,,23,
,,ART,52A,1174,PHILLIPS F,12,2,,,,,,,7,,21,
,,,,1175,PHILLIPS F,17,5,1,,,,,,5,,28,
,,,,1176,PHILLIPS F,19,6,,,,,,,2,,27,
,,ART,52B,1177,PHILLIPS F,13,2,,,,,,,4,,19,
,,ART,52C,1178,PHILLIPS F,8,1,,,,,,,1,,10,
,,ART,60,1179,THOMASON M M,15,6,1,1,,,,,3,,26,
,,,,4037,SCHMELTZ L A,8,3,1,2,,,,,3,,17,
,,ART,90A,1180,MEYER W J,1,,,,,,,,,,1,
,ARTS,ARTS,88A,1182,DAVIS R L,4,,,,,,,,,,4,
,,ARTS,88B,1183,DAVIS R L,1,,,,,,,,,,1,
,DESIGN,DESIGN 87J,,1736,HATTON C,18,,,,,,,,,,18,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 4 of 98,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Art Total,DESIGN,DESIGN 87J,,,1566,,645,259,100,324,8,,21,571,,3494,
Athletics,VAR PE,VAR PE 20V,,4480,LINDHEIM G M,37,3,2,,,,,,9,,51,
,,,,4481,GARCIA S M,17,8,4,,4,,,,1,,34,
,,,,4482,WILLIAMS DONNELL A,15,,,,,,,,3,,18,
,,VAR PE 45W,,3273,SOTO D P,12,,,,,,,,2,,14,
,,VAR PE 48V,,3274,ESKRIDGE B M,14,,,,,,,,,,14,
,,VAR PE 48W,,3275,BULLOCK J A,8,,,,,,,,,,8,
,,VAR PE 54W,,3276,GOLDENSON R M,8,,,,,,,,1,,9,
,,VAR PE 56V,,3277,SILVA L,20,3,2,,1,,,,4,,30,
,,VAR PE 56W,,3278,SILVA L,13,,,,1,,,,5,,19,
,,VAR PE 57V,,3279,MAYER J L,13,,,,,,,,2,,15,
,,VAR PE 60,,3280,PEHANICH J,13,,,,,,,,,,13,
,,,,3281,NEWBILL I M,17,,,1,1,,,,1,,20,
,,,,3282,PIERCE T L,17,,,,,,,,4,,21,
,,,,3283,GARCIA S M,8,3,,,,,,,,,11,
,,,,4521,MOOREHEAD J R,4,1,,,,,,,1,,6,
,,,,4523,LINDHEIM G M,7,,,,,,,,,,7,
Athletics Total,,,,,,223,18,8,1,7,,,,33,,290,
Business,ACCTG,ACCTG,1,1001,SCHRADER E,13,13,6,1,3,,,,4,,40,
,,,,1002,RESNICK W J,15,6,2,1,10,,1,,12,,47,
,,,,1003,BROOKINS G T,3,3,5,3,1,,,,19,,34,
,,,,1004,DANIEL C,5,9,7,1,,,,,12,,34,
,,,,1005,MAIER L S,21,11,3,4,6,,,,4,,49,
,,,,1006,SCHRADER E,20,9,4,1,4,,,,2,,40,
,,,,1007,TRIPPETTI V J,10,10,8,4,6,,,,10,,48,
,,,,1008,DANIEL C,4,5,2,1,9,,,,6,,27,
,,,,1009,NAULT W H,11,11,4,4,10,,,,11,,51,
,,,,1010,RESNICK W J,26,8,1,1,1,,,,7,,44,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 5 of 98,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Business,ACCTG,ACCTG,1,1011,RESNICK W J,19,6,5,2,,,,,9,,41,
,,,,1012,HALLIDAY P D,13,15,2,2,2,,,,6,,40,
,,,,1013,HALLIDAY P D,11,5,7,2,3,,,,10,,38,
,,,,1014,BROOKINS G T,15,6,5,3,1,,,,17,,47,
,,,,1015,DEMETRE N J,15,7,4,1,,,,,10,,37,
,,,,1016,PLATZ W A,2,5,6,1,6,,,,7,,27,
,,,,1017,PLATZ W A,4,6,4,1,3,,,,5,,23,
,,,,3377,ANDRE J M,11,4,7,2,1,,,,4,,29,
,,,,4001,HICKS L E,14,10,5,2,9,,,,6,,46,
,,,,4002,NAULT W H,12,4,2,2,8,,,1,10,,39,
,,ACCTG,2,1018,BERNSTEIN T D,20,16,5,4,,,,,4,,49,
,,,,1019,KNIGHT R B,13,8,7,4,7,,,,11,,50,
,,,,1020,BERNSTEIN T D,23,15,3,,,,,,2,,43,
,,,,1021,HUANG AI M,9,8,9,1,2,,,,6,,35,
,,,,1022,LU M,18,10,7,1,3,,,,2,,41,
,,,,1023,KNIGHT R B,9,22,8,2,3,,,,6,,50,
,,,,1024,BROOKINS G T,4,2,8,4,,,,,12,,30,
,,,,1025,ANDRE J M,19,5,6,2,,,,,5,,37,
,,,,1026,DANIEL C,1,7,3,1,4,,,,10,,26,
,,,,1027,HUANG AI M,19,10,5,1,,,,,2,,37,
,,,,1028,HUANG AI M,14,11,3,1,,1,,,2,,32,
,,,,1029,DANIEL C,2,2,4,3,,,,,11,,22,
,,,,1030,HANSON M P,21,11,2,,,,,,1,,35,
,,,,4003,TRIPPETTI V J,12,13,6,,,,,,9,,40,
,,,,4004,ARAKELIAN A,5,14,10,3,,,,,6,,38,
,,ACCTG,6,1031,HUANG AI M,13,6,3,2,,,,,10,,34,
,,ACCTG,7,1032,HANSON M P,10,6,2,,,,,,7,,25,
,,ACCTG,9,1033,BERNSTEIN T D,15,13,,2,,,,2,7,,39,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 6 of 98,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Business,ACCTG,ACCTG,9,1034,BERNSTEIN T D,14,8,1,1,,,,2,4,,30,
,,ACCTG,10A,1035,LU M,6,8,2,1,,,,,6,,23,
,,,,1036,LU M,8,8,3,,,,,,,,19,
,,,,4005,LU M,4,6,4,,,,,,3,,17,
,,ACCTG,10B,1037,LU M,11,7,2,2,,,,1,,,23,
,,,,1038,LU M,4,5,5,2,,,,,1,,17,
,,,,4006,BROOKINS G T,,2,3,2,,,,,5,,12,
,,ACCTG,10C,1039,CARBALLO P S,1,3,8,2,3,,,,8,,25,
,,,,1040,HAIG J,4,6,2,1,,,,,4,,17,
,,ACCTG,11,1041,CARBALLO P S,12,8,5,1,2,,,,3,,31,
,,ACCTG,12,1042,RESNICK W J,15,8,5,1,,,,,4,,33,
,,,,1043,RESNICK W J,16,4,3,1,1,,,,3,,28,
,,ACCTG,15,1044,HAIG J,10,12,2,1,,,,2,2,,29,
,,,,1045,HAIG J,6,8,2,1,2,,,,7,,26,
,,ACCTG,16,1046,KIM J S,3,4,3,2,,,,,9,,21,
,,,,1047,KIM J S,1,4,1,,,,,,8,,14,
,,ACCTG,21,3324,ARAKELIAN A,3,2,2,1,2,,,1,2,,13,
,,,,4007,SCHRADER E,26,4,1,1,,,,,7,,39,
,,ACCTG,26,1049,HALLIDAY-ROBERT CA E,2,7,5,1,1,,,,,,16,
,,ACCTG,31A,1050,VALDIVIA O,17,13,6,1,2,,,1,2,,42,
,,ACCTG,45,1054,HALLIDAY P D,1,2,,3,,,,,3,,9,
,AUTO,AUTO,45,4047,KAY D,21,9,2,,,,,,5,,37,
,BUS,BUS,1,1254,ROPER-CONLEY C,10,15,5,2,5,10,,,9,,56,
,,,,1255,SABOLIC P C,12,29,11,1,4,,,,2,,59,
,,,,1256,SEDKY S M,26,9,3,3,7,,,,9,,57,
,,,,1257,ROPER-CONLEY C,13,10,3,1,7,3,,,3,,40,
,,,,1259,KELLY MARCELLA A,34,19,6,1,2,,,1,3,,66,
,,,,1260,KELLY MARCELLA A,14,5,2,7,,,,,6,,34,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 7 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Business,BUS,BUS,1,1261,CHANDLER F G,17,5,3,3,1,,,,8,,37,
,,,,1262,CHANDLER F G,10,10,3,1,4,,,,7,,35,
,,,,1263,KELLY MARCELLA A,16,5,5,,7,,,1,3,,37,
,,,,1264,VEAS S,49,2,,,,,,,1,,52,
,,,,1265,VEAS S,42,3,,,,,,,,,45,
,,,,1266,MANDELBAUM A B,12,5,,1,12,1,,,7,,38,
,,,,1267,KELLY MARCELLA A,10,8,2,2,9,,,,6,,37,
,,,,1268,TUCKER J L,9,9,1,2,8,,,,7,,36,
,,,,1269,TUCKER J L,13,4,3,1,7,,,,7,,35,
,,,,1270,VEAS S,43,2,,,2,,,,1,,48,
,,,,3322,ROPER-CONLEY C,8,7,8,,,4,,,7,,34,
,,,,3341,SEDKY S M,18,10,4,3,5,,,,1,,41,
,,,,3357,MANDELBAUM A B,12,4,1,,7,,,,9,,33,
,,,,4059,SHISHIDO K M,7,7,11,1,5,,,,6,,37,
,,,,4060,OLIVERI J S,6,12,9,1,2,,,,7,,37,
,,,,4515,OLIVERI J S,7,2,5,1,7,,1,,7,,30,
,,BUS,5,1271,RADOS-CLOKE A,11,16,17,5,,,,,,,49,
,,,,1272,RADOS-CLOKE A,11,13,14,5,1,,,,8,,52,
,,,,1273,RADOS-CLOKE A,9,18,13,6,3,,,,7,,56,
,,,,1274,NASSER D M,15,11,10,2,3,,,,1,,42,
,,,,1275,DOWNS J M,1,4,14,4,5,,1,,10,,39,
,,,,1276,KLUGMAN E B,4,13,9,2,1,,,,7,,36,
,,,,1277,NASSER D M,4,12,7,2,3,,,1,5,,34,
,,,,1278,SINDELL S M,5,4,10,3,4,,,,3,,29,
,,,,1279,HALLIDAY-ROBERT CA E,7,11,7,,1,,,,5,,31,
,,,,3358,DOWNS J M,1,1,4,4,7,,,1,10,,28,
,,,,4061,KLUGMAN E B,6,8,10,3,1,,,,10,,38,
,,,,4062,KLUGMAN E B,3,9,4,7,5,,1,,17,,46,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 8 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Business,BUS,BUS,5,4063,O'NEAL S L,3,17,11,1,5,,,,6,,43,
,,BUS,6,1280,HALLIDAY-ROBERT CA E,4,9,4,2,,,,1,4,,24,
,,BUS,11,1281,MARGOLIS D L,9,10,5,2,2,,,2,4,,34,
,,BUS,20,1283,SABOLIC P C,11,12,11,1,7,,,,5,,47,
,,,,1285,KELLY MARCELLA A,9,15,12,5,3,,,,4,,48,
,,,,1286,VEAS S,23,8,4,2,5,,,,6,,48,
,,,,1287,PACCIORETTI T S,11,5,1,2,5,,1,1,6,,32,
,,,,1288,VEAS S,19,3,1,,9,,,,3,,35,
,,,,1289,VEAS S,14,5,7,1,6,1,,1,2,,37,
,,,,1290,VEAS S,18,9,4,1,2,,,,2,,36,
,,,,3323,SABOLIC P C,9,8,3,1,,,,,3,,24,
,,BUS,21,1291,IVAS L,28,5,1,,5,,,,6,,45,
,,BUS,22,1292,IVAS L,25,5,,1,3,,,,5,,39,
,,BUS,23,4504,PACCIORETTI T S,7,6,,,9,,,,4,,26,
,,BUS,26,1294,COPLEN J S,8,14,5,2,1,,,,8,,38,
,,BUS,27,1295,COPLEN J S,15,11,2,2,4,,,,5,,39,
,,BUS,31,1296,PAIK R,2,9,6,2,4,,,,5,,28,
,,,,1297,PAIK R,4,10,4,2,5,,1,,3,,29,
,,,,1298,SANTILLANES A,3,4,7,3,2,,,,3,,22,
,,BUS,32,1299,ROCKWELL C,5,6,2,2,4,,,,6,,25,
,,,,1300,ROCKWELL C,8,10,2,1,5,,1,,2,,29,
,,,,1301,WELTON M,19,8,,1,1,,,,2,,31,
,,,,1302,PAIK R,8,7,5,,9,1,,,5,,35,
,,,,1303,NASSER D M,15,6,4,1,1,,,,2,,29,
,,,,1304,JUNG D,3,3,5,1,4,,1,,4,,21,
,,,,1305,JUNG D,1,4,5,,3,,,,3,,16,
,,,,1306,SOUCY S H,6,3,1,,7,,,,4,,21,
,,,,1307,SOUCY S H,10,4,,1,,,,,3,,18,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 9 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Business,BUS,BUS,32,1308,SOUCY S H,2,6,2,,,,,,8,,18,
,,BUS,34,1309,HAIG J D,15,16,4,2,,,,,2,,39,
,,BUS,45,1311,HALLIDAY P D,4,4,3,4,,,,,15,,30,
,,BUS,46,1312,SHISHIDO K M,8,6,2,3,11,,,,17,,47,
,,BUS,47,1313,HALLIDAY P D,5,,2,1,3,,,,1,,12,
,,,,1314,HALLIDAY P D,6,4,3,,,,,,3,,16,
,,BUS,50,1315,ALEXANDER J S,9,12,2,5,,,,,10,,38,
,,,,4506,ALEXANDER J S,6,5,,2,,,,,12,,25,
,,BUS,51,1316,WELTON M,26,4,3,3,,,,,3,,39,
,,BUS,52,1317,MANDELBAUM A B,12,7,3,1,2,2,,,9,,36,
,,BUS,53,4067,RODRIGUEZ K P,12,3,1,1,3,,,1,8,,29,
,,BUS,62,1318,BABCOCK L G,11,6,7,3,7,,,2,8,,44,
,,BUS,63,1319,CLAUSEN A I,2,7,6,1,1,,1,1,9,,28,
,,BUS,65,1320,ROCKWELL C,17,9,7,1,3,,,,5,,42,
,,BUS,82,1321,SATTERLEE B C,17,6,,1,,,,,5,,29,
,,BUS,83,1322,SATTERLEE B C,18,9,1,1,1,,,,3,,33,
,,BUS,88A,1323,TUCKER J L,,,,,,,,1,,,1,
,COUNS,COUNS,47,1638,HALLIDAY P D,2,3,3,1,,,,,1,,10,
,,,,1639,HALLIDAY P D,3,3,1,1,,,,,4,,12,
,,,,3342,HALLIDAY P D,5,1,2,1,,,,,2,,11,
Business Total,,,,,1598,1099,605,196,444,,23,9,24,809,,4807,
Communicatio,BUS,BUS,29,4064,ADELMAN A,4,7,1,2,,,,,2,,16,
,,BUS,33,4065,ADELMAN A,3,7,3,,,,,,4,,17,
,COM ST,COM ST,9,1440,OGATA D K,25,2,,,,2,,,4,,33,
,,,,1441,SMITH H A,3,3,4,2,2,,,,6,,20,
,,COM ST 11,,1442,OGATA D K,36,13,,,,3,,,,,52,
,,,,1443,MARTIN B S,13,7,2,1,2,,,,5,,30,
,,,,1444,BERMUDEZ JR N A,20,10,1,5,,,,,2,,38,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 10 of 98,
Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Communicatio,COM ST,COM ST 11,1445,KAHN R A,7,9,6,1,1,,,,,3,,27
,,,1446,WHIDDEN A R,8,9,7,,2,,,,,2,,28
,,,1447,BERMUDEZ JR N A,19,7,4,,1,,,,,5,,36
,,,1448,EVANS J D,33,3,3,,1,,,,,5,,45
,,,1449,JUNIUS J A,6,10,12,3,,,,,,6,,37
,,,1450,OGATA D K,53,,,,,,,,,1,,54
,,,1451,MARTIN B S,14,6,4,1,,,,,,6,,31
,,,1452,KAHN R A,5,7,4,4,3,,,,,9,,32
,,,1453,BROCCARD D,14,17,8,,,,,,,4,,43
,,,1454,SHAFFER J M,3,7,9,3,4,,,,,7,,33
,,,1455,JUNIUS J A,15,16,7,2,,,,,,,,40
,,,1456,MCNAMARA C V,11,6,6,2,4,,,,,8,,37
,,,1457,BROWN N A,7,9,3,2,2,,,,,8,,31
,,,1458,MCNAMARA C V,11,18,2,,3,,,,,4,,38
,,,1459,JUNIUS J A,6,14,11,4,1,,,,,1,,37
,,,1460,FOX N M,5,14,10,1,1,,,,,1,,32
,,,1461,OGATA D K,44,9,,,2,,6,,,,,61
,,,1462,PRESTON B L,29,6,1,,,,,,,,,36
,,,1463,PRESTON B L,22,8,,,,,,,,1,,31
,,,1464,MCNAMARA C V,14,14,6,1,2,,,,,1,,38
,,,1465,FOX N M,11,13,4,,1,,,,,2,,31
,,,1466,FARSCHMAN K V,12,18,2,,,,,,,2,,34
,,,1467,PICARELLI R R,7,10,7,1,2,,,,,1,,28
,,,3363,SHAFFER J M,3,,2,2,3,,,,,4,,14
,,,4088,HOWARD B,7,22,3,1,2,,,,,2,,37
,,,4089,HOWARD D B,15,14,5,,,,,,,1,,35
,,,4090,FARSCHMAN K V,14,15,3,,2,,,,,2,,36
,,,4091,HOWARD B,9,22,5,,,,,,,5,,41
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 11 of 98
Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Communicatio,COM ST,COM ST 11,4092,PRESTON B L,23,8,,,,,,,,1,,32
,,,4093,LEMONDS B W,17,10,1,,,,,,,4,,32
,,,4094,SMITH F N,5,13,3,,1,,,,,3,,25
,,,4095,HOWARD D B,21,8,5,,,,,,,4,,38
,,,4096,FARSCHMAN K V,15,19,2,,,,,,,1,,37
,,,4097,SMITH F N,6,16,3,2,3,,,,,3,,33
,,COM ST 12,1468,WHIDDEN A R,16,12,6,,1,,,,,2,,37
,,COM ST 14,1469,FOX N M,4,10,3,2,4,,,,,2,,25
,,COM ST 16,1470,EVANS J D,37,3,3,,1,,,,,3,,47
,,,1471,BROCCARD D,14,16,4,1,1,,,,,2,,38
,,,1472,MEGA M A,5,21,4,1,,,,,,3,,34
,,COM ST 21,1473,EVANS J D,47,4,1,,,,,,,1,,53
,,,1474,BROWN N A,17,6,1,1,,,,,,1,,26
,,,1475,BROWN N A,10,9,11,,,,,,,4,,34
,,COM ST 30,1476,GRASS N L,10,2,1,,4,,,,,2,,19
,,COM ST 31,1477,MOVIUS L,25,4,1,,1,,,,,1,,32
,,COM ST 35,1478,KRAUT D S,12,5,3,1,1,,,,,4,,26
,,,1479,SADEGHI-TABRIZI F,8,7,11,2,4,,,,,4,,36
,,,1480,OGATA D K,44,8,,,,,,,,2,,54
,,,1481,KRAUT D S,13,4,1,2,,,,,,9,,29
,,,1482,KRAUT D S,17,5,2,,,,,,1,1,,26
,,,1483,OGATA D K,47,6,,,,,,,,1,,54
,,,1484,KRAUT D S,20,7,1,,,,,,,1,,29
,,,1485,KRAUT D S,15,11,2,1,,,,,,1,,30
,,,1486,SMITH H A,5,6,10,1,,,,,,8,,30
,,,1487,SMITH H A,4,9,9,2,2,,,,,3,,29
,,,1488,SMITH H A,2,12,9,3,,,,,,4,,30
,,,1490,MEGA M A,8,9,8,3,4,,,,,1,,33
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 12 of 98
Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Communicatio,COM ST,COM ST 35,1491,BROWN N A,9,11,4,2,,,,,,3,,29
,,,1492,BROWN N A,9,6,2,1,1,,,,,3,,22
,,,1494,BROWN N A,9,8,4,1,1,,,,,4,,27
,,,4098,MEGA M A,3,7,4,5,10,,,,,2,,31
,,,4099,BERGSTROM L M,13,4,4,,3,,1,,,3,,28
,,,4100,HOWARD B,10,10,7,2,2,,,,,4,,35
,,COM ST 36,3308,BROCCARD D,16,4,4,1,3,,,,,3,,31
,,COM ST 37,1495,SADEGHI-TABRIZI F,11,7,7,,1,,,,,,,26
,,,1496,SMITH H A,5,7,4,3,1,,,,,10,,30
,,,1497,PICARELLI R R,4,7,4,3,8,,,,,6,,32
,,,1498,GRASS N L,8,6,8,,2,,,,,2,,26
,,,3306,KAIMIKAUA C I,9,3,2,,1,,,,,5,,20
,FILM,FILM,1,2254,LEECH M R,22,9,3,,,1,,,3,,38
,,,3296,LAFFEY S A,13,13,8,2,,,,,,7,,43
,,,3372,CRUM J,8,6,3,1,,,,,,4,,22
,,,4215,BOLUS M P,26,6,,2,2,,,,,3,,39
,,,4216,FLOOD S W,21,12,3,,1,,,,1,5,,43
,,FILM,2,2255,KANIN J D,13,44,6,4,4,,,,7,,78
,,,2256,KANIN J D,11,50,2,1,9,,,1,1,11,,86
,,,2257,HUNT S E,11,6,4,2,2,,,,1,6,,32
,,FILM,5,2258,LAFFEY S A,18,11,2,1,,,,1,,,33
,,,2259,KANIN J D,16,42,2,5,6,,,,,8,,79
,,FILM,6,2260,HUNT S E,20,6,2,2,,,,1,4,,35
,,FILM,7,4217,CARRASCO S,12,17,8,1,,,,,2,,40
,,FILM,8,4218,ROSENBERG V L,7,16,5,2,,,,,4,,34
,,FILM,9,4219,CARRASCO S,19,11,5,1,,,,,7,,43
