Santa Monica College - Grade Distribution Fall 2013,,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
,,,,4028,MOSS AV,4,5,2,1,3,,,,,11,26,
,,ART,10B,1131,WINSRYG M W,11,9,1,,,,,,,4,25,
,,,,1132,DAVIS R L,18,9,2,,,,,,,1,30,
,,,,4029,MIYANO E,12,5,1,,1,,,,,2,21,
,,ART,10C,1133,LUNDQUIST T,8,9,1,1,,,,,,7,26,
,,,,1134,OBIAMIWE O D,15,2,,,5,,,,,,22,
,,,,1135,OBIAMIWE O D,12,6,,,,,,,,3,21,
,,ART,13,1136,HARTMAN D G,22,2,,,2,,,,,3,29,
,,,,1137,HARTMAN D G,27,3,,,,,,,,1,31,
,,,,4030,SILVER E M,16,4,,,,,,,,1,21,
,,ART,17A,1138,ARUTIAN C L,5,10,3,,,,,,2,6,26,
,,ART,20A,1139,HATTON C,8,8,2,,3,,,,,9,30,
,,,,1140,VICICH G M,7,6,1,,2,,1,,,7,24,
,,,,1141,HATTON C,10,10,3,,2,,,,1,8,34,
,,,,1142,RICHARDSON DOOL L J,8,5,7,3,2,,,,,5,30,
,,,,1143,HATTON C,18,5,1,,3,,,,1,5,33,
,,,,1144,KOMPANEYETS M,12,6,6,1,1,,,1,,2,29,
,,,,1145,KAGAN SHARON,6,8,3,,,,,,,9,26,
,,,,1146,RICHARDSON DOOL L J,5,5,4,2,2,,,,,7,25,
,,,,1147,RAMOS J A,5,3,7,2,5,,,,,7,29,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 2 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Art,ART,ART,20A,1148,SYNICKY C M,5,10,4,2,2,,,,,6,29,
,,,,1149,MAMMARELLA C J,7,8,6,1,3,,,,,5,30,
,,,,4031,SYNICKY C M,3,8,5,2,3,,,,,6,27,
,,,,4032,OCONNELL J L,2,7,7,,2,,,,,10,28,
,,,,4033,THOMASON M M,18,7,1,1,,,,,,2,29,
,,ART,20B,1150,KOMPANEYETS M,13,8,2,,3,,,,,5,31,
,,,,1151,KARLSEN A M,13,7,2,,3,,,,,3,28,
,,,,1152,KARLSEN A M,12,3,5,,1,,,,,2,23,
,,,,1153,HATTON C,16,8,2,,,,,,,3,29,
,,,,4034,MAMMARELLA C J,7,7,3,,1,,,,1,5,24,
,,ART,20C,1154,WINSRYG M W,11,6,,1,,,,,,2,20,
,,ART,21A,1155,TRUJILLO M E,19,5,5,,3,,,,,1,33,
,,,,4035,OCONNELL J L,5,8,4,,2,,,,,6,25,
,,ART,21B,1156,TRUJILLO M E,9,5,2,,3,,,,,3,22,
,,ART,30A,1157,SHIBATA J M,12,5,2,,1,,,,,3,23,
,,ART,30C,1158,OTA N T,14,7,2,,1,,,,,7,31,
,,,,4036,OTA N T,9,4,1,,3,,,,,14,31,
,,ART,31,1159,LOPEZ L G,7,3,1,2,3,,,,,6,22,
,,,,1160,TRUJILLO M E,10,6,1,,5,,,1,1,4,28,
,,,,1161,DAVIS R L,9,4,2,,,,,,,2,17,
,,,,4037,ZARCONE J,7,1,2,,,,,,,7,17,
,,ART,32,1162,DAVIS R L,8,,,,,,,,,1,9,
,,,,4038,LOPEZ L G,13,,,1,1,,,,1,8,24,
,,,,4039,ZARCONE J,3,3,1,,,,,,,2,9,
,,ART,33,1163,TRUJILLO M E,8,4,,,3,,,,,4,19,
,,ART,34A,1164,LOPEZ L G,16,3,,5,,,,,,7,31,
,,,,4040,KAGAN SHARON,7,7,3,4,,,,1,,9,31,
,,ART,34B,4041,LOPEZ L G,8,3,1,2,,,,,2,11,27,
,,ART,40A,1165,HARTMAN D G,15,3,,,,,,,,2,20,
,,,,1166,HARTMAN D G,20,2,,,,,,,1,1,24,
,,,,4042,BROMBERG T L,6,1,,,,,2,,,3,12,
,,ART,40B,1167,HARTMAN D G,11,1,,,,,,,1,1,14,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 3 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Art,ART,ART,40B,4043,BROMBERG T L,6,1,1,,,,,,,1,9,
,,ART,40C,1168,HARTMAN D G,13,,,,1,,,,,1,15,
,,ART,41A,1169,SIMON D L,11,4,2,2,1,,,,,3,23,
,,ART,43A,1170,BROMBERG T L,7,3,1,2,,,,,,4,17,
,,ART,43B,1171,BROMBERG T L,6,2,2,,,,,,,,10,
,,ART,52A,1172,PHILLIPS F,19,3,,1,,,,,1,2,26,
,,,,1173,PHILLIPS F,15,8,1,,,,,,,2,26,
,,,,1174,PHILLIPS F,20,5,1,,,,,,,,26,
,,ART,52B,1175,PHILLIPS F,10,1,,,,,,,1,1,13,
,,ART,52C,3338,PHILLIPS F,6,2,,,,,,,1,3,12,
,,ART,60,1176,THOMASON M M,12,1,1,,1,,,,,5,20,
,,,,4503,SCHMELTZ L A,9,3,3,,4,,,,2,1,22,
,,ART,60B,1177,WINSRYG M W,6,2,,2,,,,,,6,16,
,,ART,90A,1178,MEYER W J,1,,,,,,,,,1,2,
,ARTS,ARTS,88,1179,DAVIS R L,9,,,,,,,,,,9,
,DESIGN,DESIGN 8,,3367,HATTON C,26,,,,,,,,,1,27,
Athletics,VAR PE,VAR PE,9,3320,JENKINS J M,25,,1,3,1,,,,,4,34,
,,VAR PE,9,3321,STRONG L M,10,1,1,,,,,,,2,14,
,,VAR PE 14,,3322,BARRON E A,13,8,3,,,,,,,1,25,
,,VAR PE 14,,3323,BARRON E A,8,2,2,,,,,,,2,14,
,,VAR PE 21,,3324,LINDHEIM G M,105,,,,,,,,,7,112,
,,VAR PE 43,,3325,PIERCE T L,25,,,,,,,,,,25,
,,VAR PE 43,,3326,PEHANICH J,15,1,3,,,,,,,1,20,
,,VAR PE 50,,3327,ESKRIDGE B M,19,,,,,,,,,3,22,
,,VAR PE 50,,3328,BULLOCK J A,8,4,,,,,,,,,12,
,,VAR PE 57,,3329,RYAN N A,12,,1,,,,,,,2,15,
,,VAR PE 60,,3330,SILVA L,27,5,2,2,3,,,,,3,42,
,,,,3349,SOTO D P,4,,,,,,,,,,4,
,,,,3350,SILVA L,3,,4,,,,,,,,7,
,,,,3355,LINDHEIM G M,12,1,,,1,,,,,5,19,
,,,,3356,GARCIA S M,10,1,2,1,1,,,,,,15,
Business,ACCTG,ACCTG,1,1001,SCHAPA E J,23,11,3,1,,,,,,6,44,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 4 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Business,ACCTG,ACCTG,1,1002,RESNICK W J,16,10,5,2,3,,,,,9,45,
,,,,1003,BERNSTEIN T D,18,10,4,3,8,,,,,9,52,
,,,,1004,MAIER L S,20,7,6,1,5,,,,,7,46,
,,,,1005,MAIER L S,12,10,5,3,3,,,,,3,36,
,,,,1006,SCHAPA E J,21,15,3,1,4,,,,,2,46,
,,,,1007,BERNSTEIN T D,15,12,9,3,3,,,,,6,48,
,,,,1008,NAULT W H,15,9,5,4,10,,,,,6,49,
,,,,1009,FITZGERALD R L,2,2,4,2,5,,,,,22,37,
,,,,1010,HALLIDAY P D,12,8,8,3,3,,,,,7,41,
,,,,1011,HALLIDAY P D,5,7,6,2,5,,,,,10,35,
,,,,1012,RESNICK W J,18,8,4,,4,,,,,4,38,
,,,,1013,RESNICK W J,11,10,3,2,3,,,,,10,39,
,,,,1014,DEMETRE N J,15,3,9,2,3,,,,,11,43,
,,,,1015,PLATZ W A,9,8,6,2,5,,,,,10,40,
,,,,1016,PLATZ W A,7,5,3,2,10,,,,,16,43,
,,,,1017,BROOKINS G T,4,9,8,1,3,,,,,9,34,
,,,,4001,LARIZADEH M R,4,3,10,7,16,,,,,5,45,
,,,,4002,HICKS L E,16,9,2,1,2,,,,,9,39,
,,,,4003,NAULT W H,6,11,3,1,13,,,,,13,47,
,,ACCTG,2,1018,TRIPPETTI V J,8,14,8,1,,,,,,15,46,
,,,,1019,LEVITON N J,21,15,1,1,,,,,,4,42,
,,,,1021,KNIGHT R B,13,8,9,3,2,,,,,6,41,
,,,,1022,HUANG AI M,8,3,3,1,2,,,,,6,23,
,,,,1023,LU M,12,6,2,,1,,,,,3,24,
,,,,1024,LEVITON N J,18,13,6,,,,,,,8,45,
,,,,1025,KNIGHT R B,17,8,5,2,1,,,,,5,38,
,,,,1026,DANIEL C,2,3,8,1,2,,,,,3,19,
,,,,1027,HANSON M P,11,4,6,,2,,,,,6,29,
,,,,1028,HUANG AI M,8,5,5,2,3,,,,,6,29,
,,,,1029,HUANG AI M,8,4,5,,3,,,,,8,28,
,,,,1030,BERNSTEIN T D,13,6,6,1,,,,,,6,32,
,,,,1031,BERNSTEIN T D,6,11,3,1,1,,,,1,12,35,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 5 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Business,ACCTG,ACCTG,2,1032,ANDRE J M,8,8,6,,3,,,,2,2,29,
,,,,4004,DANIEL C,7,10,4,2,1,,,,,4,28,
,,ACCTG,6,1033,HUANG AI M,9,12,7,,,,,,,5,33,
,,ACCTG,7,1034,HUANG AI M,7,8,7,,1,,,,,4,27,
,,ACCTG,10,1035,LU M,7,11,3,1,1,,,,,4,27,
,,,,1036,LU M,7,8,1,,,,,,1,3,20,
,,,,4005,LU M,7,5,2,,2,,,,,2,18,
,,ACCTG,10,1037,LU M,8,7,2,1,1,,,,,1,20,
,,,,1038,LU M,9,7,2,2,,,,,,1,21,
,,,,4006,CARBALLO P S,1,2,7,4,11,,,,,3,28,
,,ACCTG,10,1039,HANSON M P,10,9,5,,,,,,,6,30,
,,,,1040,CARBALLO P S,12,7,3,,2,,,,1,3,28,
,,,,3409,KIM J S,1,,1,,9,,,,,1,12,
,,ACCTG,11,1041,CARBALLO P S,17,9,3,1,,,,,,5,35,
,,ACCTG,12,1042,RESNICK W J,11,7,6,1,,,,,1,3,29,
,,,,1043,RESNICK W J,15,5,5,1,1,,,,1,2,30,
,,ACCTG,15,1044,FITZGERALD R L,10,9,9,1,,,,,,8,37,
,,,,4008,HAIG J,6,11,2,3,,,1,,,4,27,
,,ACCTG,16,4009,HAIG J,12,11,3,,1,,,,,4,31,
,,ACCTG,21,4011,HICKS L E,14,3,6,,4,,,1,,8,36,
,,ACCTG,26,1045,HALLIDAY-ROBERT CA E,5,5,1,,1,,,,,1,13,
,,ACCTG,31,1046,VALDIVIA O,21,10,3,1,2,,,,,5,42,
,,ACCTG,31,1047,VALDIVIA O,15,5,1,,2,,,,,4,27,
,,ACCTG,45,1051,HALLIDAY P D,4,2,1,,,,,,1,,8,
,AUTO,AUTO,40,4052,KAY D,26,2,4,,,,,,1,6,39,
,BUS,BUS,1,1238,CHANDLER F G,22,4,5,5,7,,,,,10,53,
,,,,1239,CHANDLER F G,18,16,7,5,4,,,,,4,54,
,,,,1240,KELLY MARCELLA A,20,8,6,1,1,,,,1,6,43,
,,,,1241,KELLY MARCELLA A,17,15,8,,2,,,,,3,45,
,,,,1242,VEAS S,26,11,8,1,,,,,,1,47,
,,,,1243,KELLY MARCELLA A,11,12,10,2,3,,,,,3,41,
,,,,1244,KELLY MARCELLA A,11,14,4,,4,,,,,2,35,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 6 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Business,BUS,BUS,1,1245,SHISHIDO K M,8,15,7,3,7,,,,,5,45,
,,,,1246,ROPER-CONLEY C,5,17,9,,8,,12,,,5,56,
,,,,1247,NASSER D M,15,13,6,2,5,,,,,6,47,
,,,,1248,VEAS S,39,3,1,1,1,,,,,3,48,
,,,,1249,CHANDLER F G,15,5,2,2,6,,,,,12,42,
,,,,1250,CHANDLER F G,20,8,4,1,3,,,,,4,40,
,,,,1251,CHANDLER F G,11,5,7,,6,,,,,13,42,
,,,,1252,SABOLIC P C,9,5,5,,14,,,,,6,39,
,,,,1253,TUCKER J L,9,6,3,4,6,,,1,1,2,32,
,,,,1254,TUCKER J L,6,8,10,2,9,,,,,7,42,
,,,,1255,VEAS S,36,9,1,1,,,1,,,2,50,
,,,,1256,VEAS S,47,7,8,1,,,,,,3,66,
,,,,1257,MANDELBAUM A B,10,5,4,3,8,,,,,10,40,
,,,,4061,OLIVERI J S,12,13,2,1,6,,,,,7,41,
,,BUS,5,1258,RADOS-CLOKE A,15,6,13,3,2,,,,1,7,47,
,,,,1259,RADOS-CLOKE A,6,15,13,4,2,,,,1,7,48,
,,,,1260,RADOS-CLOKE A,8,25,21,2,1,,,,,3,60,
,,,,1261,NASSER D M,16,10,9,,5,,,,,5,45,
,,,,1262,NASSER D M,18,16,12,1,1,,,,1,3,52,
,,,,1263,DOWNS J M,2,1,5,6,7,,,,,4,25,
,,,,1264,DOWNS J M,1,5,2,6,6,,,,,6,26,
,,,,1265,KLUGMAN E B,3,10,8,4,1,,,,,5,31,
,,,,1266,HALLIDAY-ROBERT CA E,8,6,5,1,5,,,,,2,27,
,,,,4062,KLUGMAN E B,13,9,11,3,,,,,,3,39,
,,,,4063,O'NEAL S L,6,7,4,1,4,,,,,1,23,
,,,,4064,KLUGMAN E B,6,7,8,4,5,,1,,,9,40,
,,BUS,6,1267,HALLIDAY-ROBERT CA E,1,5,5,1,2,,,,1,6,21,
,,BUS,11,1268,MARGOLIS D L,16,9,6,3,7,,,,,3,44,
,,BUS,17,1269,VALDIVIA O,11,3,1,1,1,,,,1,4,22,
,,BUS,20,1270,SABOLIC P C,9,17,10,,5,,,,,3,44,
,,,,1271,SABOLIC P C,9,26,4,1,7,,,,,1,48,
,,,,1272,KELLY MARCELLA A,18,13,5,,1,,,,,3,40,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 7 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Business,BUS,BUS,20,1273,VEAS S,18,8,6,2,3,,,,,5,42,
,,,,1274,VEAS S,21,11,9,1,3,,,,1,13,59,
,,,,1275,VEAS S,16,10,2,,6,,,,1,7,42,
,,BUS,22,1276,IVAS L,19,8,4,,2,,,,,10,43,
,,BUS,25,1277,IVAS L,27,10,1,,3,,,,,5,46,
,,BUS,26,1278,COPLEN J S,11,11,4,5,2,,,,,3,36,
,,BUS,27,1279,COPLEN J S,8,17,2,1,7,,,,1,11,47,
,,BUS,28,1280,COPLEN J S,12,16,6,,5,,,,,4,43,
,,BUS,31,1281,PAIK R,4,7,3,2,1,,,,,5,22,
,,,,1282,PAIK R,4,7,9,1,,,,,,6,27,
,,,,1283,SANTILLANES A,2,7,5,,5,,,,1,2,22,
,,BUS,32,1284,ROCKWELL C,2,8,5,2,4,,,,,3,24,
,,,,1285,FINESTONE A M,8,11,2,2,1,,,,,2,26,
,,,,1286,ROCKWELL C,7,5,5,,3,,,,,1,21,
,,,,1287,ROCKWELL C,9,5,7,,2,,,,,4,27,
,,,,1288,PAIK R,5,12,3,1,,,,,,8,29,
,,,,1289,JUNG D,4,3,2,1,3,,,,,8,21,
,,,,1290,JUNG D,3,2,2,2,,,,,,7,16,
,,,,1291,SOUCY S H,6,2,2,,1,,,,,2,13,
,,,,1292,SOUCY S H,3,5,6,,2,,,,,1,17,
,,,,1293,SOUCY S H,5,2,5,,4,,,,,2,18,
,,,,4066,WELTON M,14,6,1,1,1,,,,,3,26,
,,BUS,34,1294,HAIG J D,12,7,,,7,,,,,6,32,
,,BUS,45,1295,HALLIDAY P D,9,4,2,1,1,,,,,4,21,
,,BUS,46,4068,SHISHIDO K M,16,6,6,3,5,,,,1,13,50,
,,BUS,47,1296,HALLIDAY P D,5,5,3,1,5,,,,,7,26,
,,,,1297,HALLIDAY P D,1,12,5,,6,,,,,5,29,
,,BUS,50,1298,ALEXANDER J S,7,13,5,3,3,,,,,5,36,
,,BUS,51,1299,WELTON M,15,11,5,3,1,,,,,6,41,
,,BUS,52,1300,MANDELBAUM A B,10,9,10,1,2,,,,,4,36,
,,BUS,53,1301,RODRIGUEZ K P,5,5,3,,5,,,,,7,25,
,,BUS,62,1302,BABCOCK L G,16,9,6,2,3,,,,1,4,41,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 8 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Business,BUS,BUS,63,1303,ALEXANDER J S,6,15,4,1,8,,,,1,14,49,
,,,,1304,CLAUSEN A I,2,10,7,,6,,,,,6,31,
,,BUS,65,1305,BABCOCK L G,23,6,5,,3,,,1,,4,42,
,,BUS,80,4069,RODRIGUEZ K P,10,9,6,1,4,,,,,5,35,
,,BUS,81,1306,SATTERLEE B C,12,4,2,1,3,,,,,5,27,
,,BUS,82,1307,SATTERLEE B C,12,4,3,1,6,,,,,7,33,
,COUNS,COUNS,4,1641,HALLIDAY P D,,4,3,1,,,,,,3,11,
,,,,1642,HALLIDAY P D,1,3,,1,1,,,,,7,13,
Communicat,BUS,BUS,29,4065,ADELMAN A,5,7,1,,1,,,,,4,18,
,,BUS,33,4067,ADELMAN A,3,5,2,,1,,,,,1,12,
,COM ST,COM ST 1,,1422,OGATA D K,47,12,1,,,,,,,4,64,
,,,,1423,KOCH M A,20,6,5,,1,,,,,,32,
,,,,1424,SADEGHI-TABRIZI F,7,11,4,4,2,,,,,6,34,
,,,,1425,MARTIN B S,10,7,7,1,1,,,,,8,34,
,,,,1426,KAHN R A,4,4,3,1,2,,,1,,9,24,
,,,,1427,SADEGHI-TABRIZI F,3,6,10,2,6,,,,,6,33,
,,,,1428,OGATA D K,42,7,,,,,1,,,,50,
,,,,1429,KOCH M A,19,6,,1,,,,,,4,30,
,,,,1430,MARTIN B S,11,9,5,1,2,,,,,3,31,
,,,,1431,WHIDDEN A R,17,8,2,,2,,,,,1,30,
,,,,1432,KAHN R A,8,6,3,5,3,,,,,10,35,
,,,,1433,JUNIUS J A,7,10,6,3,1,,,,1,1,29,
,,,,1434,MCNAMARA C V,5,6,10,,2,,,,,6,29,
,,,,1435,WEST A J,9,6,13,,7,,,,,,35,
,,,,1436,BROWN N A,12,7,3,,,,,,,4,26,
,,,,1437,MCNAMARA C V,7,5,9,,3,,,,,6,30,
,,,,1438,JUNIUS J A,7,6,9,1,3,,,,,7,33,
,,,,1439,OGATA D K,40,16,1,,,,6,,,3,66,
,,,,1440,WEST A J,10,16,4,4,,,,,,,34,
,,,,1441,PRESTON B L,26,9,1,,,,,,,,36,
,,,,1442,PRESTON B L,25,4,1,1,1,,,,,2,34,
,,,,1443,FARSCHMAN K V,16,15,2,,,,,,,1,34,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 9 of 87,
Department,Subject,Course,Section,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Communicat,COM ST,COM ST 1,4096,HOWARD D B,12,8,5,4,,3,,,,,3,35
,,,4097,HOWARD B,6,19,8,1,,,,,,,1,35
,,,4098,FARSCHMAN K V,15,11,1,,,2,,,,,2,31
,,,4099,HOWARD D B,11,11,3,3,,4,,,,,3,35
,,,4100,HOWARD B,12,9,4,,,1,,,,,4,30
,,,4101,PRESTON B L,21,14,,,,,,,,,2,37
,,,4102,LEMONDS B W,13,12,2,,,,,,,,3,30
,,,4103,FARSCHMAN K V,15,16,1,,,1,,,,,1,34
,,,4104,HOWARD D B,9,16,1,,,3,,,,,5,34
,,,4105,HOWARD B,7,12,8,,,,,,,,7,34
,,COM ST 1,1444,WHIDDEN A R,15,15,4,,,1,,,,1,3,39
,,COM ST 1,1445,MCNAMARA C V,7,12,6,3,,3,,,,,8,39
,,COM ST 1,1446,ARTIN T,13,4,4,,,3,,,,,6,30
,,COM ST 1,1447,MEGA M A,7,16,10,1,,,,,,,1,35
,,,4106,MEGA M A,7,13,5,,,1,,,,,1,27
,,,4107,KAIMIKAUA C I,18,3,1,,,5,,,,,2,29
,,COM ST 2,1448,EVANS J D,35,5,,,,,,,,,1,41
,,,1449,BROWN N A,12,6,3,,,1,,,,,6,28
,,,1450,EISENBERG TODD S,12,13,1,,,2,,,,,5,33
,,,1451,BROWN N A,19,7,5,,,1,,,,,,32
,,COM ST 2,1452,WEST A J,16,7,1,,,1,,,,,10,35
,,COM ST 3,1453,GRASS HEMMERT N L,7,7,2,1,,,,,,,4,21
,,COM ST 3,1454,KRAUT D S,18,9,1,,,1,,,,,4,33
,,,1455,BROCCARD D,6,10,7,6,,1,,,,,2,32
,,,1456,OGATA D K,49,3,3,,,1,,,,,1,57
,,,1457,KRAUT D S,11,10,6,,,,,,,,3,30
,,,1458,KRAUT D S,11,7,4,,,,,,,,4,26
,,,1459,SMITH H A,2,2,7,6,,,,,,,3,20
,,,1460,OGATA D K,54,3,,,,,,2,,,1,60
,,,1461,KRAUT D S,20,8,2,,,,,,,,4,34
,,,1462,SMITH H A,4,4,9,4,,2,,,,,2,25
,,,1463,KRAUT D S,18,6,1,1,,,,,,,5,31
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 10 of 87
Department,Subject,Course,Section,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Communicat,COM ST,COM ST 3,1464,SMITH H A,4,5,7,6,,,,,,,7,29
,,,1465,BROWN N A,11,7,5,1,,1,,,,,3,28
,,,1466,BROWN N A,5,10,3,,,3,,,,,4,25
,,,1467,WALKER D A,18,5,1,,,1,,,,,1,26
,,,4108,KAIMIKAUA C I,7,16,2,,,2,,,,,5,32
,,,4109,BERGSTROM L M,11,9,5,,,,,,,,3,28
,,COM ST 3,1468,SMITH H A,6,3,6,1,,3,,,,,10,29
,,,1469,GRASS HEMMERT N L,7,15,4,,,2,,,,,6,34
,,,1470,KAIMIKAUA C I,2,8,4,,,3,,,,,6,23
,FILM,FILM,1,2304,FLOOD S W,27,15,1,,,,,,,5,48
,,,2305,LAFFEY S A,12,12,6,,,3,,,,,3,36
,,,4241,CRUM J,21,8,1,,,,,,,1,4,35
,,FILM,2,2306,KANIN J D,9,22,2,,5,,,,,7,45
,,,2307,KANIN J D,5,20,,1,,4,,,,2,6,38
,,,2308,HUNT S E,13,13,1,1,,3,,6,,,3,40
,,,4242,CARRASCO S,21,17,25,7,,9,,,,,6,85
,,FILM,5,2309,KANIN J D,8,14,4,,6,,,,,6,38
,,,4243,ROSENBERG V L,8,9,6,,,,,,,,8,31
,,FILM,6,2310,HUNT S E,16,8,2,1,2,,6,,,3,38
,,FILM,7,4244,CARRASCO S,7,19,9,,1,,,,1,2,39
,,FILM,8,2311,LEECH M R,22,5,,,3,,,1,,4,35
,,,4245,KANIN J D,10,13,,1,,1,,,,,8,33
,,FILM,9,2312,CRUM J,9,9,2,,,,,,,6,26
,,,2313,LAFFEY S A,9,12,6,4,,2,,,,,1,34
,,FILM,11,2314,POIRIER N P,42,13,6,1,,,,,2,7,71
,,FILM,20,2315,MATTHEWS M N,12,8,7,2,,,,,,6,35
,,,2316,ROSENTHAL L,29,2,,,,2,,,,,1,34
,,FILM,21,4246,NOLAND G K,8,4,1,,5,,,,,6,24
,,,4247,BIRNBAUM M J,13,6,1,,,3,,,,,3,26
,,FILM,30,2317,DANIELS R,15,1,1,,,,,,,7,24
,,FILM,31,2318,BARTESAGHI S,15,7,4,1,,,,,,4,31
,,,2319,BARTESAGHI S,14,13,5,,,,,,,,,32
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 11 of 87
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Communicat,FILM,FILM,32,2320,CARRASCO S,25,2,,,,,,,,,27,
,,FILM,33,2321,CARRASCO S,15,3,1,,,,,,,3,22,
,JOURN,JOURN,1,2509,STAMBLER L S,12,3,4,,,,,,,5,24,
,,,,2510,OBSATZ S B,21,2,1,,2,,,,,1,27,
,,,,2511,RUBIN S M,4,3,2,1,1,,,,,8,19,
,,JOURN,4,4291,GIGGANS J H,4,6,2,1,1,,,,,2,16,
,,JOURN,8,2512,STAMBLER L S,15,3,2,,,,,,,7,27,
,,,,4292,STAMBLER L S,11,4,1,2,,,,,,8,26,
,,JOURN,15,2513,RUBIN S M,9,4,6,1,10,,,,,4,34,
