Santa Monica College - Grade Distribution Spring 2014,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
,,,,1129,VICICH G M,17,10,,,2,,,,2,31,
,,,,1130,MOSS AV,4,9,3,2,,,,,3,21,
,,,,1131,KARLSEN A M,11,4,3,,2,,,,8,28,
,,,,4018,SHIBATA J M,10,3,5,,3,,,,6,27,
,,,,4019,MITCHELL R,14,2,4,,,1,,,3,24,
,,ART,10B,1132,WINSRYG M W,12,6,2,1,,,,,3,24,
,,,,1133,DAVIS R L,27,3,,1,,,,,3,34,
,,,,4020,MIYANO E,13,4,2,1,1,,,,3,24,
,,ART,10C,1134,LUNDQUIST T,11,6,,1,,,,,4,22,
,,,,1135,OBIAMIWE O D,19,1,1,,,,,,2,23,
,,,,1136,OBIAMIWE O D,17,4,2,1,,,,,3,27,
,,ART,13,1137,HARTMAN D G,24,2,,,,,,,3,29,
,,,,1138,HARTMAN D G,21,2,,,,,,,2,25,
,,,,4021,BROMBERG T L,11,4,1,1,,,,,3,20,
,,,,4022,SILVER E M,23,1,,1,1,,,,1,27,
,,ART,17A,1139,JOLLER G,19,,1,,,1,,,6,27,
,,ART,20A,1140,HATTON C,10,6,4,,1,,,,11,32,
,,,,1141,VICICH G M,16,8,1,,4,,,,2,31,
,,,,1142,HATTON C,11,3,2,,1,,,,9,26,
,,,,1143,SYNICKY C M,7,4,5,2,5,,,,3,26,
,,,,1144,SYNICKY C M,4,4,2,,3,,,,11,24,
,,,,1145,HATTON C,23,2,1,,3,,,,4,33,
,,,,1146,MAMMARELLA C J,3,10,4,1,1,,,,8,27,
,,,,1147,THOMASON M M,6,9,5,,2,,,,4,26,
"Wednesday, October 01, 2014",,,,,,,,,,,,,,Page 2 of 85,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Art,ART,ART,20A,1148,KAGAN SHARON,10,2,2,1,4,,,,6,25,
,,,,1149,RICHARDSON DOOL L J,4,1,2,5,1,,,,8,21,
,,,,1150,MOSS AV,4,7,5,3,,,,,6,25,
,,,,4023,SILVER E M,15,3,,3,,,,,3,24,
,,,,4024,OCONNELL J L,3,7,4,,,,,,12,26,
,,ART,20B,1151,KARLSEN A M,5,10,4,,,1,,,3,23,
,,,,1152,KARLSEN A M,8,3,4,,2,,,,9,26,
,,,,1153,HATTON C,25,2,,,2,,,1,1,31,
,,,,4025,KOMPANEYETS M,16,3,2,,2,,,,5,28,
,,ART,20C,1154,WINSRYG M W,10,1,1,,,,,,3,15,
,,ART,21A,1155,KOMPANEYETS M,24,4,,,,,,,2,30,
,,,,1156,TRUJILLO M E,11,11,2,1,,,,,3,28,
,,,,4026,OCONNELL J L,4,8,5,,1,,,,6,24,
,,ART,21B,1157,TRUJILLO M E,10,7,1,,,,,,3,21,
,,ART,30A,1158,SHIBATA J M,20,1,4,,2,,,,6,33,
,,ART,30C,1159,OTA N T,7,7,2,,2,,,,9,27,
,,,,4027,OTA N T,12,4,,,1,,,,12,29,
,,ART,31,1160,TRUJILLO M E,16,2,,1,1,,,,5,25,
,,,,1161,LOPEZ L G,5,5,3,2,1,,,,6,22,
,,,,1162,DAVIS R L,13,1,2,,,,,,3,19,
,,,,4028,ZARCONE J,5,4,1,,,,,,6,16,
,,ART,32,1163,DAVIS R L,10,1,,1,,,,,2,14,
,,,,4029,LOPEZ L G,5,5,,2,,,,3,7,22,
,,,,4030,ZARCONE J,2,2,1,,,,,,,5,
,,ART,33,1164,TRUJILLO M E,7,3,2,,3,,,,3,18,
,,ART,34A,1165,LOPEZ L G,11,5,2,4,1,,,1,4,28,
,,,,4031,KAGAN SHARON,1,5,5,1,1,,,1,7,21,
,,ART,34B,4032,LOPEZ L G,11,4,1,1,,,,,6,23,
,,ART,40A,1166,HARTMAN D G,22,1,,,,,,,,23,
,,,,1167,HARTMAN D G,15,3,,,,,,,4,22,
,,,,4033,BROMBERG T L,11,7,,,,1,,,1,20,
,,ART,40B,1168,HARTMAN D G,12,4,,,1,,,,,17,
"Wednesday, October 01, 2014",,,,,,,,,,,,,,Page 3 of 85,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Art,ART,ART,40B,4034,BROMBERG T L,1,,,2,,2,,,,5,
,,ART,40C,1169,HARTMAN D G,5,,,,,,,1,2,8,
,,ART,41A,1170,SIMON D L,3,8,,2,,,,1,7,21,
,,ART,52A,1171,PHILLIPS F,20,4,1,,,,,2,,27,
,,,,1172,PHILLIPS F,15,8,1,,,,,,3,27,
,,,,1173,PHILLIPS F,25,2,1,,,,,,1,29,
,,ART,52B,1174,PHILLIPS F,10,5,,,,,,1,,16,
,,ART,52C,1175,PHILLIPS F,9,1,1,,,,1,,1,13,
,,ART,60,1176,THOMASON M M,17,5,2,,,,,,2,26,
,,,,4035,SCHMELTZ L A,12,,1,3,,,,,3,19,
,ARTS,ARTS,88A,1177,DAVIS R L,6,,,,,,,,,6,
,,ARTS,88B,1178,DAVIS R L,1,,,,,,,,1,2,
,DESIGN,DESIGN 87J,,1711,HATTON C,21,1,,,,,,,2,24,
Athletics,VAR PE,VAR PE 20V,,4478,LINDHEIM G M,53,4,6,1,,,,,6,70,
,,,,4479,GARCIA S M,21,3,2,2,2,,,,7,37,
,,,,4480,WILLIAMS DONNELL A,8,2,2,,,,,,3,15,
,,VAR PE 45,,3232,SOTO D P,14,,,,,,,,1,15,
,,VAR PE 48V,,3233,CONTARSY S A,16,,,,,,,,7,23,
,,VAR PE 48,,3234,CONTARSY S A,11,,,,,,,,2,13,
,,VAR PE 54,,3235,GOLDENSON R M,8,,,,,,,,,8,
,,VAR PE 56V,,3236,SILVA L,21,5,,3,,,,,8,37,
,,VAR PE 56,,3237,SILVA L,10,1,1,1,,,,,6,19,
,,VAR PE 57V,,3238,MAYER J L,12,,,,,,,,8,20,
,,VAR PE 60,,3239,PEHANICH J,14,,,,,,,,,14,
,,,,3240,NEWBILL I M,14,,,,,,,,,14,
,,,,3241,PIERCE T L,27,,,,,,,,,27,
,,,,3242,GARCIA S M,11,3,2,2,,,,,1,19,
,,,,3243,HEROLD M J,6,,,,,,,,1,7,
Business,ACCTG,ACCTG,1,1001,SCHAPA E J,21,13,2,3,,,,,4,43,
,,,,1002,RESNICK W J,17,8,3,3,7,,,,11,49,
,,,,1003,ARAKELIAN A,13,11,7,2,2,,1,,5,41,
,,,,1004,TRIPPETTI V J,17,15,8,3,3,,,,10,56,
"Wednesday, October 01, 2014",,,,,,,,,,,,,,Page 4 of 85,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Business,ACCTG,ACCTG,1,1005,MAIER L S,23,6,3,3,3,,,,9,47,
,,,,1006,SCHAPA E J,28,7,,1,2,,,,1,39,
,,,,1007,KNIGHT R B,14,2,10,6,1,,,,14,47,
,,,,1008,NAULT W H,8,2,2,3,15,,,,9,39,
,,,,1009,RESNICK W J,21,5,2,2,4,,,,6,40,
,,,,1010,RESNICK W J,25,9,2,1,5,,,,5,47,
,,,,1011,HALLIDAY P D,10,10,9,,3,,,,9,41,
,,,,1012,HALLIDAY P D,5,13,5,3,1,,,,7,34,
,,,,1013,BROOKINS G T,13,6,2,,1,,,,13,35,
,,,,1014,FITZGERALD R L,13,9,5,5,1,,,,6,39,
,,,,1015,DEMETRE N J,22,8,6,3,,,,,10,49,
,,,,1016,PLATZ W A,1,7,3,4,6,,1,,12,34,
,,,,3335,MAIER L S,15,4,7,2,8,,,,6,42,
,,,,4001,ARAKELIAN A,14,5,11,1,4,1,,,5,41,
,,,,4002,NAULT W H,6,7,3,2,4,,,,10,32,
,,ACCTG,2,1017,BROOKINS G T,9,2,4,5,2,,,,14,36,
,,,,1018,BERNSTEIN T D,26,11,4,1,1,,,,6,49,
,,,,1019,LEVITON N J,19,17,7,,1,,,,2,46,
,,,,1020,HUANG AI M,9,8,6,,3,,,,8,34,
,,,,1021,LU M,19,3,12,1,2,,,,1,38,
,,,,1022,TRIPPETTI V J,9,16,5,,1,,,,11,42,
,,,,1023,KNIGHT R B,14,13,6,4,3,,,,5,45,
,,,,1024,DANIEL C,1,5,5,1,7,,,,10,29,
,,,,1025,BROOKINS G T,3,4,7,3,1,,,,13,31,
,,,,1026,HANSON M P,11,9,1,,4,,,2,4,31,
,,,,1027,BERNSTEIN T D,10,9,5,2,1,,,,7,34,
,,,,1028,HUANG AI M,7,5,7,,3,,,,5,27,
,,,,1029,HUANG AI M,4,7,1,,3,,,,4,19,
,,,,1030,BERNSTEIN T D,7,8,8,1,1,,,,10,35,
,,,,4003,DANIEL C,5,2,6,,4,,,,12,29,
,,ACCTG,6,1031,HUANG AI M,6,8,6,1,1,,,1,4,27,
,,ACCTG,7,1032,HUANG AI M,7,7,3,2,,,1,,3,23,
"Wednesday, October 01, 2014",,,,,,,,,,,,,,Page 5 of 85,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Business,ACCTG,ACCTG,10A,1033,LU M,5,8,4,1,,,,1,6,25,
,,,,1034,LU M,7,9,2,2,,,,,2,22,
,,,,1035,LU M,8,8,2,1,2,,,,1,22,
,,ACCTG,10B,1036,LU M,7,6,1,1,,,,,4,19,
,,,,1037,LU M,7,2,2,1,2,,,,3,17,
,,,,4004,BROOKINS G T,5,1,1,2,2,,,,11,22,
,,ACCTG,10C,1038,HANSON M P,5,10,2,1,,,,,2,20,
,,,,1039,KIM J S,5,3,3,,,,,,9,20,
,,,,3374,KIM J S,7,1,,,,,,1,2,11,
,,ACCTG,11,1040,CARBALLO P S,18,7,2,1,,,,,1,29,
,,ACCTG,12,1041,RESNICK W J,17,10,4,,,,,,2,33,
,,,,1042,RESNICK W J,13,9,2,1,1,,,1,1,28,
,,ACCTG,15,1043,FITZGERALD R L,12,9,3,1,1,,,,1,27,
,,,,1044,HAIG J,7,15,8,5,1,,,,2,38,
,,ACCTG,16,1045,HAIG J,14,14,3,2,,,,,5,38,
,,ACCTG,21,4005,HICKS L E,10,4,3,4,8,,,,9,38,
,,ACCTG,26,1046,HALLIDAY‐ROBERT CA E,4,8,3,,,,,,,15,
,,ACCTG,31A,1047,VALDIVIA O,24,10,3,3,,,,,1,41,
,,ACCTG,45,1051,HALLIDAY P D,7,4,1,,,,,,1,13,
,AUTO,AUTO,45,4044,KAY D,24,,2,3,,,,,2,31,
,BUS,BUS,1,1245,CHANDLER F G,16,10,13,3,7,,,,7,56,
,,,,1246,SABOLIC P C,9,30,3,2,5,,,,2,51,
,,,,1247,CHANDLER F G,10,11,12,3,5,,,,8,49,
,,,,1248,KELLY MARCELLA A,30,16,8,1,,,,,10,65,
,,,,1249,KELLY MARCELLA A,17,23,13,3,7,,,1,6,70,
,,,,1250,KELLY MARCELLA A,23,16,11,1,5,,,,4,60,
,,,,1251,ROPER‐CONLEY C,7,22,4,4,8,,,,6,51,
,,,,1252,CHANDLER F G,12,6,4,2,,,,,12,36,
,,,,1253,CHANDLER F G,9,6,5,1,4,,,,10,35,
,,,,1254,SABOLIC P C,11,9,5,2,,,,,9,36,
,,,,1255,VEAS S,48,2,,1,,,,,4,55,
,,,,1256,VEAS S,49,4,1,1,,,,,1,56,
"Wednesday, October 01, 2014",,,,,,,,,,,,,,Page 6 of 85,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Business,BUS,BUS,1,1257,CHANDLER F G,15,5,4,1,1,,,,11,37,
,,,,1258,MANDELBAUM A B,12,4,5,3,7,,,,6,37,
,,,,1259,TUCKER J L,10,3,8,1,10,,,1,8,41,
,,,,1260,SHISHIDO K M,18,9,6,2,2,,,1,7,45,
,,,,1261,VEAS S,65,4,1,1,,,,,2,73,
,,,,4054,OLIVERI J S,15,12,4,,3,,,,5,39,
,,,,4055,ROPER‐CONLEY C,24,11,2,,9,,,,5,51,
,,BUS,5,1262,RADOS‐CLOKE A,8,12,13,2,2,,,,9,46,
,,,,1263,RADOS‐CLOKE A,15,10,6,4,4,,1,,8,48,
,,,,1264,RADOS‐CLOKE A,8,16,10,4,,,,,11,49,
,,,,1265,NASSER D M,17,16,9,,,,,,3,45,
,,,,1266,DOWNS J M,3,3,10,7,5,,,1,10,39,
,,,,1267,O'NEAL S L,11,9,5,3,5,,,,5,38,
,,,,1268,NASSER D M,7,10,4,,2,,1,4,4,32,
,,,,1269,HALLIDAY‐ROBERT CA E,6,15,1,1,5,,,1,6,35,
,,,,1270,KLUGMAN E B,4,9,10,8,1,,,,5,37,
,,,,1271,SINDELL S M,6,8,11,3,1,,,,6,35,
,,,,4056,KLUGMAN E B,9,8,6,2,7,,,,4,36,
,,,,4057,KLUGMAN E B,5,13,7,6,1,,,,8,40,
,,BUS,6,1272,HALLIDAY‐ROBERT CA E,5,5,7,1,3,,,,1,22,
,,BUS,11,1273,MARGOLIS D L,3,12,3,1,7,,,,4,30,
,,BUS,18,4058,ULBRICHT T,2,3,6,2,2,,,,20,35,
,,BUS,20,1274,SABOLIC P C,6,14,12,3,2,,,,7,44,
,,,,1275,KELLY MARCELLA A,26,12,8,1,8,,,1,7,63,
,,,,1276,VEAS S,17,8,5,4,3,1,,1,6,45,
,,,,1277,VEAS S,20,8,5,1,5,,,,8,47,
,,,,1278,VEAS S,27,14,4,1,4,,,1,4,55,
,,,,4059,OLIVERI J S,8,11,3,1,5,,,,6,34,
,,BUS,21,1279,IVAS L,27,6,1,,3,3,,,6,46,
,,BUS,22,1280,IVAS L,16,7,1,,2,,,,12,38,
,,BUS,23,1281,VEAS S,27,6,3,1,6,,,,8,51,
,,BUS,26,1282,COPLEN J S,8,11,3,1,4,,,,5,32,
"Wednesday, October 01, 2014",,,,,,,,,,,,,,Page 7 of 85,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Business,BUS,BUS,26,3370,COPLEN J S,7,4,3,3,,,1,,12,30,
,,BUS,27,1283,COPLEN J S,3,11,4,3,1,,,1,2,25,
,,BUS,31,1284,PAIK R,2,8,3,3,5,,,,2,23,
,,,,1285,SANTILLANES A,2,9,6,1,3,,,,2,23,
,,,,1286,SANTILLANES A,1,3,7,3,3,,,1,1,19,
,,BUS,32,1287,ROCKWELL C,6,8,3,2,2,,,,5,26,
,,,,1288,FINESTONE A M,12,11,5,1,,,,,3,32,
,,,,1289,ROCKWELL C,3,11,5,1,6,,,,4,30,
,,,,1290,PAIK R,2,9,13,4,,,,,4,32,
,,,,1291,PAIK R,3,11,5,1,6,,,,5,31,
,,,,1292,NASSER D M,12,8,8,,,,,,,28,
,,,,1293,JUNG D,1,4,4,6,,,,,4,19,
,,,,1294,JUNG D,2,5,4,2,,,,,8,21,
,,,,1295,SOUCY S H,6,1,2,1,5,,,,3,18,
,,,,1296,SOUCY S H,9,5,1,1,,,,,4,20,
,,,,1297,SOUCY S H,10,4,1,2,,,,,3,20,
,,BUS,34,1298,HAIG J D,11,8,3,8,,,,1,8,39,
,,BUS,45,1299,HALLIDAY P D,3,2,4,1,,,,,8,18,
,,BUS,46,1300,SHISHIDO K M,4,12,3,3,4,,,,10,36,
,,BUS,47,1301,HALLIDAY P D,4,,1,,,,,,5,10,
,,,,1302,HALLIDAY P D,2,3,3,1,,,,,3,12,
,,,,3298,HALLIDAY P D,2,3,1,3,,,,,14,23,
,,,,3300,HALLIDAY P D,4,7,3,1,3,,,,10,28,
,,BUS,50,1303,ALEXANDER J S,10,4,4,7,,,,,9,34,
,,BUS,51,4062,WELTON M,11,11,4,1,2,,,,2,31,
,,BUS,53,4063,RODRIGUEZ K P,7,6,3,5,,,,1,3,25,
,,BUS,62,1304,BABCOCK L G,25,9,4,1,3,,,,2,44,
,,BUS,63,1305,CLAUSEN A I,6,6,7,4,4,,1,1,7,36,
,,BUS,65,1306,ROCKWELL C,12,11,8,2,2,,,1,5,41,
,,BUS,82,1307,SATTERLEE B C,9,6,,3,,,,,3,21,
,,BUS,83,1308,SATTERLEE B C,9,5,7,2,3,,,,2,28,
,COUNS,COUNS,47,1616,HALLIDAY P D,3,3,1,,,,,,3,10,
"Wednesday, October 01, 2014",,,,,,,,,,,,,,Page 8 of 85,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Business,COUNS,COUNS,47,1617,HALLIDAY P D,4,2,3,,,,,,5,14,
,,,,3299,HALLIDAY P D,3,2,1,2,,,,,1,9,
,,,,3301,HALLIDAY P D,,1,,4,,,,,4,9,
Communicatio,BUS,BUS,29,4060,ADELMAN A,4,15,1,,,,,,2,22,
,,BUS,33,4061,ADELMAN A,1,6,3,1,,,,,2,13,
,COM ST,COM ST 11,,1421,CHEKROUN J,9,7,7,3,2,,,,5,33,
,,,,1422,OGATA D K,47,11,3,,,,,,3,64,
,,,,1423,MARTIN B S,16,8,2,1,,,,,6,33,
,,,,1424,KAHN R A,9,2,3,2,,,,1,12,29,
,,,,1425,WHIDDEN A R,23,9,,,,,,,4,36,
,,,,1426,BROCCARD D,7,11,9,1,1,,,,4,33,
,,,,1427,EVANS J D,38,6,,1,,,,,7,52,
,,,,1428,JUNIUS J A,7,14,8,2,3,,,,2,36,
,,,,1429,HOWARD D B,12,14,10,2,,,,,1,39,
,,,,1430,OGATA D K,47,,,,,1,,,1,49,
,,,,1431,MARTIN B S,15,13,1,1,,,,,2,32,
,,,,1432,SADEGHI‐TABRIZI F,6,18,6,2,,,,,6,38,
,,,,1433,KAHN R A,16,2,3,1,3,,,,7,32,
,,,,1434,WHIDDEN A R,15,8,1,,,,,,4,28,
,,,,1435,CHEKROUN J,11,12,1,2,2,,,,7,35,
,,,,1436,BROCCARD D,10,19,1,1,,,,,5,36,
,,,,1437,JUNIUS J A,9,14,6,1,,,,,2,32,
,,,,1438,MCNAMARA C V,5,14,3,3,,,,,11,36,
,,,,1439,BROWN N A,13,10,1,,,,,,5,29,
,,,,1440,JUNIUS J A,8,19,2,2,,,,,3,34,
,,,,1441,OGATA D K,41,10,2,2,,3,,,3,61,
,,,,1442,CORDES A L,6,12,7,1,2,,,,4,32,
,,,,1443,MCNAMARA C V,11,8,3,,,,,,10,32,
,,,,1444,PRESTON B L,28,5,,,,,,,2,35,
,,,,1445,PRESTON B L,27,7,,,,,,,3,37,
,,,,1446,FARSCHMAN K V,11,18,1,,,,,,2,32,
,,,,3343,BERMUDEZ JR N A,20,6,,1,,,,2,9,38,
"Wednesday, October 01, 2014",,,,,,,,,,,,,,Page 9 of 85,,
Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Communicatio,COM ST,COM ST 11,3364,SHAFFER J M,5,5,4,2,3,,,,,7,26
,,,4087,HOWARD D B,13,18,5,,,,,,,3,39
,,,4088,HOWARD B,11,19,5,1,,,,,,4,40
,,,4089,SMITH F N,10,10,6,1,1,,,,,,28
,,,4090,FARSCHMAN K V,14,5,2,,1,,,,,6,28
,,,4091,HOWARD D B,21,10,2,,1,,,,,4,38
,,,4092,PRESTON B L,20,9,,1,,,,,,1,31
,,,4093,LEMONDS B W,8,17,2,,1,,,,,2,30
,,,4094,CAMPFIELD A E,15,8,4,2,,,,,,5,34
,,,4095,HOWARD B,9,13,9,,,,,,,6,37
,,,4096,FARSCHMAN K V,19,7,1,,,,,,,5,32
,,,4097,HOWARD B,8,17,6,2,,,,,,2,35
,,COM ST 12,1447,FLORES C A,9,10,10,3,1,,,,,2,35
,,COM ST 13,1448,MCNAMARA C V,16,10,4,,2,,,,,4,36
,,COM ST 14,1449,CORDES A L,11,8,3,,,,,,1,8,31
,,COM ST 16,1450,EVANS J D,36,1,1,,1,,,,,2,41
,,,1451,FLORES C A,8,12,4,2,4,,,,,4,34
,,,1452,MEGA M A,8,15,8,2,1,,,,,1,35
,,COM ST 21,1453,BROWN N A,16,4,,,,,,,,4,24
,,,1454,EVANS J D,40,6,,,,,,,,2,48
,,,1455,BROWN N A,10,8,4,1,2,,1,,,6,32
,,COM ST 31,1456,GARCIA E P,9,7,2,,1,,,,,4,23
,,COM ST 35,1457,KRAUT D S,12,3,9,1,,,,,,2,27
,,,1458,SADEGHI‐TABRIZI F,2,15,11,2,3,,,,,2,35
,,,1459,OGATA D K,45,6,2,,1,,1,,,3,58
,,,1460,KRAUT D S,11,10,1,,,,,,,5,27
,,,1461,CHEKROUN J,7,18,4,3,,,,,,1,33
,,,1462,KRAUT D S,16,4,1,,,,,,,2,23
,,,1463,OGATA D K,52,4,6,,,,1,,,2,65
,,,1464,KRAUT D S,20,5,3,,,,,,,2,30
,,,1465,KRAUT D S,18,7,5,,,,,,,2,32
,,,1466,BROCCARD D,16,16,3,1,,,,,,3,39
"Wednesday, October 01, 2014",,,,,,,,,,,,,,Page 10 of 85,
Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Communicatio,COM ST,COM ST 35,1467,MEGA M A,3,8,12,3,5,,,,,3,34
,,,1468,SMITH H A,6,4,7,,1,,,,,5,23
,,,1469,SMITH H A,5,13,5,2,,,,,,4,29
,,,1470,SMITH H A,9,4,5,4,,,,,,4,26
,,,1471,BROWN N A,7,8,2,1,,,,,,6,24
,,,1472,BROWN N A,13,10,,1,1,,,,,2,27
,,,1473,WALKER D A,15,9,2,1,,,,,,4,31
,,,3342,BROWN N A,4,2,3,,1,,,,,7,17
,,,3377,SOLOMON CH,7,6,6,5,4,,,1,,5,34
,,,4098,BERGSTROM L M,18,7,3,1,1,,,,,,30
,,COM ST 37,1474,GRASS HEMMERT N L,6,9,11,,2,,,,,5,33
,,,1475,GRASS HEMMERT N L,16,7,6,,2,,,,,3,34
,,,1476,SMITH H A,7,2,4,,2,,,,1,8,24
,,,1477,SMITH H A,7,3,1,,2,,,,,13,26
,FILM,FILM,1,2233,FLOOD S W,34,11,,,,,,2,4,51
,,,2234,FLOOD S W,26,15,2,,,,,,1,2,46
,,,2235,LAFFEY S A,20,9,5,2,,,,,,,36
,,FILM,2,2236,KANIN J D,10,21,8,4,1,,,,1,45
,,,2237,KANIN J D,22,47,,3,4,,,,,7,83
,,,2238,HUNT S E,14,2,,,1,,8,,,4,29
,,,4211,CARRASCO S,26,27,29,1,8,,,1,,16,108
,,FILM,5,2239,KANIN J D,35,28,5,6,,,,1,7,82
,,,2240,LAFFEY S A,15,9,2,,,,,,1,5,32
,,FILM,6,2241,HUNT S E,13,9,1,,,2,,2,5,32
,,FILM,7,4212,CARRASCO S,17,16,1,,,,,,,34
,,FILM,8,4213,ROSENBERG V L,18,12,6,,,,,,3,39
,,FILM,9,4214,KANIN J D,38,25,3,1,,,,,5,72
,,FILM,11,2242,POIRIER N P,21,6,1,,,,,,2,30
,,FILM,20,2243,MATTHEWS M N,12,9,4,1,,,,,4,30
,,,3264,BIRNBAUM M J,15,11,4,3,2,,,,,3,38
,,FILM,21,4216,NOLAND G K,8,6,3,1,1,,,,11,30
,,,4217,BIRNBAUM M J,7,5,1,1,4,,,,,6,24
"Wednesday, October 01, 2014",,,,,,,,,,,,,,Page 11 of 85,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Communicatio,FILM,FILM,30,2244,DANIELS R,18,6,2,,,,,1,3,30,
,,FILM,31,2245,BARTESAGHI S,25,2,,,,,,1,5,33,
,,,,2246,BARTESAGHI S,23,7,,,,,,,1,31,
,,FILM,32,2247,CARRASCO S,24,3,,,,,,,,27,
,,FILM,33,2248,CARRASCO S,21,1,,,,,,,,22,
,,FILM,40,2249,SMITH C W,14,7,4,,,,,1,3,29,
,,,,3271,SMITH C W,13,13,1,2,,,,,2,31,
,JOURN,JOURN,1,2457,STAMBLER L S,16,3,1,1,1,,,,1,23,
,,,,2458,RUBIN S M,6,5,,2,,,,,6,19,
,,,,4265,OBSATZ S B,16,2,,,,,,,4,22,
,,JOURN,4A,4266,GIGGANS J H,1,2,,1,,,,,3,7,
,,JOURN,8,2459,STAMBLER L S,9,7,4,3,,,,,4,27,
,,,,4267,STAMBLER L S,7,5,3,1,1,,,,5,22,
,,JOURN,15,4268,RUBIN S M,4,3,1,2,6,,,1,10,27,
,,JOURN,16,2460,RUBIN S M,10,1,1,3,,,,,4,19,
,,JOURN,17,2461,RUBIN S M,2,,,,,,,,,2,
,,,,2462,RUBIN S M,3,,,,,,,,1,4,
,,JOURN,21,2463,BURKHART G J,5,,,2,,1,,,6,14,
,,JOURN,22,2464,BURKHART G J,4,1,,1,,,,,,6,
,,JOURN,43,4269,ADELMAN A,3,7,2,,,,,1,3,16,
,,JOURN,90A,2465,RUBIN S M,,,,,,,,,1,1,
,MEDIA,MEDIA,1,2704,ROSENBERG V L,21,11,5,1,,,,1,3,42,
