Santa Monica College - Grade Distribution Spring 2013,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Art,ART,ART,20A,1131,VICICH G M,14,9,2,2,,,,,6,33,
,,,,1132,HATTON C,10,7,1,2,,,,,6,26,
,,,,1133,MOSS AV,4,10,2,3,,,,,5,24,
,,,,1134,HATTON C,18,5,3,1,,,,,6,33,
,,,,1135,KAGAN SHARON,8,3,2,6,,,,,8,27,
,,,,1136,RIGGS T M,7,8,2,1,,,,,12,30,
,,,,1137,MAMMARELLA C J,6,10,1,4,,,1,1,5,28,
,,,,1138,RICHARDSON DOOL L J,7,5,,2,,,,,16,30,
,,,,1139,GRECO J,14,7,4,1,,,,,2,28,
,,,,3104,THOMASON M M,17,5,1,1,1,,,,,25,
,,,,4023,SILVER E M,8,,,4,,,,,1,13,
,,,,4024,GRECO J,12,3,2,2,,,,,5,24,
,,,,4025,OCONNELL J L,5,4,5,1,4,,,,8,27,
,,ART,20B,1140,KARLSEN A M,14,11,2,1,1,,,,6,35,
,,,,1141,KARLSEN A M,11,4,2,1,4,,,,7,29,
,,,,1142,HATTON C,15,6,,1,,,,1,3,26,
,,,,4026,KOMPANEYETS M,10,4,4,5,,,,1,4,28,
,,ART,20C,1143,WINSRYG M W,5,3,,1,,,,,2,11,
,,ART,21A,1144,KOMPANEYETS M,10,6,1,3,,,1,2,4,27,
,,,,1145,TRUJILLO M E,19,7,3,1,,,,,,30,
,,,,4027,OCONNELL J L,2,7,6,1,,,,,7,23,
,,ART,21B,1146,TRUJILLO M E,9,3,3,4,,,,,2,21,
,,ART,30A,1147,SHIBATA J M,17,2,1,7,,,,1,3,31,
,,ART,30C,1148,OTA N T,14,3,1,4,,,,1,5,28,
,,,,4028,OTA N T,14,2,1,4,,,,,6,27,
,,ART,31,1149,TRUJILLO M E,11,7,1,,,,,1,6,26,
,,,,1150,LOPEZ L G,9,3,3,3,,,1,1,7,27,
"Friday, August 16, 2013",,,,,,,,,,,,,,,Page 3 of 95,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Art,ART,ART,31,1151,DAVIS R L,10,7,,1,,,,,2,20,
,,,,4029,ZARCONE J,7,3,5,2,,,,,1,18,
,,ART,32,1152,DAVIS R L,11,1,,,,,,1,,13,
,,,,4030,LOPEZ L G,5,1,1,3,4,,1,1,6,22,
,,,,4031,ZARCONE J,3,3,2,2,,,,,3,13,
,,ART,33,1153,TRUJILLO M E,12,2,1,2,1,,,,4,22,
,,ART,34A,1154,LOPEZ L G,13,2,2,4,3,,1,2,5,32,
,,,,4032,KAGAN SHARON,10,6,5,1,,,,,6,28,
,,ART,34B,4033,LOPEZ L G,22,5,1,5,4,,,3,3,43,
,,ART,40A,1155,HARTMAN D G,24,4,,,,,,,,28,
,,,,1156,HARTMAN D G,19,3,,1,,,,1,1,25,
,,,,4034,BROMBERG T L,6,6,,,,,,,,12,
,,ART,40B,1157,HARTMAN D G,14,2,,,,,,,3,19,
,,,,4035,BROMBERG T L,5,2,,1,,,,,,8,
,,ART,40C,1158,HARTMAN D G,5,2,,1,,,,,1,9,
,,ART,41A,1159,SIMON D L,7,3,2,2,1,,,1,3,19,
,,ART,52A,1160,PHILLIPS F,13,11,1,1,,,,,2,28,
,,,,1161,PHILLIPS F,18,8,,,,,,1,1,28,
,,,,1162,PHILLIPS F,15,7,1,,,,,,2,25,
,,ART,52B,1163,PHILLIPS F,11,4,,,,,,,,15,
,,ART,52C,1165,PHILLIPS F,7,,,,,,,,2,9,
,,ART,60,1166,THOMASON M M,18,2,,1,,,,,3,24,
,,ART,61A,4460,SMITH T A,15,,,,,,,,2,17,
,,ART,61B,4036,SMITH T A,3,1,,,,,,,,4,
,ARTS,ARTS,88,1170,DAVIS R L,3,,,,,,,,,3,
,DESIGN,DESIGN 8,,1671,SILVER E M,29,,,,,,,,,29,
Athletics,VAR PE,VAR PE 20,,4451,LINDHEIM G M,45,2,1,,,,,,20,68,
"Friday, August 16, 2013",,,,,,,,,,,,,,,Page 4 of 95,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Athletics,VAR PE,VAR PE 20,,4452,MURRAY Z M,22,,1,2,,,,,1,26,
,,,,4453,WILLIAMS DONNELL A,2,,,,,,,,1,3,
,,VAR PE 45,,3046,SPYCHAJ S L,16,,,1,,,,,2,19,
,,VAR PE 48,,3047,CONTARSY S A,17,,,,,,,,8,25,
,,VAR PE 48,,3048,CONTARSY S A,10,,,,,,,,2,12,
,,VAR PE 54,,3049,GOLDENSON R M,10,,,,,,,,,10,
,,VAR PE 56,,3050,SILVA L,27,4,4,2,3,,,,8,48,
,,VAR PE 56,,3051,SILVA L,12,1,1,1,2,,,,2,19,
,,VAR PE 57,,3052,MAYER J L,14,,,,,,,,4,18,
,,VAR PE 60,,3053,GARCIA S M,26,4,,2,,,,,5,37,
,,,,3054,BANUELOS D,13,3,1,,,,,,4,21,
,,,,3055,MURRAY Z M,5,4,3,1,,1,,,8,22,
Business,ACCTG,ACCTG,1,1001,SCHAPA E J,24,8,3,1,,,,1,2,39,
,,,,1002,RESNICK W J,17,7,3,3,7,,,,11,48,
,,,,1003,KNIGHT R B,12,5,7,3,6,,,,12,45,
,,,,1004,MAIER L S,17,10,7,5,,,,,9,48,
,,,,1005,SCHAPA E J,25,5,6,2,1,,,,1,40,
,,,,1006,KNIGHT R B,14,6,10,2,8,,,,8,48,
,,,,1007,MAIER L S,16,5,8,3,1,,1,,12,46,
,,,,1008,NAULT W H,16,3,2,4,8,,,,11,44,
,,,,1009,DANIEL C,9,4,4,7,11,,,,12,47,
,,,,1010,BROOKINS G T,7,5,6,4,6,,,,6,34,
,,,,1011,FITZGERALD R L,12,4,4,3,5,,,,6,34,
,,,,1012,RESNICK W J,24,5,6,3,,,,,5,43,
,,,,1013,RESNICK W J,20,7,3,2,2,,,,9,43,
,,,,1014,DEMETRE N J,18,13,5,1,1,,,,9,47,
,,,,1015,PLATZ W A,9,6,7,2,7,,,,8,39,
"Friday, August 16, 2013",,,,,,,,,,,,,,,Page 5 of 95,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Business,ACCTG,ACCTG,1,4001,LARIZADEH M R,12,8,4,4,,,,,11,39,
,,,,4002,NAULT W H,14,6,5,5,5,,,,12,47,
,,ACCTG,2,1016,BROOKINS G T,9,5,4,4,6,,,,5,33,
,,,,1017,LEVITON N J,18,17,4,2,,,,,7,48,
,,,,1018,BERNSTEIN T D,22,6,8,1,,,,,6,43,
,,,,1019,TRIPPETTI V J,18,10,11,1,,,,,9,49,
,,,,1020,LU M,8,9,4,1,2,,,,8,32,
,,,,1021,LEVITON N J,22,14,2,1,,,,,3,42,
,,,,1022,FITZGERALD R L,10,7,4,2,,,,1,2,26,
,,,,1023,BROOKINS G T,7,10,4,4,4,,,,5,34,
,,,,1024,HUANG AI M,11,11,5,2,,,,,11,40,
,,,,1025,HUANG AI M,7,2,1,1,3,,,1,18,33,
,,,,1026,BERNSTEIN T D,10,13,6,2,,,,1,4,36,
,,,,1027,BERNSTEIN T D,8,14,4,1,,,,1,7,35,
,,,,3119,ANDRE J M,7,4,3,,,,,,8,22,
,,,,4003,DANIEL C,5,5,10,4,,,,,6,30,
,,,,4004,ANDRE J M,5,11,4,1,,,,,11,32,
,,ACCTG,6,1028,HANSON M P,10,16,3,2,1,,,,6,38,
,,ACCTG,7,1029,CARBALLO P S,18,6,3,,,,,,2,29,
,,ACCTG,10,1030,LU M,15,3,5,3,,,,,2,28,
,,,,1031,LU M,6,8,6,1,,,,2,4,27,
,,,,1032,LU M,9,8,3,2,2,,,,5,29,
,,ACCTG,10,1033,LU M,12,9,5,1,1,,,1,3,32,
,,,,1034,LU M,16,8,2,3,1,,,,2,32,
,,,,4005,BROOKINS G T,2,5,1,3,1,1,,,13,26,
,,ACCTG,10,1035,HANSON M P,10,6,2,,,,,1,4,23,
,,,,1036,CARBALLO P S,6,10,4,3,1,,,,1,25,
"Friday, August 16, 2013",,,,,,,,,,,,,,,Page 6 of 95,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Business,ACCTG,ACCTG,11,1037,HANSON M P,18,7,1,3,,,,,5,34,
,,ACCTG,12,1038,RESNICK W J,12,10,2,2,3,,,1,1,31,
,,,,1039,RESNICK W J,13,9,4,1,,,,,5,32,
,,ACCTG,15,1040,HAIG J,8,14,4,2,1,,,,5,34,
,,ACCTG,16,1041,HAIG J,14,4,2,1,2,,,1,6,30,
,,ACCTG,21,4006,HICKS L E,15,6,6,1,6,,,,7,41,
,,ACCTG,26,1042,HALLIDAY‐ROBERT CA E,7,5,2,1,,,,2,,17,
,,ACCTG,31,1043,VALDIVIA O,18,9,3,1,,,,,5,36,
,,ACCTG,88,1048,TUCKER J L,1,,,,,,,,,1,
,AUTO,AUTO,46,4043,KAY D,28,1,1,,,,,,4,34,
,BUS,BUS,1,1233,CHANDLER F G,11,18,12,2,4,,,,5,52,
,,,,1234,CHANDLER F G,11,7,11,5,11,,,,8,53,
,,,,1235,KELLY MARCELLA A,25,8,15,3,,,,,4,55,
,,,,1236,NASSER D M,18,11,13,1,,1,,,4,48,
,,,,1237,KELLY MARCELLA A,25,9,10,3,,,,,5,52,
,,,,1238,ROPER‐CONLEY C,10,16,11,3,4,12,,,1,57,
,,,,1239,SHISHIDO K M,8,11,10,6,6,1,,,4,46,
,,,,1240,VEAS S,44,5,2,2,,,,,,53,
,,,,1241,CHANDLER F G,14,5,3,2,3,,,,11,38,
,,,,1242,CHANDLER F G,18,6,3,2,5,,,,8,42,
,,,,1243,SABOLIC P C,12,9,8,12,,,,1,4,46,
,,,,1244,VEAS S,47,6,1,2,3,,,,3,62,
,,,,1245,VEAS S,48,6,2,1,1,,,,3,61,
,,,,1246,CHANDLER F G,20,4,4,1,12,,,1,6,48,
,,,,1247,MANDELBAUM A B,9,11,8,3,2,,,1,3,37,
,,,,1248,TUCKER J L,20,6,5,2,2,,,1,5,41,
,,,,1249,TUCKER J L,7,6,2,1,7,,,1,6,30,
"Friday, August 16, 2013",,,,,,,,,,,,,,,Page 7 of 95,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Business,BUS,BUS,1,4054,OLIVERI J S,16,12,6,1,6,,,1,4,46,
,,BUS,5,1250,RADOS‐CLOKE A,7,15,23,4,3,,,,4,56,
,,,,1251,RADOS‐CLOKE A,11,19,7,6,2,,,,11,56,
,,,,1252,RADOS‐CLOKE A,15,12,11,3,1,,,,6,48,
,,,,1253,KLUGMAN E B,13,9,11,4,,,1,1,3,42,
,,,,1254,SINDELL S M,6,9,6,3,1,,,,7,32,
,,,,1255,SINDELL S M,1,8,6,3,3,,,2,8,31,
,,,,1256,SINDELL S M,1,9,4,3,1,,,,14,32,
,,,,1257,SINDELL S M,8,5,5,1,5,,,,7,31,
,,,,1258,HALLIDAY‐ROBERT CA E,7,11,2,2,2,,,,13,37,
,,,,4055,KLUGMAN E B,11,13,4,6,6,,,,3,43,
,,,,4056,KLUGMAN E B,10,9,11,6,2,,,,7,45,
,,BUS,6,1260,HALLIDAY‐ROBERT CA E,6,8,5,,1,,,1,,21,
,,BUS,11,1261,MARGOLIS D L,9,9,1,2,12,,,,5,38,
,,BUS,15,1262,VALDIVIA O,7,9,3,1,1,,1,2,3,27,
,,BUS,16,1263,VALDIVIA O,4,4,3,3,4,,1,1,7,27,
,,BUS,20,1264,SABOLIC P C,3,19,9,10,,,,,2,43,
,,,,1265,SABOLIC P C,8,16,18,3,4,,,,3,52,
,,,,1266,KELLY MARCELLA A,18,10,12,,4,,,,3,47,
,,,,1267,KELLY MARCELLA A,13,14,7,7,5,1,,,1,48,
,,,,1268,VEAS S,19,12,8,,4,,,1,6,50,
,,,,1269,VEAS S,16,10,5,,6,,,,10,47,
,,,,1270,VEAS S,32,9,9,3,2,,,,5,60,
,,BUS,21,1271,IVAS L,25,5,15,,1,,,,3,49,
,,BUS,22,1272,IVAS L,24,13,3,1,2,,,,5,48,
,,BUS,23,1273,COPLEN J S,14,14,11,2,1,,,1,3,46,
,,BUS,26,1274,COPLEN J S,9,13,7,3,2,,,,3,37,
"Friday, August 16, 2013",,,,,,,,,,,,,,,Page 8 of 95,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Business,BUS,BUS,31,1275,PAIK R,2,3,10,6,2,,1,,,24,
,,,,1276,SANTILLANES A,2,9,5,3,3,,,,4,26,
,,BUS,32,1277,PAIK R,10,5,8,2,1,,,,6,32,
,,,,1278,ROCKWELL C,4,11,3,3,3,,,,7,31,
,,,,1279,ROCKWELL C,8,8,10,3,1,,,,2,32,
,,,,1280,NASSER D M,13,14,,1,1,,,,,29,
,,,,1281,NASSER D M,15,9,4,,,,,,2,30,
,,,,1282,JUNG D,9,2,4,2,3,,,,3,23,
,,,,1283,JUNG D,2,5,1,3,2,,,,5,18,
,,,,1284,SOUCY S H,7,5,3,1,1,,,,7,24,
,,,,1285,SOUCY S H,5,2,6,,4,,,,2,19,
,,,,1286,SOUCY S H,7,4,3,1,1,,,,3,19,
,,BUS,34,1287,VEAS S,32,8,5,1,2,,,1,8,57,
,,BUS,46,1288,SHISHIDO K M,5,5,9,5,8,,,1,12,45,
,,BUS,50,4060,ALEXANDER J S,13,7,3,1,3,,,,10,37,
,,BUS,51,4061,WELTON M,19,9,,1,2,,,,8,39,
,,BUS,53,4062,RODRIGUEZ K P,10,10,1,1,5,,,1,5,33,
,,BUS,63,1289,CLAUSEN A I,3,4,7,5,2,,,,16,37,
,,BUS,65,1290,ROCKWELL C,14,6,6,1,6,,,1,10,44,
,,BUS,82,1291,SATTERLEE B C,16,6,,1,5,,1,,3,32,
,,BUS,83,1292,SATTERLEE B C,7,7,2,2,3,,,,3,24,
,,BUS,88A,1293,TUCKER J L,,,,,,,,1,,1,
Communicat,,BUS,29,4058,ADELMAN A,13,7,,,,,,,3,23,
,,BUS,33,4059,ADELMAN A,7,8,3,,1,,,,1,20,
,COM ST,COM ST 1,,1395,REGINA M A,22,1,1,,,,,,5,29,
,,,,1396,OGATA D K,43,12,1,,,10,,,3,69,
,,,,1397,KAHN R A,8,9,5,1,5,,,,10,38,
"Friday, August 16, 2013",,,,,,,,,,,,,,,Page 9 of 95,
Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Communicat,COM ST,COM ST 1,1398,HOWARD B,12,15,5,3,2,,,,,4,41
,,,1399,KRAUT D S,19,6,2,1,,,,,1,4,33
,,,1400,WHIDDEN A R,17,11,4,,2,,,,,1,35
,,,1401,DAVOODIAN Y P,16,20,1,,2,,,,,,39
,,,1402,REGINA M A,24,2,,,,,,,,10,36
,,,1403,OGATA D K,49,4,,,,,1,,,,54
,,,1404,DAVOODIAN Y P,27,8,,,2,,,,1,2,40
,,,1405,KAHN R A,9,4,5,4,5,,,1,,8,36
,,,1406,HOWARD B,7,19,10,1,,,,,,2,39
,,,1407,KRAUT D S,19,8,2,,,,,,1,3,33
,,,1408,DAWSON F R,12,21,1,,,,,,,3,37
,,,1409,MCNAMARA C V,12,6,6,1,,,,,,12,37
,,,1410,HOWARD B,11,19,8,2,,,,,,2,42
,,,1411,MCNAMARA C V,8,7,8,,2,,,,,9,34
,,,1412,BROWN N A,8,10,6,,,,,,,3,27
,,,1413,DAWSON F R,18,14,2,,,,1,,,2,37
,,,1414,OGATA D K,44,15,2,,1,,3,,,5,70
,,,1415,PRESTON B L,29,5,,,2,,,,,1,37
,,,1416,PRESTON B L,38,5,,,,,,,,1,44
,,,3139,MEGA M A,3,13,8,4,,,,,,6,34
,,,4083,HOWARD D B,13,19,3,1,,,,,,3,39
,,,4084,SCHULTZ‐MANROSS D S,12,7,2,,4,,,,,2,27
,,,4085,MARTIN B S,14,6,5,,2,,,,,5,32
,,,4086,MARTIN B S,13,4,2,,1,,,,,7,27
,,,4087,FARSCHMAN K V,24,4,1,,1,,,,,5,35
,,,4088,HOWARD D B,17,12,1,,2,,,,1,4,37
,,,4089,PRESTON B L,29,7,1,,,,,,,,37
"Friday, August 16, 2013",,,,,,,,,,,,,,,Page 10 of 95
Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Communicat,COM ST,COM ST 1,4090,LEMONDS B W,18,14,3,,1,,,,,3,39
,,,4091,FARSCHMAN K V,18,13,2,,,,,,,4,37
,,,4092,HOWARD D B,19,14,1,,2,,,,,1,37
,,,4093,MEGA M A,5,10,8,2,2,,,,,7,34
,,COM ST 1,1417,WHIDDEN A R,31,6,1,,,,,,,3,41
,,COM ST 1,1418,MCNAMARA C V,14,3,7,1,,,,,1,7,33
,,COM ST 1,1419,KRAUT D S,13,12,1,2,1,,,,,3,32
,,COM ST 1,1420,MEGA M A,6,19,5,2,,,,,,2,34
,,,4094,KAIMIKAUA C I,21,7,,,,,,,,4,32
,,COM ST 2,1421,BROWN N A,16,5,,,,,,,,1,22
,,,1422,BROWN N A,12,18,3,,1,,,,,2,36
,,,3136,WEST A J,10,11,6,,1,,,,,4,32
,,COM ST 2,1423,REGINA M A,16,1,,,2,,,,,2,21
,,COM ST 3,1424,GRASS HEMMERT N L,8,2,1,,4,,,,,7,22
,,COM ST 3,1425,KRAUT D S,16,9,5,,,,,,,,30
,,,1426,OGATA D K,54,6,1,,,,1,,,,62
,,,1427,DAVOODIAN Y P,25,10,,,,,,,,1,36
,,,1428,KRAUT D S,14,10,3,,,,,,,2,29
,,,1429,OGATA D K,57,6,2,,2,,,,,5,72
,,,1430,WEST A J,18,7,5,2,3,,,,,4,39
,,,1431,SMITH H A,5,11,4,4,1,,,,,6,31
,,,1432,SMITH H A,4,12,9,5,,,,,,2,32
,,,1433,SMITH H A,4,13,2,2,1,,,1,,5,28
,,,1434,SMITH H A,4,8,5,2,5,,,,,3,27
,,,1435,BROWN N A,9,6,5,,,,,,,1,21
,,,1436,BROWN N A,9,6,4,,1,,,,,2,22
,,,1437,WALKER D A,19,5,3,,1,,,,,2,30
"Friday, August 16, 2013",,,,,,,,,,,,,,,Page 11 of 95
Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Communicat,COM ST,COM ST 3,4095,WEST A J,16,5,3,,,,,,1,6,31
,,,4096,KAIMIKAUA C I,18,7,1,1,1,,,,,3,31
,,,4477,BERGSTROM L M,9,7,3,2,5,,,,1,2,29
,,COM ST 3,1438,GRASS HEMMERT N L,10,11,2,1,1,,,,,5,30
,,,1439,SMITH H A,4,6,3,5,3,,,,,5,26
,,,4097,KAIMIKAUA C I,8,8,3,1,4,,,,,6,30
,FILM,FILM,1,2145,FLOOD S W,37,15,5,1,,,,1,5,64
,,,2146,LAFFEY S A,12,13,3,2,6,,,,,10,46
,,,2147,HUNT S E,20,11,,,1,,5,,,4,41
,,FILM,2,2148,KANIN J D,6,29,,6,,,,,4,45
,,,2149,KANIN J D,8,22,2,,,,,,,3,35
,,,4202,CARRASCO S,30,33,28,5,8,,,1,,11,116
,,FILM,5,2150,KANIN J D,13,29,,1,,,,,2,45
,,,2151,LAFFEY S A,11,12,3,1,3,,,,,3,33
,,,4203,ROSENBERG V L,12,12,1,2,,,,,,7,34
,,FILM,6,2152,HUNT S E,11,9,1,,,7,,,5,33
,,FILM,7,4204,CARRASCO S,10,24,8,,,,,1,1,44
,,FILM,8,3075,CRUM J,16,8,1,,,,,,4,29
,,FILM,9,4205,KANIN J D,14,18,,4,,,,1,3,40
,,FILM,11,2153,BIRNBAUM M J,29,7,2,1,,,,,1,40
,,FILM,20,2154,MATTHEWS M N,9,6,9,2,,,,,4,30
,,,4206,DAVIS D,28,8,,,1,,,,2,1,40
,,FILM,21,2155,ROSENTHAL L,15,2,,3,,,,,4,24
,,,4207,BIRNBAUM M J,10,1,2,1,4,,,,,5,23
,,FILM,30,2156,DANIELS R,14,4,2,1,,1,,,3,25
,,FILM,31,2157,FLOOD S W,16,6,,,,,,,8,30
,,,2158,DAVIS D,17,10,1,,2,,,,,4,34
"Friday, August 16, 2013",,,,,,,,,,,,,,,Page 12 of 95
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Communicat,FILM,FILM,32,2159,CARRASCO S,27,,,,,,,,,27,
,,FILM,33,2160,CARRASCO S,19,,,,,,,,1,20,
,JOURN,JOURN,1,2338,OBSATZ S B,24,3,2,,,,,,2,31,
,,,,2339,STAMBLER L S,14,8,1,,,,,,2,25,
,,,,2340,RUBIN S M,4,4,3,1,5,,,,6,23,
,,JOURN,4,4256,GIGGANS J H,5,1,2,1,,,,,2,11,
,,JOURN,8,2341,STAMBLER L S,22,1,2,1,,,,,1,27,
,,,,4257,STAMBLER L S,10,1,2,3,1,,,,6,23,
,,JOURN,15,2342,RUBIN S M,7,7,7,3,2,,,,7,33,
,,JOURN,16,2343,RUBIN S M,13,2,3,1,2,,,,8,29,
,,JOURN,17,2344,RUBIN S M,2,,,,,,,,1,3,
,,,,2345,RUBIN S M,7,,,,,,,,,7,
,,JOURN,21,2346,BURKHART G J,1,1,1,,,,,,7,10,
,,JOURN,22,2347,BURKHART G J,,1,,,,,,,3,4,
,,JOURN,43,4258,ADELMAN A,6,9,1,,,,,,1,17,
,,JOURN,90,2349,RUBIN S M,,,,,,,,1,,1,
,MEDIA,MEDIA,1,2576,ROSENBERG V L,10,15,9,4,1,,,,1,40,
,,,,2577,MOVIUS L,19,15,5,1,,,,,1,41,
,,,,2578,COLEMAN D,13,14,3,1,1,,,,3,35,
,,,,2579,MOVIUS L,12,10,5,4,4,,,,1,36,
,,,,2580,BREWINGTON R H,14,17,2,2,2,,,,,37,
,,,,2581,MOVIUS L,16,14,5,2,2,,,,2,41,
,,,,2582,MUNOZ M E,16,7,4,4,,,,,2,33,
,,,,2583,MITCHELL S V,8,7,14,1,,,,,2,32,
,,,,2584,MUNOZ M E,21,13,6,1,2,,,,2,45,
,,,,2585,MITCHELL S V,8,4,15,2,,,,,2,31,
,,,,2586,MUNOZ M E,19,17,4,1,,,,,3,44,
"Friday, August 16, 2013",,,,,,,,,,,,,,,Page 13 of 95,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Communicat,MEDIA,MEDIA,1,2587,PERNISCO N,18,6,1,5,,,,,6,36,
,,,,2588,OBSATZ S B,41,4,1,,,,,1,1,48,
,,,,3067,DICKINSON L M,21,12,5,2,1,,,,2,43,
,,,,3087,SIMMONS R D,8,7,7,6,,,,,8,36,
,,,,3088,SIMMONS R D,10,5,9,7,1,,,1,5,38,
,,,,3169,LANGE J G,10,9,5,2,9,,,,1,36,
,,,,4332,CARLUCCI M A,20,6,9,3,4,1,,,2,45,
,,,,4333,KLEIN K R,21,4,4,1,,,,,6,36,
,,MEDIA,10,2589,GOUGIS M J,18,6,4,1,1,1,,,5,36,
,,,,2590,GOUGIS M J,23,3,1,1,5,,,,4,37,
,,,,2591,MOVIUS L,16,15,4,1,,,,,2,38,
,,,,2592,SCHOFIELD J E,26,9,5,1,2,,,1,2,46,
,,,,2593,HORWITZ J T,17,10,5,1,1,,,,5,39,
,,,,2594,MOVIUS L,20,11,3,6,,,,1,2,43,
,,,,2595,HORWITZ J T,15,2,,,,,,,1,18,
,,,,2596,SCHOFIELD J E,31,11,4,1,,,,,3,50,
,,,,2597,GOUGIS M J,28,4,3,,,,,2,2,39,
,,,,2598,CHARLES H E,14,9,6,10,5,,,,2,46,
