Santa Monica College - Grade Distribution Spring 2012,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Art,ART,ART,41A,1165,SIMON D L,11,8,1,1,,,,,5,26,
,,ART,52A,1166,PHILLIPS F,16,6,1,,,,,1,2,26,
,,,,1167,TOMKINSON B D,13,7,,1,,,,,3,24,
,,,,1168,PHILLIPS F,10,3,2,,,,,,2,17,
,,,,1169,PHILLIPS F,15,6,2,,,,,1,2,26,
,,ART,52B,1170,PHILLIPS F,10,4,,,,,,,1,15,
,,,,1171,PHILLIPS F,5,2,,,,,,,3,10,
,,ART,52C,1172,PHILLIPS F,4,5,,,,,,,2,11,
,,ART,60,1173,THOMASON M M,11,10,2,,1,,,,3,27,
,,ART,60B,1174,WINSRYG M W,7,1,1,,1,,,,6,16,
,,ART,61A,1175,GRECO J,6,4,,1,,,,1,4,16,
,,ART,61B,1176,GRECO J,2,4,1,,,,,,3,10,
,,ART,62,4034,SMITH T A,10,8,,,3,,,,4,25,
,ARTS,ARTS,88,1178,DAVIS R L,4,,,,,,,,,4,
,DESIGN,DESIGN 8,,1696,IRIE I,14,4,1,,,,,,2,21,
Athletics,VAR PE,VAR PE 20,,4484,BANUELOS D,9,,6,,13,,,,1,29,
,,,,4485,MURRAY Z M,4,4,2,,6,,,,3,19,
,,,,4486,LINDHEIM G M,63,7,5,3,4,,,,12,94,
,,VAR PE 45,,3136,WILSON C A,14,,,,1,,,,1,16,
,,VAR PE 48,,3137,CONTARSY S A,17,,1,,,,,,,18,
,,VAR PE 48,,3138,CONTARSY S A,18,,1,,,,,,,19,
,,VAR PE 54,,3139,GOLDENSON R M,8,,,,1,,,,,9,
,,VAR PE 56,,3140,SILVA L,34,2,2,,1,,,,3,42,
,,VAR PE 56,,3141,SILVA L,16,1,1,,,,,,3,21,
,,VAR PE 57,,3142,MAYER J L,13,,1,,,,,,1,15,
,,VAR PE 60,,3143,SPYCHAJ S L,8,6,,,,,,,2,16,
,,,,3144,GARCIA S M,23,6,,3,,,,,3,35,
,,,,3145,GARCIA S M,29,3,4,2,1,,,,8,47,
Business,ACCTG,ACCTG,1,1001,PLATZ W A,10,4,3,,10,,,,16,43,
,,,,1002,SCHAPA E J,23,9,2,1,3,,,,2,40,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 4 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Business,ACCTG,ACCTG,1,1003,RESNICK W J,21,3,4,4,9,,,1,5,47,
,,,,1004,PLATZ W A,9,9,8,5,6,,,,10,47,
,,,,1005,SCHAPA E J,24,6,6,1,1,,,1,1,40,
,,,,1006,TRIPPETTI V J,16,10,6,5,6,,,,11,54,
,,,,1007,ANDRE J M,19,11,6,1,3,,,,3,43,
,,,,1008,NAULT W H,14,2,7,4,12,,,,10,49,
,,,,1009,BROOKINS G T,8,6,2,,2,,,,12,30,
,,,,1010,HALLIDAY P D,9,6,6,2,5,,,,12,40,
,,,,1011,HALLIDAY P D,9,11,10,2,4,,,,5,41,
,,,,1012,RESNICK W J,18,6,5,2,3,,,,4,38,
,,,,1013,RESNICK W J,14,9,1,1,4,,,,10,39,
,,,,1014,DEMETRE N J,15,13,5,,5,,,1,7,46,
,,,,1015,FITZGERALD R L,7,8,6,3,7,,,1,6,38,
,,,,4001,LARIZADEH M R,8,12,6,8,3,,,,15,52,
,,,,4002,NAULT W H,16,6,2,3,1,8,1,1,13,51,
,,ACCTG,2,1016,BROOKINS G T,4,2,5,,5,1,1,,14,32,
,,,,1017,LEVITON N J,22,13,6,1,1,,,,2,45,
,,,,1018,BERNSTEIN T D,21,6,9,1,2,,,,2,41,
,,,,1019,KNIGHT R B,13,12,7,6,1,,,,8,47,
,,,,1020,HUANG AI M,7,6,9,1,1,,,,2,26,
,,,,1021,LU M,8,4,4,3,2,,,,5,26,
,,,,1022,KNIGHT R B,17,9,6,1,1,3,,,5,42,
,,,,1023,TRIPPETTI V J,13,12,9,,4,,,,4,42,
,,,,1024,DANIEL C,3,9,2,1,2,,,,4,21,
,,,,1025,BROOKINS G T,8,11,4,,3,,,,9,35,
,,,,1026,BERNSTEIN T D,15,7,2,2,4,,,,6,36,
,,,,1027,BERNSTEIN T D,10,16,2,,2,,,1,7,38,
,,,,1028,HUANG AI M,9,8,5,1,4,,2,,6,35,
,,,,1029,HANSON M P,8,6,2,1,4,,,1,8,30,
,,,,1030,HUANG AI M,10,5,4,1,3,,,1,8,32,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 5 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Business,ACCTG,ACCTG,2,4003,DANIEL C,8,5,4,,1,,,,3,21,
,,ACCTG,6,1031,HUANG AI M,3,7,7,,1,,,,8,26,
,,ACCTG,7,1032,HUANG AI M,10,8,8,,1,,1,,6,34,
,,ACCTG,10,1033,LU M,5,11,6,3,2,,,,4,31,
,,,,1034,LU M,13,4,1,3,3,,1,1,5,31,
,,,,1035,LU M,10,5,2,,1,,,,3,21,
,,ACCTG,10,1036,LU M,12,6,4,,4,,,,3,29,
,,,,4004,BROOKINS G T,2,7,1,,1,,,1,3,15,
,,ACCTG,10,1037,LU M,6,10,3,1,2,,,,7,29,
,,ACCTG,11,1038,HANSON M P,22,6,,,4,,,,5,37,
,,ACCTG,12,1039,RESNICK W J,12,13,3,1,,,,,3,32,
,,,,1040,RESNICK W J,13,12,5,,2,,,1,1,34,
,,ACCTG,15,1041,HAIG J,9,8,4,5,1,,,2,3,32,
,,ACCTG,16,1042,HAIG J,3,7,8,1,4,,,1,4,28,
,,ACCTG,21,4005,SCHAPA E J,23,1,3,,3,,,,3,33,
,,ACCTG,26,1043,HALLIDAY-ROBERT CA E,3,3,3,1,1,,,,2,13,
,,ACCTG,31,1044,VALDIVIA O,18,7,2,1,1,,,,7,36,
,,ACCTG,31,1045,VALDIVIA O,22,3,,,2,,,,2,29,
,,ACCTG,45,1049,HALLIDAY P D,13,2,1,1,2,,,,1,20,
,,,,4006,SHISHIDO K M,12,2,1,,1,,,,2,18,
,AUTO,AUTO,40,4042,BARBA R,4,8,4,,4,,,1,3,24,
,,AUTO,46,4043,KAY D,13,3,1,1,2,,,,9,29,
,,AUTO,50,1190,KAY D,10,6,6,1,11,,1,1,7,43,
,BUS,BUS,1,1251,SHISHIDO L K,14,15,5,4,5,,,,6,49,
,,,,1252,CHANDLER F G,13,8,11,5,8,,,,,45,
,,,,1253,SHISHIDO L K,13,15,11,1,5,,,,3,48,
,,,,1254,CHANDLER F G,16,10,11,5,15,,,,2,59,
,,,,1255,FINESTONE A M,15,12,13,3,2,,,,4,49,
,,,,1256,KELLY MARCELLA A,16,21,9,,3,,,,6,55,
,,,,1257,ROPER-CONLEY C,24,17,4,1,1,3,3,,9,62,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 6 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Business,BUS,BUS,1,1258,KELLY MARCELLA A,5,7,3,5,11,,,,7,38,
,,,,1259,SHISHIDO L K,5,8,6,2,3,,,,10,34,
,,,,1260,SHISHIDO L K,7,11,6,3,3,,,,8,38,
,,,,1261,SHISHIDO L K,1,13,8,4,2,,,,7,35,
,,,,1262,SHISHIDO L K,2,6,2,3,4,,,,15,32,
,,,,1263,VEAS S,44,4,3,,,,,,3,54,
,,,,1264,VEAS S,46,5,3,1,1,,,,2,58,
,,,,1265,CHANDLER F G,19,7,4,2,7,,,,,39,
,,,,1266,CHANDLER F G,17,9,3,3,1,5,,,2,40,
,,,,1267,CHANDLER F G,11,7,5,,7,,,1,2,33,
,,,,1268,TUCKER J L,15,8,7,1,2,,,,10,43,
,,,,1269,TUCKER J L,6,11,7,1,10,,,,8,43,
,,,,1270,KELLY MARCELLA A,9,7,3,,12,,,,6,37,
,,,,4059,OLIVERI J S,8,17,12,4,5,,,,3,49,
,,BUS,5,1271,RADOS-CLOKE A,11,15,4,5,2,,,,12,49,
,,,,1272,RADOS-CLOKE A,7,20,7,9,1,,,,3,47,
,,,,1273,RADOS-CLOKE A,8,14,6,11,4,,,,3,46,
,,,,1274,NASSER D M,23,14,5,1,3,2,,,1,49,
,,,,1275,KLUGMAN E B,12,17,11,,2,,,,3,45,
,,,,1276,SINDELL S M,5,5,12,4,5,,,,5,36,
,,,,1277,SINDELL S M,7,14,5,2,5,,,,2,35,
,,,,1278,SINDELL S M,1,8,7,2,5,,,,7,30,
,,,,1279,SINDELL S M,3,9,7,5,4,,,,5,33,
,,,,4060,KLUGMAN E B,10,11,12,5,2,,,,3,43,
,,,,4061,KLUGMAN E B,7,14,8,1,8,,,,6,44,
,,,,4062,SINDELL S M,3,14,12,4,6,,,,4,43,
,,BUS,6,1280,HALLIDAY-ROBERT CA E,6,9,2,1,3,,,,,21,
,,BUS,11,1281,MARGOLIS D L,16,9,1,3,6,,,1,2,38,
,,BUS,20,1282,KELLY MARCELLA A,18,13,15,1,7,,,,3,57,
,,,,1283,VEAS S,13,16,12,1,3,,,,9,54,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 7 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Business,BUS,BUS,20,1284,KELLY MARCELLA A,8,13,15,4,3,,,,3,46,
,,,,1285,VEAS S,19,6,5,,3,,,,6,39,
,,,,1286,VEAS S,16,10,7,1,9,,,,6,49,
,,,,1287,VEAS S,14,9,5,1,7,,,,11,47,
,,BUS,21,1288,IVAS L,24,10,5,,5,,,,4,48,
,,BUS,22,1289,IVAS L,25,9,7,,7,,,,6,54,
,,BUS,23,1290,COPLEN J S,15,12,8,2,3,,,,2,42,
,,BUS,26,1291,COPLEN J S,19,10,4,4,2,,,,1,40,
,,BUS,31,1292,PAIK R,5,3,9,3,7,,,,4,31,
,,BUS,32,1293,PAIK R,6,6,9,1,4,,,,3,29,
,,,,1294,ROCKWELL C,11,12,3,,2,,,,2,30,
,,,,1295,NASSER D M,13,11,3,2,,1,,,1,31,
,,,,1296,FINESTONE A M,10,15,2,2,4,1,,,1,35,
,,,,1297,NASSER D M,12,9,6,,1,,,,3,31,
,,,,1298,JUNG D,4,6,3,,5,,,,4,22,
,,,,1299,JUNG D,5,,3,3,3,,,,6,20,
,,,,1300,SOUCY S H,7,8,1,,5,,,,4,25,
,,,,1301,SOUCY S H,8,7,2,1,2,,,,1,21,
,,,,1302,SOUCY S H,8,1,4,,4,,,,5,22,
,,BUS,45,1303,HALLIDAY P D,5,5,2,,,,,,5,17,
,,,,4065,SHISHIDO K M,6,6,,,4,,,,5,21,
,,BUS,46,1304,SHISHIDO K M,10,7,8,6,2,,1,,6,40,
,,,,4066,SHISHIDO K M,11,11,6,,5,,,,5,38,
,,BUS,47,1305,HALLIDAY P D,8,1,1,,1,,,,9,20,
,,,,1306,HALLIDAY P D,2,1,2,1,3,,,,8,17,
,,BUS,50,1307,SABOLIC P C,17,7,3,,7,,,,3,37,
,,BUS,51,4067,WELTON M,28,4,1,1,3,1,,,2,40,
,,BUS,53,4068,RODRIGUEZ K P,5,7,7,1,4,,,2,10,36,
,,BUS,63,1308,CLAUSEN A I,7,6,4,1,10,,,,13,41,
,,BUS,65,1309,ROCKWELL C,15,8,2,1,3,,,,4,33,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 8 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Business,BUS,BUS,82,1310,SATTERLEE B C,12,9,,1,7,,,,2,31,
,,BUS,83,1311,SATTERLEE B C,6,7,3,,10,,,,2,28,
,COUNS,COUNS,4,1595,HALLIDAY P D,3,2,1,,2,,,,6,14,
,,,,1596,HALLIDAY P D,2,3,4,2,1,,,,4,16,
Communicat,BRDCST,BRDCST,1,1243,BEATON J L,12,11,2,1,7,,,,4,37,
,,,,1244,SHAW R D,11,8,5,,6,1,,1,6,38,
,,BRDCST,2,1245,GIGGANS J H,14,10,2,1,1,,,,6,34,
,,BRDCST,3,1246,BREWINGTON R H,11,7,2,2,2,1,,,9,34,
,,,,4055,BREWINGTON R H,14,9,,1,2,,,,14,40,
,,BRDCST,4,4056,GIGGANS J H,9,10,1,,2,,,,1,23,
,,BRDCST,5,4057,RIGGS L E,11,12,3,,,,,,5,31,
,,BRDCST,8,4058,ADELMAN A,5,10,3,,,,,,3,21,
,,BRDCST,9,1247,PERNISCO N,29,3,2,,3,,,,3,40,
,,BRDCST 4,,1248,FETZER G C,22,4,2,1,2,,,,4,35,
,,BRDCST 4,,1249,DAWSON F R,9,6,5,,,,,,10,30,
,,BRDCST 9,,1250,RIGGS L E,,,,,,,,14,2,16,
,BUS,BUS,29,4063,ADELMAN A,8,9,,,1,,,,2,20,
,,BUS,33,4064,ADELMAN A,2,3,4,1,1,,,,4,15,
,COMM,COMM,,1419,SIMMONS R D,7,14,13,4,1,,,,5,44,
,,,,1420,ROSENBERG V L,13,14,10,,,,,,4,41,
,,,,1421,MUNOZ M E,16,10,7,2,4,,,2,1,42,
,,,,1422,MITCHELL S V,9,11,11,4,3,,,,5,43,
,,,,1423,BREWER S L,7,11,9,2,2,,,,4,35,
,,,,1424,MITCHELL S V,14,7,12,2,2,,,,1,38,
,,,,1425,MITCHELL S V,11,5,13,4,2,,,,4,39,
,,,,1426,MUNOZ M E,15,17,4,1,1,,,,1,39,
,,,,1427,BREWER S L,17,6,1,,3,,,,3,30,
,,,,1428,MUNOZ M E,14,20,3,1,,1,,,1,40,
,,,,1429,RIGGS L E,28,7,4,,,,,,2,41,
,,,,1430,OBSATZ S B,37,5,2,,1,,,1,1,47,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 9 of 88,,
Department,Subject,Course,Section,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Communicat,COMM,COMM,1431,BREWER S L,22,3,3,1,,3,,,,1,33
,,,1432,BREWER S L,25,5,1,,,3,,,1,3,38
,,,4090,RIGGS L E,23,8,2,,,1,,,,4,38
,,,4091,SIMMONS R D,11,16,7,3,,,,,,5,42
,,,4490,SIMMONS R D,5,5,6,3,,2,,,,4,25
,,COMM,1433,PERNISCO N,19,3,4,2,,2,,,,1,31
,,,1434,GOUGIS M J,27,7,,,,2,1,,,1,38
,,,1435,GOUGIS M J,20,7,1,1,,5,,,,4,38
,,,1436,SCHOFIELD J E,31,13,1,2,,,,,1,,48
,,,1437,HORWITZ J T,20,7,4,,,2,1,,,,34
,,,1438,GIGGANS J H,23,19,4,1,1,3,,,1,3,55
,,,1439,HORWITZ J T,23,4,,,,,,,,1,28
,,,1440,BREWER S L,20,11,2,2,,2,,,,1,38
,,,1441,GOUGIS M J,19,6,4,2,,,,,,5,36
,,,1442,SCHOFIELD J E,32,6,,1,,1,,,,3,43
,,,1443,GOLDSTEIN MARTIN M,33,5,,,1,1,1,,,2,43
,,,1444,CHARLES H E,12,20,5,4,,2,,,,1,44
,,,1445,CHARLES H E,13,10,5,6,,4,,,,3,41
,,,1446,SCHOFIELD J E,35,9,1,,1,,,,,1,47
,,,1447,MUNOZ M E,14,7,3,,,5,,,,6,35
,,,1448,MUNOZ M E,16,3,4,2,,1,,,,11,37
,,,4092,GOLDSTEIN MARTIN M,18,12,,2,,,,,,,32
,,,4093,GOLDSTEIN MARTIN M,27,15,,,,,,,,1,43
,,,4094,MARTINEZ L C,28,1,1,,,1,,,1,3,35
,,,4095,MARTINEZ L C,30,1,,,,5,,,,4,40
,,COMM,1449,PERNISCO N,21,3,,,,2,1,,,4,31
,,COMM,8,1450,DAWSON F R,6,,,,,,,,,6
,,COMM,8,1451,DAWSON F R,2,1,,,,,,,,3
,FILM,FILM,1,2177,FLOOD S W,34,17,2,,5,,,,1,59
,,,2178,LAFFEY S A,14,17,4,2,,5,,,,1,43
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 10 of 88,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Communicat,FILM,FILM,1,2179,HUNT S E,27,5,2,3,,,,1,6,44,
,,FILM,2,2180,KANIN J D,11,17,,6,4,,,,5,43,
,,,,2181,KANIN J D,15,15,,2,3,,,,4,39,
,,,,4217,CARRASCO S,22,31,19,1,7,,,2,,82,
,,FILM,5,2182,LAFFEY S A,13,6,7,1,1,,,,7,35,
,,,,2183,KANIN J D,17,18,,3,2,,1,,1,42,
,,FILM,6,4218,HUNT S E,21,14,1,,,,,,7,43,
,,FILM,7,4219,CARRASCO S,24,14,4,,1,,,1,4,48,
,,FILM,8,4220,ROSENBERG V L,10,15,5,,2,,,,4,36,
,,FILM,9,2184,CRUM J,13,5,1,3,,,,,7,29,
,,,,4221,KANIN J D,29,11,,2,,,1,,2,45,
,,FILM,11,2185,POIRIER N P,39,30,5,,1,2,,,4,81,
,,FILM,20,2186,MATTHEWS M N,11,3,4,2,,,,,3,23,
,,,,4222,DAVIS D,24,3,1,,1,,,,2,31,
,,FILM,21,4223,ROSENTHAL L,24,2,1,,,,,,3,30,
,,,,4224,NOLAND G K,5,4,4,4,3,,,,5,25,
,,FILM,30,2187,DANIELS R,13,1,,6,,,,,3,23,
,,FILM,31,2188,DAVIS D,15,5,1,,2,,,,3,26,
,,,,2189,FLOOD S W,22,6,1,,,,,,5,34,
,,FILM,32,2190,CARRASCO S,18,4,1,1,1,,,,,25,
,,FILM,33,2191,CARRASCO S,23,,2,,,,,,,25,
,JOURN,JOURN,1,2367,RUBIN S M,7,5,6,,9,,,,6,33,
,,,,2368,STAMBLER L S,20,1,,,1,,,,2,24,
,,,,2369,RUBIN S M,3,8,4,1,1,,,,7,24,
,,JOURN,4,4277,GIGGANS J H,1,2,3,2,,,,,1,9,
,,JOURN,8,2370,STAMBLER L S,19,3,,,2,,,,5,29,
,,,,4278,STAMBLER L S,14,3,,,,,,,9,26,
,,JOURN,15,2371,RUBIN S M,9,3,5,,7,,,,5,29,
,,JOURN,16,2372,RUBIN S M,19,7,6,,3,,,,9,44,
,,JOURN,17,2373,RUBIN S M,2,,,1,,,,,,3,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 11 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Communicat,JOURN,JOURN,17,2374,RUBIN S M,3,,,,,,,,,3,
,,JOURN,21,2375,BURKHART G J,1,2,2,,1,,,,6,12,
,,JOURN,22,2376,BURKHART G J,1,1,,,,,,,1,3,
,,JOURN,43,4279,ADELMAN A,8,7,3,,,,,,1,19,
,PHOTO,PHOTO,1,2854,BURKHART G J,4,1,5,3,2,,,,3,18,
,,PHOTO,1,2855,BURKHART G J,3,4,2,1,,,,,3,13,
,SPEECH,SPEECH,1,3059,OGATA D K,42,8,3,,1,5,,,1,60,
,,,,3060,FARSCHMAN K V,8,20,2,,4,,,,2,36,
,,,,3061,KAHN R A,3,7,3,,3,,,,14,30,
,,,,3062,KRAUT D S,14,12,2,,,,,,6,34,
,,,,3063,GRASS HEMMERT N L,8,6,5,1,3,,,,1,24,
,,,,3064,SCHULTZ-MANROSS D S,6,15,3,1,4,,,,2,31,
,,,,3065,OGATA D K,42,5,,,,7,,,6,60,
,,,,3066,REGINA M A,21,9,1,1,1,,,,2,35,
,,,,3067,KAHN R A,5,11,2,2,1,4,,,8,33,
,,,,3068,HOWARD B,8,25,5,,,,,,,38,
,,,,3069,KRAUT D S,18,10,1,,1,,,,1,31,
,,,,3070,WHIDDEN A R,13,11,6,,2,1,,,,33,
,,,,3071,DAWSON F R,9,18,5,1,5,,,,1,39,
,,,,3072,MCNAMARA C V,6,14,7,,4,,,,3,34,
,,,,3073,HOWARD B,10,16,3,2,3,,,,1,35,
,,,,3074,BROWN N A,19,5,2,,,,,,5,31,
,,,,3075,REGINA M A,21,6,1,,1,,,,3,32,
,,,,3076,MC KAIG M S,3,6,5,3,9,,,,3,29,
,,,,3077,OGATA D K,47,7,1,,1,7,,,2,65,
,,,,3078,FERNIANY M,4,5,1,2,2,,,,6,20,
,,,,3079,FERNIANY M,2,10,5,6,1,1,,,4,29,
,,,,3080,PRESTON B L,21,12,,,,,,,1,34,
,,,,3081,PRESTON B L,14,12,,,2,,,,4,32,
,,,,3082,MCNAMARA C V,6,17,10,,1,,,,2,36,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 12 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Communicat,SPEECH,SPEECH,1,4461,FARSCHMAN K V,8,16,3,,,,,,6,33,
,,,,4462,HOWARD D B,20,3,4,1,1,,,1,3,33,
,,,,4463,MARTIN B S,11,10,2,2,6,,,,4,35,
,,,,4464,LEMONDS B W,10,22,2,,,,,,3,37,
,,,,4465,MARTIN B S,14,5,3,,4,,,,3,29,
,,,,4466,ANDERSON F D,20,6,1,,1,,,,5,33,
,,,,4467,FARSCHMAN K V,12,11,3,,4,,,,4,34,
