Santa Monica College - Grade Distribution Fall 2014,,,,,,,,,,,,,,,,,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Business,ACCTG,ACCTG,1,1015,DEMETRE N J,13,4,2,2,1,,,,21,,43,
,,,,1016,PLATZ W A,2,3,1,3,7,,,1,12,,29,
,,,,1017,PLATZ W A,4,6,6,1,13,,,,7,,37,
,,,,1018,BROOKINS G T,5,10,4,1,3,,,,15,,38,
,,,,1019,ANDRE J M,8,4,4,2,,,,,9,,27,
,,,,3436,LIM WIN Y,7,2,3,1,7,,,,3,,23,
,,,,3447,MAIER L S,7,1,4,,3,,,,2,,17,
,,,,4001,HICKS L E,16,11,5,2,4,,1,,2,,41,
,,,,4002,NAULT W H,8,5,8,2,6,,,,9,,38,
,,ACCTG,2,1020,KNIGHT R B,8,10,10,,2,1,,,11,,42,
,,,,1021,LEVITON N J,14,10,5,1,,,,,5,,35,
,,,,1022,BERNSTEIN T D,16,9,9,3,,,,,6,,43,
,,,,1023,BERNSTEIN T D,14,7,3,1,2,,,,5,,32,
,,,,1024,KNIGHT R B,8,10,5,2,4,,,,9,,38,
,,,,1025,LU M,17,9,5,1,1,,,,5,,38,
,,,,1026,HUANG AI M,10,1,2,1,1,,,,3,,18,
,,,,1027,LEVITON N J,25,8,2,,1,,,,4,,40,
,,,,1028,ARAKELIAN A,15,7,3,,2,,,,1,,28,
,,,,1029,BROOKINS G T,3,5,4,7,2,,,,5,,26,
,,,,1030,HUANG AI M,16,8,7,2,3,,,,3,,39,
,,,,1031,HUANG AI M,20,1,3,1,4,,,,4,,33,
,,,,1032,DANIEL C,2,6,5,,5,,,,7,,25,
,,,,1033,DANIEL C,4,3,6,,5,,,,5,,23,
,,,,1034,CARBALLO P S,4,3,7,4,9,,,,9,,36,
,,,,4003,ARAKELIAN A,5,7,7,,2,,,,6,,27,
,,ACCTG,6,1035,HUANG AI M,9,7,5,,1,,,,5,,27,
,,ACCTG,7,1036,HANSON M P,17,12,1,,,,,,5,,35,
,,ACCTG,9,3381,BERNSTEIN T D,11,12,6,2,1,,,,5,,37,
,,,,3382,BERNSTEIN T D,18,7,3,,,,,,3,,31,
"Monday, February 23, 2015",,,,,,,,,,,,,,,,Page 6 of 97,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Business,ACCTG,ACCTG,10A,1037,LU M,9,13,2,1,1,,,,2,,28,
,,,,1038,LU M,4,15,2,2,2,,,,2,,27,
,,,,4004,LU M,6,3,1,,,,,1,6,,17,
,,ACCTG,10B,1039,LU M,6,12,4,,,,,,5,,27,
,,,,1040,LU M,8,11,3,1,,,,,5,,28,
,,,,4005,BROOKINS G T,1,5,6,1,1,,,,3,,17,
,,ACCTG,10C,1041,HAIG J,6,9,7,1,1,,,,4,,28,
,,,,4006,HANSON M P,2,5,3,,,,,,9,,19,
,,ACCTG,11,1042,HANSON M P,12,11,1,,,,,,1,,25,
,,ACCTG,12,1043,RESNICK W J,9,13,2,1,,,,,3,,28,
,,,,1044,RESNICK W J,11,7,3,1,,,,,2,,24,
,,ACCTG,15,1045,FITZGERALD R L,6,9,4,4,,,,,2,,25,
,,,,4007,HAIG J,4,9,3,2,2,,,,4,,24,
,,ACCTG,16,1046,KIM J S,8,11,,,2,,,1,4,,26,
,,,,4008,KIM J S,3,5,1,1,2,,,,3,,15,
,,ACCTG,21,4009,SCHAPA E J,26,3,,,4,,,,5,,38,
,,ACCTG,26,1047,HALLIDAY-ROBERT CA,4,2,2,1,,,,,,,9,
,,ACCTG,31A,1048,VALDIVIA O,14,10,2,,3,,,,4,,33,
,,ACCTG,31B,1049,VALDIVIA O,16,6,1,,2,1,,,2,,28,
,,ACCTG,45,1053,HALLIDAY P D,5,,2,1,4,,,,2,,14,
,AUTO,AUTO,40,4055,KAY D,23,5,,,,,,,7,,35,
,,AUTO,46,3380,KAY D,14,4,,,,,,,2,,20,
,BUS,BUS,1,1242,ROPER-CONLEY C,1,11,11,6,10,2,,,4,,45,
,,,,1243,SEDKY S M,21,9,8,5,1,,,,1,,45,
,,,,1244,ROPER-CONLEY C,6,19,16,10,12,1,,,9,,73,
,,,,1246,SHISHIDO K M,13,14,9,2,6,,,,7,,51,
,,,,1247,KELLY MARCELLA A,21,17,11,2,5,,,,1,,57,
,,,,1248,SHISHIDO K M,10,11,10,1,8,,1,,9,,50,
,,,,1249,VEAS S,49,1,2,,1,,,,1,,54,
"Monday, February 23, 2015",,,,,,,,,,,,,,,,Page 7 of 97,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Business,BUS,BUS,1,1250,CHANDLER F G,10,10,6,3,8,1,,,4,,42,
,,,,1251,CHANDLER F G,10,7,7,1,3,,,,9,,37,
,,,,1252,MANDELBAUM A B,12,1,4,5,4,,,,5,,31,
,,,,1253,KELLY MARCELLA A,12,6,5,,5,,,,9,,37,
,,,,1254,TUCKER J L,9,5,7,3,8,,,,5,,37,
,,,,1255,TUCKER J L,13,3,4,3,7,,,,7,,37,
,,,,1256,VEAS S,45,3,,1,1,,,,1,,51,
,,,,1257,KELLY MARCELLA A,11,3,7,1,11,,,,2,,35,
,,,,1258,KELLY MARCELLA A,11,7,7,10,,,,,7,,42,
,,,,1259,VEAS S,46,2,,,1,,,,3,,52,
,,,,3437,SABOLIC P C,8,6,5,2,7,,,,2,,30,
,,,,3448,NASSER D M,2,,,1,,,,,1,,4,
,,,,4066,OLIVERI J S,2,11,5,,6,,,,2,,26,
,,,,4067,OLIVERI J S,8,9,11,2,5,,,,6,,41,
,,,,4068,ROPER-CONLEY C,7,23,4,3,4,1,,,12,,54,
,,BUS,5,1260,RADOS-CLOKE A,12,13,8,3,1,,,,9,,46,
,,,,1261,RADOS-CLOKE A,9,15,11,8,5,,,,5,,53,
,,,,1262,RADOS-CLOKE A,17,13,13,1,2,,,,6,,52,
,,,,1263,NASSER D M,23,11,11,,,,,,3,,48,
,,,,1264,NASSER D M,14,11,3,1,8,,,2,6,,45,
,,,,1265,DOWNS J M,1,3,13,3,7,,,,8,,35,
,,,,1266,KLUGMAN E B,10,3,6,10,2,,,,7,,38,
,,,,1267,HALLIDAY-ROBERT CA,8,8,3,4,3,,1,,4,,31,
,,,,1268,SINDELL S M,2,9,16,2,2,,,,8,,39,
,,,,4069,KLUGMAN E B,6,9,9,5,2,,,,6,,37,
,,,,4070,O'NEAL S L,4,7,4,2,7,,,,9,,33,
,,,,4071,KLUGMAN E B,9,9,8,3,7,,,,9,,45,
,,BUS,6,1269,HALLIDAY-ROBERT CA,3,11,5,1,1,,,1,1,,23,
,,BUS,11,1270,MARGOLIS D L,13,15,4,,8,,,,5,,45,
"Monday, February 23, 2015",,,,,,,,,,,,,,,,Page 8 of 97,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Business,BUS,BUS,15,4072,ULBRICHT T,4,5,5,6,4,,,,15,,39,
,,BUS,16,1271,COMBS G E,3,7,3,2,11,,,,7,,33,
,,BUS,20,1272,SABOLIC P C,3,16,9,2,5,,,,6,,41,
,,,,1273,KELLY MARCELLA A,3,11,18,2,7,,,,1,,42,
,,,,1274,VEAS S,22,10,6,1,3,,1,,3,,46,
,,,,1275,VEAS S,21,10,1,3,3,,,,5,,43,
,,,,1276,VEAS S,21,4,6,3,10,,,,1,,45,
,,,,1277,VEAS S,17,6,6,1,11,,,,3,,44,
,,,,4073,OLIVERI J S,4,10,7,2,4,,,,9,,36,
,,BUS,22,1278,IVAS L,24,6,3,,2,,,,5,,40,
,,BUS,23,1279,COPLEN J S,11,17,13,2,,,,,4,,47,
,,BUS,25,1280,IVAS L,27,4,,1,3,,,,4,,39,
,,BUS,26,1281,COPLEN J S,9,9,2,6,,,,,9,,35,
,,BUS,31,1282,PAIK R,5,2,4,3,1,,,,6,,21,
,,,,1283,PAIK R,1,4,10,6,5,1,,1,4,,32,
,,,,1284,SANTILLANES A,,4,10,2,4,,,1,1,,22,
,,BUS,32,1285,ROCKWELL C,6,5,6,,4,,,,8,,29,
,,,,1286,ROCKWELL C,8,6,3,3,2,,,,3,,25,
,,,,1287,FINESTONE A M,16,6,5,,4,,,,3,,34,
,,,,1288,PAIK R,1,14,10,2,4,,,,5,,36,
,,,,1289,JUNG D,3,4,3,2,2,,,,8,,22,
,,,,1290,JUNG D,1,5,2,,1,,,,9,,18,
,,,,1291,SOUCY S H,6,8,2,1,2,,,1,3,,23,
,,,,1292,SOUCY S H,6,4,1,1,2,,,,4,,18,
,,,,1293,SOUCY S H,2,3,4,1,4,,,,3,,17,
,,BUS,34,1294,HAIG J D,20,5,5,,8,,2,,3,,43,
,,BUS,45,1295,HALLIDAY P D,8,3,2,1,5,,,,2,,21,
,,BUS,46,4076,SHISHIDO K M,8,11,5,5,3,,1,,16,,49,
,,BUS,47,1297,HALLIDAY P D,3,1,,,,,,1,2,,7,
"Monday, February 23, 2015",,,,,,,,,,,,,,,,Page 9 of 97,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Business,BUS,BUS,47,1298,HALLIDAY P D,4,2,,1,,,,,,,7,
,,BUS,50,1299,ALEXANDER J S,5,9,16,2,4,,,,,,36,
,,,,3425,SABOLIC P C,1,7,7,1,8,,,,2,,26,
,,BUS,51,4077,WELTON M,19,9,2,3,,,,,3,,36,
,,BUS,52,1301,MANDELBAUM A B,11,10,12,1,3,,,,1,,38,
,,BUS,53,1302,RODRIGUEZ K P,5,8,4,2,2,,,,7,,28,
,,BUS,62,1303,BABCOCK L G,18,10,5,1,4,,,,4,,42,
,,BUS,63,1304,CLAUSEN A I,3,11,1,6,,,,,6,,27,
,,,,4078,ALEXANDER J S,12,8,4,3,8,,,,11,,46,
,,BUS,65,1305,ROCKWELL C,12,12,7,5,3,,,,2,,41,
,,BUS,80,4079,RODRIGUEZ K P,9,14,5,1,5,,,,4,,38,
,,BUS,81,1306,SATTERLEE B C,9,10,3,1,,,,,6,,29,
,COUNS,COUNS,47,1655,HALLIDAY P D,5,3,1,3,,,,,,,12,
,,,,1656,HALLIDAY P D,1,5,2,3,,,,,2,,13,
Communicatio,BUS,BUS,29,4074,ADELMAN A,5,11,1,1,,,,,4,,22,
,,BUS,33,4075,ADELMAN A,,5,2,,,,,,2,,9,
,COM ST,COM ST,9,1429,OGATA D K,21,5,,6,,5,,,3,,40,
,,COM ST 11,,1430,OGATA D K,34,13,1,2,,1,,,6,,57,
,,,,1431,MARTIN B S,13,9,3,1,3,,,,2,,31,
,,,,1432,BROCCARD D,15,16,2,3,,,,,2,,38,
,,,,1433,BERMUDEZ JR N A,27,7,2,1,1,,,,,,38,
,,,,1434,BERMUDEZ JR N A,17,2,2,2,2,,,,2,,27,
,,,,1435,MARTIN B S,16,7,3,1,1,,,1,3,,32,
,,,,1436,OGATA D K,51,5,,,,1,,,1,,58,
,,,,1437,EVANS J D,23,9,1,3,,,,,8,,44,
,,,,1438,JUNIUS J A,7,17,10,1,,,,,3,,38,
,,,,1439,BROCCARD D,19,11,3,1,,,,,6,,40,
,,,,1440,WHIDDEN A R,11,13,3,2,,,,,,,29,
,,,,1441,KAHN R A,8,4,1,3,4,,,,8,,28,
"Monday, February 23, 2015",,,,,,,,,,,,,,,,Page 10 of 97,
Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Communicatio,COM ST,COM ST 11,1442,JUNIUS J A,10,11,4,3,5,,,,,5,,38
,,,1443,MCNAMARA C V,10,6,11,1,3,,,,,7,,38
,,,1444,SHAFFER J M,5,4,7,1,3,,,,,11,,31
,,,1445,KAHN R A,8,7,5,3,2,,,,,6,,31
,,,1446,BROWN N A,11,9,3,,,,,,,7,,30
,,,1447,MCNAMARA C V,10,10,6,2,2,,,,,7,,37
,,,1448,OGATA D K,35,15,,,3,,6,,,1,,60
,,,1449,PRESTON B L,28,10,,,,,,,,,,38
,,,1450,PRESTON B L,22,6,,,1,,,,,3,,32
,,,1451,FARSCHMAN K V,16,13,1,,2,,,,,2,,34
,,,3444,JUNIUS J A,4,2,1,,,,,,,6,,13
,,,4100,HOWARD B,8,16,10,2,,,,,,3,,39
,,,4101,HOWARD B,6,12,17,,2,,,,,2,,39
,,,4102,FARSCHMAN K V,13,14,,,4,,,,,5,,36
,,,4103,SMITH F N,6,17,4,3,3,,,,,3,,36
,,,4104,HOWARD D B,8,17,3,2,2,,,,,6,,38
,,,4105,PRESTON B L,26,12,,,,,,,,,,38
,,,4106,LEMONDS B W,15,11,2,,,,,,,,,28
,,,4107,HOWARD B,6,11,11,1,3,,,,,4,,36
,,,4108,FARSCHMAN K V,13,13,1,,2,,,,,3,,32
,,,4109,HOWARD D B,20,10,,,2,,,,,6,,38
,,COM ST 12,1452,WHIDDEN A R,14,12,8,,,,,,,2,,36
,,COM ST 13,1453,MCNAMARA C V,14,8,6,2,2,,,,,3,,35
,,COM ST 14,1454,FOX N M,4,5,5,,1,,,,,6,,21
,,COM ST 16,1455,MEGA M A,3,18,10,2,2,,,,,,,35
,,,1456,MEGA M A,18,6,7,,1,,,,,3,,35
,,,4110,BROCCARD D,7,20,3,1,1,,,,,,,32
,,COM ST 21,1457,FOX N M,11,10,4,2,2,,,,,5,,34
,,,1458,BROWN N A,11,6,2,1,4,,,,,7,,31
"Monday, February 23, 2015",,,,,,,,,,,,,,,,Page 11 of 97
Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Communicatio,COM ST,COM ST 21,1459,EVANS J D,38,3,3,,,,,,,,,44
,,,1460,BROWN N A,10,3,3,1,2,,,,1,9,,29
,,COM ST 31,1461,GRASS HEMMERT N L,11,7,2,,,,,,,6,,26
,,COM ST 35,1462,KRAUT D S,18,8,5,,,,,,,1,,32
,,,1463,SADEGHI-TABRIZI F,8,8,5,,5,,,,,6,,32
,,,1464,OGATA D K,46,6,,,2,,5,,,3,,62
,,,1465,KRAUT D S,13,8,1,,,,,,,6,,28
,,,1466,KRAUT D S,13,7,6,,,,,,,,,26
,,,1467,OGATA D K,48,2,,,5,,3,,,,,58
,,,1468,KRAUT D S,12,14,2,3,,,1,,,2,,34
,,,1469,SMITH H A,7,8,8,4,1,,,,,4,,32
,,,1470,KRAUT D S,16,6,2,,2,,,,,3,,29
,,,1471,SMITH H A,5,7,8,3,,,,,,3,,26
,,,1472,MEGA M A,4,9,12,5,,,,,,4,,34
,,,1473,SMITH H A,2,10,6,2,,,,,,6,,26
,,,1474,SHAFFER J M,1,12,8,5,7,,,,,1,,34
,,,1475,BROWN N A,7,9,8,1,,,,,,3,,28
,,,1476,BROWN N A,8,4,1,1,,,,,,8,,22
,,,1477,WALKER D A,15,5,2,,1,,,,,1,,24
,,,3438,SMITH F N,2,7,7,3,3,,,,,,,22
,,,4111,KAIMIKAUA C I,13,9,,,4,,,,,4,,30
,,,4112,BERGSTROM L M,13,6,4,2,6,,,,,1,,32
,,COM ST 37,1478,SADEGHI-TABRIZI F,5,10,9,3,1,,,,,4,,32
,,,1479,PICARELLI R R,8,14,2,,2,,,,,6,,32
,,,1480,SMITH H A,5,6,3,3,,,,,,9,,26
,,,1481,SMITH H A,5,5,3,4,1,,,,,9,,27
,,,1482,KAIMIKAUA C I,4,5,1,,,,,,,10,,20
,,,1483,GRASS HEMMERT N L,5,6,6,1,5,,,,,4,,27
,FILM,FILM,1,2332,BOLUS M P,14,13,4,1,2,,,,2,,36
"Monday, February 23, 2015",,,,,,,,,,,,,,,,Page 12 of 97
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Communicatio,FILM,FILM,1,2333,LAFFEY S A,10,12,6,4,2,,,,5,,39,
,,,,2334,HUNT S E,13,7,1,1,1,,,,6,,29,
,,,,3446,CRUM J,8,4,1,,,,,,3,,16,
,,,,4238,LEECH M R,26,7,2,1,1,,,,4,,41,
,,FILM,2,2335,KANIN J D,10,50,2,4,7,,,,14,,87,
,,,,2336,KANIN J D,29,41,5,6,,,,,7,,88,
,,,,4239,CARRASCO S,21,18,,,2,,,,7,,48,
,,FILM,5,2337,SHADYAC T P,33,2,,,,,,,4,,39,
,,,,2338,KANIN J D,19,40,1,4,9,,,,13,,86,
,,FILM,6,2339,HUNT S E,15,7,,,,4,,,3,,29,
,,FILM,7,4240,CARRASCO S,29,4,,,2,,,,3,,38,
,,FILM,8,2340,LAFFEY S A,5,11,5,4,4,,,,4,,33,
,,,,4241,ROSENBERG V L,6,9,2,,1,,,,6,,24,
