Santa Monica College - Grade Distribution Fall 2015,,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
,,,,1262,SABOLIC P C,15,20,3,2,,,,,3,,43,
,,,,1254,ROPER-CONLEY C,1,12,12,2,2,4,,,5,,38,
,,,,1264,SEDKY S M,25,7,4,2,3,,,,4,,45,
,,,,1256,ROCKWELL C,9,4,6,2,7,,,,12,,40,
,,,,1257,SEDKY S M,17,12,8,4,2,,,,,,43,
,,,,1258,ROCKWELL C,10,9,3,5,7,,,,11,,45,
,,,,1259,KELLY MARCELLA A,17,13,6,1,5,,,,4,,46,
,,,,1261,PAIK R,4,12,6,3,4,,,,3,,32,
,,,,1263,KELLY MARCELLA A,17,10,6,1,6,,,,2,,42,
,,BUS,5,4063,KLUGMAN E B,9,7,10,1,1,,,,5,,33,
,,,,3602,KHALIL N,9,7,6,1,5,,,,7,,35,
,,,,1281,HALLIDAY-ROBERT CA,9,5,6,2,8,,,,5,,35,
,,,,,E,,,,,,,,,,,,
,,,,,,,,,,,,,,Page 9 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Business,BUS,BUS,5,1282,SINDELL S M,3,9,10,4,,,,,5,,31,
,,,,4064,KLUGMAN E B,12,7,5,2,5,,,,10,,41,
,,,,1280,NASSER D M,9,10,6,2,3,,,,,,30,
,,,,1278,NASSER D M,19,12,11,2,1,,,,1,,46,
,,,,1277,NASSER D M,16,12,12,3,3,,,,,,46,
,,,,1276,RADOS-CLOKE A,9,13,20,5,2,,,,2,,51,
,,,,1275,NASSER D M,23,12,9,1,,,,,1,,46,
,,,,1274,RADOS-CLOKE A,13,14,9,1,3,,,,8,,48,
,,,,1273,RADOS-CLOKE A,10,8,13,5,,,,,12,,48,
,,,,3523,DOWNS J M,3,2,8,11,11,,,,5,,40,
,,,,1279,KLUGMAN E B,4,10,9,4,1,,,,9,,37,
,,BUS,6,1284,HALLIDAY-ROBERT CA,8,11,8,3,,,,,1,,31,
,,,,,E,,,,,,,,,,,,
,,,,1283,NASSER D M,12,9,6,2,,,,,2,,31,
,,BUS,11,1285,MARGOLIS D L,14,9,1,2,6,,,1,10,,43,
,,BUS,20,1287,SABOLIC P C,4,17,8,6,,,,,2,,37,
,,,,1288,SABOLIC P C,4,17,14,1,7,1,,,4,,48,
,,,,1289,KELLY MARCELLA A,22,7,9,1,2,,,,3,,44,
,,,,1290,SEDKY S M,15,6,3,1,5,,1,,5,,36,
,,,,1291,VEAS S,20,7,1,6,,,,,5,,39,
,,,,1292,VEAS S,14,8,2,1,3,1,,,7,,36,
,,,,4066,OLIVERI J S,9,7,7,5,,,,,8,,36,
,,,,1286,PACCIORETTI T S,8,7,5,2,8,,,,10,,40,
,,BUS,22,1293,COPLEN J S,12,13,5,1,3,,,,9,,43,
,,BUS,23,1294,PACCIORETTI T S,25,9,2,1,,,,,2,,39,
,,,,,,,,,,,,,,Page 10 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Business,BUS,BUS,23,3515,PACCIORETTI T S,23,7,4,1,3,,,1,4,,43,
,,BUS,25,4497,NALEPA L L,14,3,1,1,4,,,,5,,28,
,,BUS,26,1296,COPLEN J S,9,11,4,,3,,,,2,,29,
,,BUS,28,4517,WILLIAMS AY,17,7,,,,,,,,,24,
,,BUS,31,1297,PAIK R,2,7,3,2,5,,,,2,,21,
,,,,1298,PAIK R,5,4,3,1,3,,,1,5,,22,
,,,,1299,SANTILLANES A,1,3,7,3,3,,,,4,,21,
,,BUS,32,1302,SEDKY S M,14,9,2,1,1,,,,3,,30,
,,,,4492,WELTON M,15,9,3,,1,,,,1,,29,
,,,,1309,SOUCY S H,2,2,5,2,2,,,,3,,16,
,,,,1308,SOUCY S H,3,5,3,1,2,,,,5,,19,
,,,,1307,SOUCY S H,8,5,3,1,2,,,,6,,25,
,,,,1306,JUNG D,2,4,2,,2,,,,10,,20,
,,,,1305,JUNG D,,5,1,1,7,,,,10,,24,
,,,,1303,SEDKY S M,15,11,2,1,4,,,,,,33,
,,,,1301,MCCLUSKEY T,6,13,1,,3,2,,,2,,27,
,,,,1300,MCCLUSKEY T,6,6,2,4,7,,1,,2,,28,
,,,,1304,WELTON M,21,8,,1,,,,,2,,32,
,,BUS,34,1310,HAIG J D,23,5,5,,6,,,,5,,44,
,,BUS,45,1312,RESNICK W J,6,3,1,2,,,,,3,,15,
,,,,3561,EVERETT K M,3,1,3,1,4,,,,5,,17,
,,,,1311,HALLIDAY P D,6,7,4,4,10,,,1,8,,40,
,,BUS,46,4069,SHISHIDO K M,10,10,4,2,5,,,,15,,46,
,,BUS,47,1313,HALLIDAY P D,5,2,,,3,,,,3,,13,
,,,,1314,HALLIDAY P D,2,5,1,,,,,,1,,9,
,,,,,,,,,,,,,,Page 11 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Business,BUS,BUS,47,3502,HALLIDAY P D,6,2,,,,,,,1,,9,
,,BUS,50,1315,ALEXANDER J S,4,10,6,1,3,,,,12,,36,
,,,,3513,ALEXANDER J S,3,2,6,6,,,,1,3,,21,
,,BUS,51,1317,WELTON M,10,6,1,4,,1,,,3,,25,
,,BUS,52,1318,MANDELBAUM A B,8,9,3,1,4,,,,3,,28,
,,BUS,53,1319,RODRIGUEZ K P,11,8,1,1,3,1,,,7,,32,
,,BUS,62,1320,BABCOCK L G,13,10,3,3,2,,,,9,,40,
,,BUS,63,1321,CLAUSEN A I,3,7,7,6,,,1,,5,,29,
,,,,4070,ALEXANDER J S,9,12,2,2,6,,,,5,,36,
,,BUS,65,1322,ROCKWELL C,8,10,3,4,11,,,,9,,45,
,,BUS,80,4071,RODRIGUEZ K P,13,3,1,2,5,,,,9,,33,
,,BUS,81,1323,SATTERLEE B C,9,8,1,1,5,,,,7,,31,
,COUNS,COUNS,47,1678,HALLIDAY P D,5,3,,2,,,,1,2,,13,
,,,,1679,HALLIDAY P D,6,8,,,,,,,,,14,
,,,,3501,HALLIDAY P D,5,3,1,,,,,,2,,11,
Communication,BUS,BUS,29,4067,ADELMAN A,6,10,3,,,,,,2,,21,
,,BUS,33,4068,ADELMAN A,1,12,4,,,,,,2,,19,
,COM ST,COM ST,9,1450,MEGA M A,5,9,8,6,2,,,,2,,32,
,,,,1448,OGATA D K,33,9,,,,4,,,2,,48,
,,,,1449,RUH C,6,9,7,2,5,,,,8,,37,
,,COM ST 11,,4095,FARSCHMAN K V,8,14,1,2,,1,1,,9,,36,
,,,,1472,OGATA D K,46,14,2,1,,3,,,2,,68,
,,,,1473,PRESTON B L,25,9,,,,,,,2,,36,
,,,,1474,PRESTON B L,22,6,3,,,,,1,3,,35,
,,,,,,,,,,,,,,Page 12 of 119,,,
Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Communication,COM ST,COM ST 11,1475,MCNAMARA C V,4,12,11,1,8,,,,,3,,39
,,,1476,FOX N M,6,12,7,1,5,,,,,1,,32
,,,1477,FARSCHMAN K V,13,12,4,1,3,,,,,1,,34
,,,4092,HOWARD B,9,24,2,2,,,,,,1,,38
,,,4093,HOWARD D B,10,14,4,,4,,,,,4,,36
,,,4094,HOWARD B,4,11,10,2,3,,,,2,4,,36
,,,4096,JAMES M L,17,6,4,1,,,,,,5,,33
,,,4097,HOWARD D B,11,11,5,,3,,,,1,4,,35
,,,4098,PRESTON B L,18,11,6,,1,,,,,1,,37
,,,4099,LEMONDS B W,8,11,1,,,,,,,6,,26
,,,4100,FARSCHMAN K V,16,12,1,,1,,,,,4,,34
,,,4101,HOWARD D B,12,10,4,,5,,,,,2,,33
,,,4506,WARD M M,5,6,1,,5,,,,,5,,22
,,,1471,FOX N M,8,6,10,1,3,,,,,5,,33
,,,1458,JUNIUS J A,12,16,3,2,2,,,,,4,,39
,,,1460,WHIDDEN A R,7,12,6,,,,1,,,3,,29
,,,1470,MCNAMARA C V,5,12,17,,1,,,,,3,,38
,,,1451,OGATA D K,30,11,,,2,,1,,,3,,47
,,,1452,SILVERSTEIN A Y,13,12,2,,1,,,,,5,,33
,,,1453,RUH C,10,7,6,,4,,,,,,,27
,,,1454,KAHN R A,2,6,6,,3,,,,,10,,27
,,,1455,MARTIN B S,15,9,1,1,,,,,,3,,29
,,,1457,OGATA D K,52,7,,,,,1,,,,,60
,,,1459,MARTIN B S,8,13,3,1,,,,,,6,,31
,,,,,,,,,,,,,,Page 13 of 119,,
Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Communication,COM ST,COM ST 11,1461,ANDRADE L M,4,14,9,2,8,,,,,2,,39
,,,1462,SHAFFER J M,2,13,9,3,,,,,,7,,34
,,,1463,JUNIUS J A,5,11,8,4,3,,,,,6,,37
,,,1464,MCNAMARA C V,4,18,6,,3,,,,,6,,37
,,,1465,BROCCARD D,6,11,6,,2,,2,,,9,,36
,,,1466,WHIDDEN A R,14,14,1,,2,,,,,2,,33
,,,1467,SHAFFER J M,2,8,9,5,,,,,,11,,35
,,,1468,BROWN N A,12,3,3,,1,,,,,10,,29
,,,1469,JUNIUS J A,8,16,7,,1,,,,,6,,38
,,,1456,BERMUDEZ JR N A,26,4,,,3,,,,,1,,34
,,COM ST 12,1478,WHIDDEN A R,12,12,2,,,,,,1,5,,32
,,COM ST 14,1479,FOX N M,5,6,5,1,6,,,,,2,,25
,,COM ST 16,1480,ANDRADE L M,1,10,13,6,4,,,,,2,,36
,,,1484,MEGA M A,13,10,4,1,,,,,,2,,30
,,,4102,GHARABIGHI A,21,4,,,,,,,,2,,27
,,,1482,BROCCARD D,11,19,2,,,,,,,5,,37
,,,1481,ANDRADE L M,3,15,7,3,4,,,,,,,32
,,,1483,ANDRADE L M,4,15,7,2,2,,,,,2,,32
,,COM ST 21,1485,ANDRADE L M,9,16,3,1,1,,,,,3,,33
,,,1486,MATTHEWS N C,12,8,5,2,1,,,,,4,,32
,,,1487,BROWN N A,9,10,7,1,2,,,,,4,,33
,,,1488,BROWN N A,14,9,6,,3,,,,,,,32
,,COM ST 22,3503,BROWN N A,14,2,2,,5,,,,,7,,30
,,,3504,ANDRADE L M,7,3,2,,9,,,,,4,,25
,,,,,,,,,,,,,,Page 14 of 119,,
Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Communication,COM ST,COM ST 30,1489,BROCCARD D,8,7,8,1,3,,,,,2,,29
,,COM ST 31,1490,BROCCARD D,5,10,5,2,,,,,,3,,25
,,COM ST 35,1502,GHARABIGHI A,20,5,3,1,,,,,,4,,33
,,,4104,BERGSTROM L M,8,9,6,2,2,,,,,3,,30
,,,1491,EVANS J D,19,7,1,,2,,,,,2,,31
,,,4103,MEGA M A,5,12,6,6,1,,,,,2,,32
,,,3566,BERMUDEZ JR N A,12,8,5,,2,,,,,2,,29
,,,1505,WALKER D A,18,4,4,,,,,,,2,,28
,,,1504,BROWN N A,10,7,4,,,,,,,1,,22
,,,1503,BROWN N A,10,4,3,1,,,,,1,3,,22
,,,4105,HOWARD B,5,16,4,2,2,,,,,4,,33
,,,1500,GHARABIGHI A,10,7,2,,4,,,,,7,,30
,,,1499,BROADY B L,19,5,4,3,2,,,,,2,,35
,,,1498,BROADY B L,15,11,2,1,4,,,,,2,,35
,,,1497,OGATA D K,40,9,2,,1,,3,,,2,,57
,,,1496,SADEGHI-TABRIZI F,7,11,7,,1,,,,,5,,31
,,,1495,EVANS J D,12,12,3,,2,,,,,1,,30
,,,1492,BROADY B L,14,7,4,2,2,,,,,2,,31
