Santa Monica College - Grade Distribution Fall 2012,,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
,,ART,52B,1172,PHILLIPS F,11,4,5,,1,,,,,4,25,
,,ART,60,1173,THOMASON M M,15,4,2,2,1,,,,1,3,28,
,,ART,60B,1174,DUGANNE J A,8,3,2,2,,,,1,,2,18,
,,ART,62,4039,SMITH T A,13,9,2,,,,,,,4,28,
,,ART,90A,1175,MEYER W J,4,,,,,,,,,1,5,
,ARTS,ARTS,88,1176,DAVIS R L,6,,,,,,,,,,6,
,DESIGN,DESIGN 8,,1746,HATTON C,19,4,,,,,1,,,3,27,
Athletics,VAR PE,VAR PE,9,3244,JENKINS J M,18,,1,,10,,,,,8,37,
,,VAR PE,9,3245,STRONG L M,10,,1,,,,,,,4,15,
,,VAR PE 14,,3246,BARRON E A,16,2,,,,,,,,2,20,
,,VAR PE 14,,3247,BARRON E A,12,,,,1,,,,,1,14,
,,VAR PE 21,,3248,LINDHEIM G M,82,,,,,,,,,1,83,
,,VAR PE 43,,3279,PIERCE T L,24,,,,,,,,,1,25,
,,VAR PE 43,,3249,BENDITSON A,21,,,,,,,,,2,23,
,,VAR PE 50,,3250,ESKRIDGE B M,26,,,,1,,,,,2,29,
,,VAR PE 50,,3251,CONTARSY S A,12,,,,,,,,,3,15,
,,VAR PE 57,,3252,RYAN N A,12,,,,,,,,,3,15,
,,VAR PE 60,,3253,CULBERTSON I P,19,5,5,3,1,,,,,10,43,
Business,ACCTG,ACCTG,1,1001,SCHAPA E J,20,9,3,,6,,,,,4,42,
,,,,1002,BROOKINS G T,13,8,4,3,2,,,,,16,46,
,,,,1003,RESNICK W J,21,12,5,,5,,,,,8,51,
,,,,1004,KNIGHT R B,13,10,6,5,7,,,,,11,52,
,,,,1005,TRIPPETTI V J,16,13,10,6,4,,,,,9,58,
,,,,1006,SCHAPA E J,25,11,3,2,,,,,,,41,
,,,,1007,MAIER L S,19,14,5,,4,,,,,3,45,
"Monday, March 04, 2013",,,,,,,,,,,,,,,,Page 4 of 86,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Business,ACCTG,ACCTG,1,1008,NAULT W H,11,4,3,4,14,,,,,13,49,
,,,,1009,FITZGERALD R L,6,6,4,2,1,,,,,5,24,
,,,,1010,BROOKINS G T,4,4,5,3,5,,,,,10,31,
,,,,1011,HALLIDAY P D,12,12,9,3,2,,,,,8,46,
,,,,1012,HALLIDAY P D,6,11,6,2,6,,,,,6,37,
,,,,1013,RESNICK W J,15,5,7,2,6,,,,,7,42,
,,,,1014,DEMETRE N J,13,7,5,1,2,,,,,17,45,
,,,,1015,PLATZ W A,11,4,6,3,4,,,,,10,38,
,,,,1016,RESNICK W J,10,13,4,2,5,,,1,,4,39,
,,,,1017,FITZGERALD R L,12,11,4,1,1,,,,,3,32,
,,,,4001,LARIZADEH M R,13,12,4,5,4,,,,,6,44,
,,,,4002,NAULT W H,5,6,2,2,7,,,1,,25,48,
,,ACCTG,2,1018,LEVITON N J,17,14,7,,1,,,,,5,44,
,,,,1019,HUANG AI M,10,4,1,5,3,,,,,7,30,
,,,,1020,BERNSTEIN T D,11,15,3,,1,,,,,4,34,
,,,,1021,LEVITON N J,18,12,2,,1,,,,,2,35,
,,,,1022,KNIGHT R B,12,12,7,3,4,,,,,8,46,
,,,,1023,LU M,13,8,5,,1,,,,,1,28,
,,,,1024,ANDRE J M,6,8,3,,,,,,,6,23,
,,,,1025,DANIEL C,3,1,4,1,1,,,,,5,15,
,,,,1026,BROOKINS G T,5,8,7,,5,,,,,5,30,
,,,,1027,BERNSTEIN T D,10,10,6,1,,,,,,8,35,
,,,,1028,BERNSTEIN T D,13,12,3,,1,,,,1,4,34,
,,,,1029,HUANG AI M,8,6,5,1,2,,,,1,11,34,
,,,,1030,CARBALLO P S,5,6,9,,5,,,,1,6,32,
,,,,1031,HUANG AI M,5,5,5,1,7,,,,1,7,31,
,,,,4003,DANIEL C,8,3,7,,4,,,,,7,29,
,,ACCTG,6,1032,HUANG AI M,5,9,4,,1,,,,1,9,29,
,,ACCTG,7,1033,HUANG AI M,2,11,7,,2,,,,,4,26,
,,ACCTG,10,1034,LU M,9,4,5,1,,,,,,1,20,
,,,,1035,LU M,10,4,4,,2,,,,,5,25,
,,,,4004,LU M,12,6,4,2,2,,,,,4,30,
"Monday, March 04, 2013",,,,,,,,,,,,,,,,Page 5 of 86,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Business,ACCTG,ACCTG,10,1036,LU M,14,7,2,1,,,,,,6,30,
,,,,4005,BROOKINS G T,2,4,3,,1,,,,,6,16,
,,,,4006,LU M,9,4,1,1,3,,,,,7,25,
,,ACCTG,10,1037,HANSON M P,7,6,4,,1,,,,,6,24,
,,,,1038,HANSON M P,7,9,3,,,,,,1,2,22,
,,ACCTG,11,1040,CARBALLO P S,8,8,5,2,1,,,,,9,33,
,,ACCTG,12,1041,RESNICK W J,8,9,8,1,,,,,,3,29,
,,,,1042,RESNICK W J,9,13,2,3,1,,,,,6,34,
,,ACCTG,15,3264,HAIG J,3,11,10,,1,,,,,7,32,
,,,,4007,HAIG J,7,7,4,1,3,,,,1,3,26,
,,ACCTG,16,1043,HAIG J,5,8,1,1,3,,,,1,7,26,
,,ACCTG,21,4008,HICKS L E,11,2,2,3,8,,,,1,8,35,
,,ACCTG,26,1044,HALLIDAY-ROBERT CA E,2,8,1,1,,,,,,2,14,
,,ACCTG,31,1045,VALDIVIA O,15,5,4,,4,,,,1,2,31,
,,ACCTG,45,1049,HALLIDAY P D,5,2,,,,,,,,1,8,
,,,,4009,SHISHIDO K M,8,3,2,,2,,,,,,15,
,AUTO,AUTO,40,4047,COX D E,10,19,2,,2,,,,1,2,36,
,,AUTO,45,4048,KAY D,27,1,,,,,,,,5,33,
,,AUTO,50,1187,KAY D,6,4,3,,6,,,,,20,39,
,BUS,BUS,1,1237,SHISHIDO L K,12,12,9,3,6,,,,,6,48,
,,,,1238,SHISHIDO L K,10,16,11,5,2,,,1,,7,52,
,,,,1239,KELLY MARCELLA A,23,13,14,,5,,,,,3,58,
,,,,1240,PAIK R,12,18,9,4,5,,,,,4,52,
,,,,1241,ROPER-CONLEY C,20,24,4,,3,,6,,1,1,59,
,,,,1242,VEAS S,35,7,2,1,6,,,,,6,57,
,,,,1243,KELLY MARCELLA A,9,6,2,6,9,,,,,5,37,
,,,,1244,SHISHIDO L K,6,8,5,3,8,,,,,5,35,
,,,,1245,SHISHIDO L K,3,6,2,1,6,,,,,11,29,
,,,,1246,SHISHIDO L K,4,6,8,3,1,,,,,5,27,
,,,,1247,CHANDLER F G,14,8,3,2,9,,,1,,6,43,
,,,,1248,CHANDLER F G,9,8,5,2,7,,,,,6,37,
,,,,1249,VEAS S,42,5,4,1,,,,,,5,57,
"Monday, March 04, 2013",,,,,,,,,,,,,,,,Page 6 of 86,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Business,BUS,BUS,1,1250,CHANDLER F G,13,14,1,3,6,,,,,5,42,
,,,,1251,SHISHIDO L K,4,6,9,,3,,,,,11,33,
,,,,1252,KELLY MARCELLA A,10,6,6,4,7,,,,,9,42,
,,,,1253,TUCKER J L,8,6,7,,4,,,,,6,31,
,,,,1254,TUCKER J L,5,4,2,1,5,,,,,9,26,
,,,,1255,VEAS S,47,2,2,2,,,,,,4,57,
,,,,4059,OLIVERI J S,13,15,12,2,3,,,,,3,48,
,,BUS,5,1256,RADOS-CLOKE A,10,12,11,3,1,,,,,10,47,
,,,,1257,RADOS-CLOKE A,10,13,15,4,2,,,,,7,51,
,,,,1258,RADOS-CLOKE A,13,14,10,5,5,,,,,5,52,
,,,,1259,NASSER D M,18,17,3,1,2,,,,,8,49,
,,,,1260,KLUGMAN E B,9,9,9,2,5,,,,,6,40,
,,,,1261,SINDELL S M,1,5,10,4,5,,,1,1,14,41,
,,,,1262,SINDELL S M,6,4,11,3,5,,,,,10,39,
,,,,1263,SINDELL S M,7,5,6,,6,,,,,15,39,
,,,,1264,SINDELL S M,3,6,9,3,6,,,,,14,41,
,,,,1265,HALLIDAY-ROBERT CA E,6,6,4,1,1,,,1,,17,36,
,,,,4060,KLUGMAN E B,11,4,7,4,1,,,,,5,32,
,,,,4061,SINDELL S M,9,14,9,2,5,,,,,2,41,
,,,,4062,KLUGMAN E B,9,9,6,3,1,,,,,12,40,
,,BUS,6,1266,HALLIDAY-ROBERT CA E,4,6,5,,1,,,,,3,19,
,,BUS,11,1267,MARGOLIS D L,22,7,5,,5,,,,,1,40,
,,BUS,17,1268,VALDIVIA O,10,3,3,1,4,,,,1,4,26,
,,BUS,18,1269,GROSS D M,12,5,3,1,4,,,,,3,28,
,,BUS,20,1270,SABOLIC P C,5,22,7,2,2,,,,,6,44,
,,,,1271,SABOLIC P C,12,26,2,,4,,,,,5,49,
,,,,1272,KELLY MARCELLA A,13,23,7,,4,,,,1,3,51,
,,,,1273,KELLY MARCELLA A,14,11,13,,2,,,,,4,44,
,,,,1274,VEAS S,14,9,15,4,6,,,,,5,53,
,,,,1275,VEAS S,19,14,7,3,11,,,,1,10,65,
,,,,1276,VEAS S,23,13,10,3,4,,,,,8,61,
,,BUS,22,1277,IVAS L,23,5,2,,3,,,,,5,38,
"Monday, March 04, 2013",,,,,,,,,,,,,,,,Page 7 of 86,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Business,BUS,BUS,25,1278,IVAS L,29,5,3,,3,,,,,8,48,
,,BUS,26,1279,COPLEN J S,6,16,5,1,5,,,,1,2,36,
,,BUS,27,1280,COPLEN J S,9,15,7,2,2,,,,,7,42,
,,BUS,28,1281,COPLEN J S,15,12,13,1,4,,,1,2,3,51,
,,BUS,31,1282,PAIK R,2,12,2,3,2,,,,,5,26,
,,,,1283,SANTILLANES A,2,6,6,2,6,,,,,,22,
,,,,1284,PAIK R,3,5,10,3,3,,,,,4,28,
,,BUS,32,1285,WELTON M,14,10,1,,1,,,,,2,28,
,,,,1286,ROCKWELL C,10,5,1,,,,,,,8,24,
,,,,1287,NASSER D M,14,6,5,,3,,,,,,28,
,,,,1288,ROCKWELL C,9,7,5,,3,,,,,1,25,
,,,,1289,WELTON M,15,8,2,1,2,,,,,2,30,
,,,,1290,NASSER D M,13,8,3,,4,,,,,1,29,
,,,,1291,JUNG D,2,3,3,1,2,,,,,8,19,
,,,,1292,JUNG D,2,1,2,,4,,,,,5,14,
,,,,1293,SOUCY S H,4,7,3,2,2,,,,,2,20,
,,,,1294,SOUCY S H,6,8,3,1,2,,,,,3,23,
,,,,1295,SOUCY S H,2,4,1,,6,,,,,5,18,
,,BUS,45,1296,HALLIDAY P D,5,9,4,,3,,,,,4,25,
,,,,4065,SHISHIDO K M,5,3,5,2,7,,,,,5,27,
,,BUS,46,1297,SHISHIDO K M,8,8,3,1,1,,,,1,9,31,
,,BUS,47,1298,HALLIDAY P D,5,5,,,2,,,,,4,16,
,,,,1299,HALLIDAY P D,6,3,1,,4,,,,,6,20,
,,BUS,50,4066,ALEXANDER J S,12,8,4,6,1,,,,,5,36,
,,BUS,51,4067,WELTON M,17,7,2,,3,,,,,9,38,
,,BUS,52,1300,MANDELBAUM A B,8,14,5,,2,,,,,3,32,
,,BUS,53,1301,RODRIGUEZ K P,3,14,,,3,,,,,7,27,
,,BUS,62,1302,BABCOCK L G,21,10,3,3,3,,,,1,2,43,
,,BUS,63,1303,CLAUSEN A I,5,11,3,2,6,,,,,12,39,
,,BUS,64,1304,SCHAPA E J,19,3,2,1,4,,,,,16,45,
,,,,1305,SCHAPA E J,31,3,2,1,4,,,,,10,51,
,,BUS,65,1306,ROCKWELL C,23,6,3,,2,,,,,4,38,
"Monday, March 04, 2013",,,,,,,,,,,,,,,,Page 8 of 86,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Business,BUS,BUS,80,1307,SATTERLEE B C,9,6,4,1,6,,,,,7,33,
,,BUS,81,1308,SATTERLEE B C,10,5,,1,11,,,,,3,30,
,COUNS,COUNS,4,3275,HALLIDAY P D,3,1,2,,1,,,,,,7,
,,,,3276,HALLIDAY P D,3,3,1,,2,,,,,5,14,
Communicat,BUS,BUS,29,4063,ADELMAN A,6,9,4,,1,,,,,3,23,
,,BUS,33,4064,ADELMAN A,1,8,1,,,,,,,1,11,
,COM ST,COM ST 1,,1417,OGATA D K,41,7,,,1,,7,,,2,58,
,,,,1418,REGINA M A,25,3,2,,,,,,,,30,
,,,,1419,HOWARD B,7,10,8,7,2,,,,,2,36,
,,,,1420,MARTIN B S,7,10,5,,2,,,,,6,30,
,,,,1421,KRAUT D S,17,8,1,1,,,,,,6,33,
,,,,1422,KAHN R A,9,1,4,3,,,,,,14,31,
,,,,1423,SCHULTZ-MANROSS D S,5,20,3,,3,,,,,2,33,
,,,,1424,WEST A J,10,16,2,1,,,,,,6,35,
,,,,1425,OGATA D K,52,1,,,,,,,,,53,
,,,,1426,HOWARD B,7,8,13,3,2,,,,,6,39,
,,,,1427,REGINA M A,20,2,1,1,,,,,,5,29,
,,,,1428,MCNAMARA C V,19,9,,,1,,,,,5,34,
,,,,1429,MARTIN B S,21,6,1,1,1,,,,,2,32,
,,,,1430,KRAUT D S,5,11,8,1,,,,,,3,28,
,,,,1431,WHIDDEN A R,19,9,3,,1,,1,,,,33,
,,,,1432,KAHN R A,7,7,1,,1,,,,,11,27,
,,,,1433,BROWN N A,11,6,7,,1,,,,,4,29,
,,,,1434,DAWSON F R,8,22,2,1,4,,,,,5,42,
,,,,1435,MCNAMARA C V,21,11,1,,2,,,,,5,40,
,,,,1436,HOWARD B,11,11,11,1,,,,,,4,38,
,,,,1437,OGATA D K,63,2,,,1,,1,,,2,69,
,,,,1438,FARSCHMAN K V,14,11,1,,2,,,,,3,31,
,,,,1439,PRESTON B L,29,5,,,,,,,,1,35,
,,,,1440,PRESTON B L,23,6,,,1,,,,,1,31,
,,,,1441,SCHULTZ-MANROSS D S,7,15,4,,5,,,,,3,34,
,,,,1442,WEST A J,5,10,7,3,4,,,,,3,32,
"Monday, March 04, 2013",,,,,,,,,,,,,,,,Page 9 of 86,
Department,Subject,Course,Section,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Communicat,COM ST,COM ST 1,1443,GRASS HEMMERT N L,5,8,7,,,2,,,1,,3,26
,,,1444,HOWARD D B,20,15,2,,,3,,,,,1,41
,,,1445,HOWARD D B,12,18,3,,,,,1,,,2,36
,,,1446,WHIDDEN A R,17,10,,,,1,,,,,1,29
,,,4092,FARSCHMAN K V,14,9,8,,,,,,,,3,34
,,,4093,FARSCHMAN K V,13,10,,,,2,,,,,4,29
,,,4094,LEMONDS B W,15,18,,,,,,,,,1,34
,,,4095,ANDERSON F D,18,9,3,,,2,,,,,1,33
,,,4096,PRESTON B L,19,5,2,1,,,,,,,3,30
,,,4097,HOWARD D B,14,10,1,,,1,,,,,6,32
,,COM ST 1,1447,WHIDDEN A R,25,2,,,,,,,,1,4,32
,,COM ST 1,1448,MCNAMARA C V,20,6,,1,,2,,,,,4,33
,,COM ST 1,1449,KRAUT D S,8,8,,2,,2,,,,,5,25
,,COM ST 1,1450,MEGA M A,2,16,13,,,,,,,1,2,34
,,COM ST 2,1451,BROWN N A,11,15,4,,,,,,,,3,33
,,,1452,BROWN N A,12,6,6,2,,1,,,,,3,30
,,,1453,SMITH H A,5,10,3,,,1,,,,,6,25
,,,1454,SMITH H A,5,7,3,,,1,,,,,8,24
,,COM ST 2,1455,REGINA M A,15,3,2,,,3,,,,,8,31
,,COM ST 3,1456,KRAUT D S,18,7,1,,,,,,,,1,27
,,,1457,OGATA D K,46,6,1,,,2,,3,,,,58
,,,1458,KRAUT D S,20,8,1,,,1,,,,,2,32
,,,1459,OGATA D K,62,5,1,,,,,2,,,2,72
,,,1460,WEST A J,14,6,4,1,,,,,,,5,30
,,,1461,SMITH H A,3,13,5,,,,,,,1,7,29
,,,1462,SMITH H A,10,9,2,,,3,,,,1,6,31
,,,1463,SMITH H A,6,10,10,,,,,,,,1,27
,,,1464,BROWN N A,18,6,1,,,,,,,,2,27
,,,1465,BROWN N A,13,10,,,,,,,,,3,26
,,,1466,WALKER D A,16,9,1,,,,,,,,2,28
,,,4098,KAIMIKAUA C I,10,11,2,,,,,,,,9,32
,,,4099,BERGSTROM L M,12,6,5,3,,1,,,,,2,29
"Monday, March 04, 2013",,,,,,,,,,,,,,,,Page 10 of 86
Department,Subject,Course,Section,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Communicat,COM ST,COM ST 3,1467,GRASS HEMMERT N L,8,11,7,4,,1,,,,,2,33
,,,1468,KAIMIKAUA C I,3,9,3,2,,,,,,,5,22
,,,4100,KAIMIKAUA C I,7,8,3,1,,1,,,,,7,27
,FILM,FILM,1,2284,FLOOD S W,24,8,3,,2,,,,,5,42
,,,2285,LAFFEY S A,18,11,4,2,,2,,,,,5,42
,,FILM,2,2286,KANIN J D,13,12,5,5,2,,,,,4,41
,,,2287,KANIN J D,14,14,6,,,1,,,,,7,42
,,,2288,HUNT S E,20,6,,1,,1,,3,,,7,38
,,,4224,CARRASCO S,16,10,3,3,,,,,,,2,34
,,FILM,5,2289,KANIN J D,11,21,7,1,,,,,1,3,44
,,,4225,ROSENBERG V L,10,10,6,,,4,,,,,3,33
,,FILM,6,4226,HUNT S E,14,7,3,,2,,3,,,5,34
,,FILM,7,4227,CARRASCO S,20,12,4,,,,,,,3,39
,,FILM,8,2290,LAFFEY S A,6,18,4,1,2,,,1,,6,38
,,,4228,KANIN J D,17,9,4,3,,,,,,,5,38
,,FILM,9,2291,CRUM J,9,8,5,,1,,1,,1,3,28
,,FILM,11,2292,POIRIER N P,44,17,10,1,1,,4,,,5,82
,,FILM,20,2293,MATTHEWS M N,13,6,2,,,,1,,1,6,29
,,,2294,DAVIS D,22,5,1,,,2,,,,,2,32
,,FILM,21,2295,BIRNBAUM M J,7,7,2,1,1,,1,,,9,28
,,,4229,NOLAND G K,6,6,,2,,,,,,,4,18
,,FILM,30,2296,DANIELS R,16,2,2,,1,,,,,6,27
,,FILM,31,2297,DAVIS D,18,3,3,,2,,,,,3,29
,,,2298,FLOOD S W,18,4,1,1,,,,,,,4,28
,,FILM,32,2299,CARRASCO S,23,2,,,,,,,,1,26
,,FILM,33,2300,CARRASCO S,18,1,,,,,,,,2,21
,JOURN,JOURN,1,2476,OBSATZ S B,24,2,,,,,1,,,2,29
,,,2477,STAMBLER L S,10,5,1,,,1,,1,,,5,23
,,,2478,STAMBLER L S,11,1,2,1,,,,,,1,7,23
,,,2479,RUBIN S M,7,2,4,,,2,,,,,8,23
,,JOURN,4,4274,GIGGANS J H,11,3,4,,1,,,,,4,23
,,JOURN,8,4275,STAMBLER L S,14,2,1,3,,,,,,6,26
"Monday, March 04, 2013",,,,,,,,,,,,,,,,Page 11 of 86
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Communicat,JOURN,JOURN,15,2480,RUBIN S M,11,5,3,2,5,,1,,,2,29,
,,JOURN,16,2481,RUBIN S M,18,5,1,2,5,,,,1,4,36,
,,JOURN,17,2482,RUBIN S M,2,,,,1,,,,,,3,
,,,,2483,RUBIN S M,2,,,,,,,,,,2,
,,JOURN,21,2484,BURKHART G J,2,2,1,1,1,,,,,1,8,
,,JOURN,22,2485,BURKHART G J,,,1,,1,,,,,1,3,
,,JOURN,43,4276,ADELMAN A,8,9,2,,,,,,,,19,
,MEDIA,MEDIA,1,2726,ROSENBERG V L,8,9,12,,,,,,,7,36,
,,,,2727,OBSATZ S B,32,4,1,,1,,,,,1,39,
,,,,2728,SIMMONS R D,12,8,15,8,,,,,,4,47,
